"num","team","total_points","total_notes","total_note_points","auto_notes","auto_points","teleop_notes","teleop_points","amp_notes","speaker_notes","amplified_notes","endgame_points","endgame_park_points","endgame_on_stage_points","endgame_harmony_points","endgame_trap_points","endgame_spotlight_points"
"1678","Citrus Circuits","58.1","12.4","49.2","3.3","18.3","9.1","32.6","3.6","8.8","6","7.2","0.1","3.3","-0.17","3.6","0.34"
"1323","MadTown Robotics","55.8","12","46.3","3.5","19.5","8.5","28.6","3","9","4.9","7.7","-0.2","3.7","-0.08","4","0.25"
"3005","RoboChargers","54.9","12.7","48.3","2.7","15.9","10","34.7","4.5","8.3","6.4","4.2","-0.05","3.2","0.99","-0.1","0.22"
"6328","Mechanical Advantage","54.3","12","46.1","3","16.7","9","31.1","2.9","9.1","5.4","6.4","0.15","3.1","-0.14","3.1","0.16"
"2056","OP Robotics","53.7","12.4","48.4","3.1","16.7","9.4","33.2","3.4","9","5.9","3.8","0.14","2.9","0.59","-0.2","0.44"
"1690","Orbit","53.6","12","46.4","3","17","9","31.3","4","8","5.8","5.3","0.19","2.8","0.25","2","0.11"
"1796","RoboTigers","53","11.4","45.2","3.4","18.6","8","28.2","3.5","8","5.2","6.2","0.08","2.8","-0.13","3.3","0.19"
"1771","North Gwinnett Robotics","52.7","12.3","45.2","3.6","19.9","8.7","27.2","2.8","9.6","4.2","5.6","0.24","2.1","-0.12","3.3","0.02"
"254","The Cheesy Poofs","51.7","11.5","43.4","2.8","15.9","8.7","29.5","3.6","8","5.2","6.3","0.03","3.2","-0.1","3.1","0.1"
"1756","Argos","51.7","12","43.7","2.1","12.2","9.9","33.4","3.7","8.3","5.8","6.1","0.12","2.4","-0.15","3.7","0.16"
"1706","Ratchet Rockers","51.3","11.5","43.3","3","17","8.5","28.1","3.2","8.3","4.8","6.2","-0.06","3.1","-0.06","3","0.19"
"604","Quixilver","50.9","11.8","43.5","3","16.6","8.8","28.6","2.9","8.9","4.6","5.8","0.23","2.7","-0.1","3","-0.1"
"2910","Jack in the Bot","50.3","13","45.6","2.2","13","10.8","34.7","3.1","9.9","5.4","2.6","0.31","1.9","-0.02","0.3","0.13"
"4414","HighTide","49.5","11.5","42","3.3","18.1","8.2","25.6","3.1","8.3","4.1","5.9","0.02","2.9","0.05","2.9","0.05"
"5940","BREAD","49.2","10.5","40.8","2.8","15.7","7.7","26.9","3.1","7.4","4.9","6.7","0.17","2.5","-0.13","3.9","0.16"
"4613","Barker Redbacks","48.4","12.6","44.3","2.3","13.2","10.4","33","3.5","9.2","5.2","2.1","0.37","1.7","0.35","-0.4","0.16"
"3478","PrepaTec - LamBot","48","10.7","40","2.5","14.2","8.2","27.7","3.6","7.1","5","6.1","0.19","2.7","-0.06","3.2","0.09"
"3467","Windham Windup","47.6","12.2","42.3","2","11.9","10.2","32.5","4.5","7.7","5.5","3.3","0.15","2.6","0.26","0.3","0"
"9483","İstanbul Wildcats","47.6","12.1","44.1","2.8","15.9","9.4","30.2","3","9.1","4.8","1.6","0.51","1.4","-0.03","-0.3","-0.01"
"359","Hawaiian Kids","47.6","10.8","39.3","2.7","15.3","8.1","25.8","3.7","7","4.5","6.5","0.05","3.1","-0.02","3.3","0.03"
"368","Team Kika Mana","47.2","10.6","38.6","3","16.9","7.5","23.5","2.8","7.7","3.8","6.8","-0.03","3","-0.05","4","0"
"3847","Spectrum   -△◅","46.9","11.1","40.1","2.8","15.3","8.3","26.3","3.2","7.9","4.3","5.3","0.15","2.6","-0.28","2.9","-0.03"
