#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,9432,5026,7425,5429,2486,6413,147,134,RED
2,3853,2240,3794,5665,7419,8500,102,148,BLUE
3,498,8044,4146,3179,6352,9777,212,160,RED
4,9059,3648,2375,698,1165,60,141,149,BLUE
5,5429,2486,6413,3853,2240,3794,112,125,BLUE
6,3179,6352,9777,9059,3648,2375,133,137,BLUE
7,9432,5026,7425,5665,7419,8500,167,154,RED
8,498,8044,4146,698,1165,60,209,155,RED
9,5665,7419,8500,9059,3648,2375,123,124,BLUE
10,698,1165,60,3853,2240,3794,108,163,BLUE
11,9432,5026,7425,498,8044,4146,205,220,BLUE
12,3853,2240,3794,9059,3648,2375,110,153,BLUE
13,9432,5026,7425,9059,3648,2375,203,130,RED
14,498,8044,4146,9432,5026,7425,196,176,RED
15,498,8044,4146,9432,5026,7425,248,181,RED
