#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,10008,1011,6833,2662,7755,3179,40,75•,BLUE,0,1.0,7,5,0,1,1,1.1,9,8,0,2
2,4146,5665,3648,5429,2647,3019,125•,47•,RED,1,0.9333333333333333,22,11,0,2,0,1.9,12,4,0,2
3,2840,8500,2240,6352,3853,498,91•,123•,BLUE,1,1.1666666666666667,28,3,0,2,0,1.0333333333333334,13,16,0,2
4,2486,5059,2375,7425,9432,9059,84•,110•,BLUE,0,1.8,12,9,0,2,0,0.9333333333333333,21,11,1,2
5,9704,7687,10210,9777,6413,698,60,88•,BLUE,0,1.0,17,4,0,1,0,0.06666666666666667,18,10,0,2
6,5026,3794,1165,2478,8087,60,107•,74•,RED,0,1.9333333333333333,24,5,1,2,1,0.9666666666666667,11,6,0,2
7,4565,8044,7703,3187,7447,7419,116•,68•,RED,1,2.3333333333333335,12,12,1,2,0,0.19999999999999998,19,5,0,2
8,2840,3019,7755,9777,9704,9059,60,60•,TIE,0,1.1666666666666667,12,7,0,0,0,0.0,13,7,0,2
9,5059,7425,3179,60,3648,698,74,111•,BLUE,0,2.0666666666666664,24,3,0,1,0,0.06666666666666667,26,9,0,2
10,3794,4565,3853,5665,7687,9432,52•,99•,BLUE,0,1.0666666666666667,16,3,0,2,0,0.7000000000000001,17,12,0,2
11,498,3187,6833,10210,2375,5429,94•,51,RED,0,0.8666666666666667,9,13,1,2,0,1.9,15,2,0,0
12,2662,7447,6413,6352,2486,2240,66•,102•,BLUE,0,2.0999999999999996,10,9,0,2,0,1.0333333333333334,20,11,0,2
13,7703,2647,7419,8500,2478,1165,56•,75•,BLUE,0,0.09999999999999999,13,6,0,2,0,0.9666666666666667,17,7,0,2
14,8087,8044,10008,5026,1011,4146,118•,91•,RED,0,1.366666666666667,13,12,1,2,0,0.9666666666666667,17,9,0,2
15,698,9059,10210,60,3794,6413,87•,72•,RED,1,0.1,11,10,0,2,0,0.03333333333333333,18,5,0,2
16,3853,2240,7419,7755,3648,7703,98•,89•,RED,0,0.26666666666666666,35,4,0,2,0,0.13333333333333333,16,10,0,2
17,2478,7447,7425,5665,10008,5429,66•,61•,RED,0,1.2,12,8,0,2,0,0.8666666666666667,9,7,0,2
18,7687,2486,8500,9432,2375,4565,59•,102•,BLUE,0,-0.06666666666666667,15,6,0,2,0,2.7,11,13,0,2
19,8087,2840,1011,5059,6833,2647,53•,33•,RED,1,1.0666666666666667,10,3,0,2,0,1.9,10,2,0,2
20,6352,3179,5026,3019,9777,3187,118•,57•,RED,0,1.0333333333333334,13,17,0,2,0,0.9666666666666667,14,5,0,2
21,9704,1165,498,8044,4146,2662,123,110•,RED,0,2.833333333333333,14,13,1,1,0,2.333333333333333,13,12,1,2
22,4565,2840,10008,7425,8087,2240,26•,60,BLUE,0,1.1,6,2,0,2,0,1.1333333333333333,19,3,0,1
23,6352,2478,5665,3179,7419,9432,83•,136•,BLUE,0,0.9333333333333333,9,12,0,2,0,0.9333333333333333,23,13,1,2
24,7687,2647,698,6833,4146,3853,54•,72•,BLUE,0,0.03333333333333333,15,5,0,2,0,1.0666666666666667,15,8,0,2
25,3648,6413,5429,8044,8500,7755,111•,103,RED,0,1.0,12,15,0,2,0,2.466666666666667,18,11,0,1
26,2486,1165,3187,1011,10210,3019,63•,66•,BLUE,0,1.9,13,6,0,2,0,1.0,14,7,0,2
