Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,9432,11,1,0,12,33,2.75,1297,1,7,202,135,8,23
2,498,11,1,0,12,30,2.5,1324,1,12,159,153,9,20
3,9059,8,3,1,12,29,2.4166666666666665,961,1,7,175,102,3,24
4,3853,9,3,0,12,29,2.4166666666666665,978,0,9,209,91,2,23
5,8044,9,3,0,12,28,2.3333333333333335,1384,4,17,189,136,9,22
6,5665,8,4,0,12,28,2.3333333333333335,1077,2,9,178,119,1,24
7,5026,8,4,0,12,28,2.3333333333333335,1426,1,14,225,128,11,24
8,698,8,4,0,12,27,2.25,990,3,4,175,100,3,23
9,1165,7,4,1,12,26,2.1666666666666665,1058,1,12,226,86,3,23
10,3179,9,3,0,12,26,2.1666666666666665,1025,1,9,206,101,1,20
11,7419,7,5,0,12,25,2.0833333333333335,1073,2,7,224,89,3,23
12,3648,8,4,0,12,25,2.0833333333333335,1234,2,7,222,124,0,21
13,5429,8,4,0,12,25,2.0833333333333335,914,1,14,204,72,1,20
14,2240,8,4,0,12,25,2.0833333333333335,1119,1,13,312,68,2,21
15,2375,6,5,1,12,24,2.0,995,4,12,121,110,2,22
16,6413,7,5,0,12,24,2.0,1051,0,9,170,116,2,22
17,6352,6,6,0,12,23,1.9166666666666667,1089,3,6,148,137,0,23
18,60,6,6,0,12,23,1.9166666666666667,993,2,3,229,81,1,23
19,2478,7,5,0,12,23,1.9166666666666667,879,1,4,130,110,2,21
20,9777,5,6,1,12,22,1.8333333333333333,949,2,4,234,76,1,23
21,2662,5,7,0,12,22,1.8333333333333333,911,1,14,160,96,2,24
22,8087,4,7,1,12,20,1.6666666666666667,924,4,15,155,78,4,23
23,3187,5,7,0,12,20,1.6666666666666667,868,0,4,175,82,3,22
24,7703,4,8,0,12,19,1.5833333333333333,927,3,5,151,102,2,23
25,7687,5,7,0,12,19,1.5833333333333333,906,1,5,190,83,1,21
26,3794,5,7,0,12,19,1.5833333333333333,920,0,3,211,75,2,21
27,8500,5,7,0,12,18,1.5,944,3,7,214,74,1,20
28,2486,4,8,0,12,18,1.5,1024,2,13,163,112,2,22
29,7755,3,7,2,12,18,1.5,876,2,11,156,92,1,21
30,10210,4,7,1,12,18,1.5,800,2,6,169,76,0,20
31,3019,5,6,1,12,18,1.5,864,1,15,163,82,2,18
32,7447,3,8,1,12,18,1.5,720,1,12,146,66,1,23
33,7425,6,6,0,12,18,1.5,910,1,8,225,67,2,17
34,4146,4,8,0,12,17,1.4166666666666667,987,3,6,183,97,2,21
35,5059,4,8,0,12,17,1.4166666666666667,828,1,14,205,57,1,21
36,1011,4,8,0,12,17,1.4166666666666667,801,1,6,168,75,0,20
37,2840,3,8,1,12,16,1.3333333333333333,737,4,9,155,60,1,20
38,6833,4,8,0,12,16,1.3333333333333333,759,2,14,146,72,2,20
39,4565,3,9,0,12,16,1.3333333333333333,841,1,17,168,75,2,22
40,9704,5,6,1,12,16,1.3333333333333333,835,0,12,157,81,1,16
41,10008,3,9,0,12,15,1.25,766,0,7,131,79,2,21
42,2647,2,10,0,12,11,0.9166666666666666,722,0,5,157,76,1,19
