#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,359,4421,7287,7796,8503,7497,173,105,RED
2,1622,6364,2130,5461,1452,9292,148,90,RED
3,6823,4270,7173,1868,10185,10127,132,83,RED
4,2122,9180,9641,3008,6188,6390,165,102,RED
5,7796,8503,7497,5461,1452,9292,79,99,BLUE
6,1868,10185,10127,3008,6188,6390,98,86,RED
7,359,4421,7287,1622,6364,2130,220,166,RED
8,6823,4270,7173,2122,9180,9641,131,218,BLUE
9,1622,6364,2130,1868,10185,10127,169,82,RED
10,6823,4270,7173,5461,1452,9292,137,108,RED
11,359,4421,7287,2122,9180,9641,226,162,RED
12,6823,4270,7173,1622,6364,2130,146,150,BLUE
13,2122,9180,9641,1622,6364,2130,163,154,RED
14,359,4421,7287,2122,9180,9641,202,183,RED
15,359,4421,7287,2122,9180,9641,159,183,BLUE
16,359,4421,7287,2122,9180,9641,224,127,RED
