#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,6918,7332,9180,7190,9649,7173,67•,41,RED,0,1.9,5,12,0,2,0,2.9,9,3,0,1
2,1622,2122,6351,9449,7796,6188,115•,45•,RED,0,3.066666666666667,14,12,1,2,0,1.9,2,8,0,2
3,9641,2130,359,9277,5461,1452,133•,68,RED,1,2.0666666666666664,12,8,2,2,0,0.9666666666666667,12,7,0,1
4,6364,4270,4421,4627,8503,10127,115,54•,RED,0,1.0,27,9,0,1,0,0.06666666666666667,3,10,0,2
5,7497,1868,7167,7287,5515,9550,60•,26,RED,0,1.0333333333333334,15,4,0,2,0,0.26666666666666666,5,3,0,1
6,6390,3008,10185,568,7688,7135,56•,43•,RED,0,1.0,13,3,0,2,0,0.9,11,3,0,2
7,6823,8339,10147,9719,9292,8338,50•,48•,RED,0,1.0,13,3,0,2,0,1.0666666666666667,10,5,0,2
8,2122,7497,9449,7173,359,5461,98•,102•,BLUE,0,1.9000000000000001,17,9,0,2,0,2.0666666666666664,8,9,2,2
9,7332,6364,9550,7688,1622,4270,40,132•,BLUE,0,1.0333333333333334,11,3,0,1,1,1.1,7,16,1,2
10,9719,8503,7135,7167,8338,6188,52•,63,BLUE,0,1.0333333333333334,4,9,0,2,0,0.9666666666666667,11,8,0,1
11,7796,5515,10147,10127,9277,1868,46•,55•,BLUE,0,2.0999999999999996,11,3,0,2,0,0.9666666666666667,16,3,0,2
12,7287,9649,6823,4627,6390,7190,53•,43•,RED,0,1.9666666666666668,14,3,0,2,0,0.9666666666666667,10,4,0,2
13,10185,9180,1452,6351,568,4421,87•,81•,RED,0,1.0333333333333334,11,12,0,2,1,0.9666666666666667,15,5,0,2
14,6918,9292,9641,3008,2130,8339,46•,47•,BLUE,0,0.13333333333333333,8,5,0,2,0,1.9000000000000001,11,3,0,2
15,10147,7135,9449,9277,6823,7688,49•,53•,BLUE,0,1.8666666666666667,11,4,0,2,0,1.8666666666666667,13,4,0,2
16,6351,8503,9550,5515,568,7332,44•,40,RED,0,1.1,5,6,0,2,0,1.0333333333333332,10,4,0,1
17,8338,1452,8339,7287,1868,3008,75•,78,BLUE,0,0.9666666666666667,21,5,0,2,0,2.033333333333333,17,7,0,1
18,7497,9180,9292,4270,2130,6918,82,57•,RED,0,2.0,10,13,0,1,0,1.9,12,5,0,2
19,6188,7190,6364,9719,359,10185,98•,118•,BLUE,1,0.9666666666666667,23,7,0,2,0,1.2333333333333334,8,11,3,2
20,7173,6390,1622,7796,4421,4627,115•,84•,RED,0,1.0666666666666667,18,11,1,2,0,0.9666666666666667,20,7,0,2
21,10127,2122,5461,9641,9649,7167,109•,34•,RED,0,1.0333333333333334,18,12,0,2,0,1.1,10,1,0,2
22,7332,7287,9277,6823,10185,9550,37,48•,BLUE,0,1.9333333333333333,8,4,0,1,0,2.0666666666666664,12,3,0,2
23,4627,9719,6918,1868,7796,6390,34•,65,BLUE,0,0.09999999999999999,5,5,0,2,0,0.9666666666666667,20,4,0,1
24,7167,9449,1622,4270,8338,8503,103•,80•,RED,1,1.1,9,9,1,2,1,1.9333333333333333,7,6,0,2
25,2130,6364,5461,2122,1452,568,80•,118•,BLUE,1,0.9,18,4,0,2,0,1.0333333333333334,23,11,0,2
26,7173,6351,5515,8339,9641,7135,50,42•,RED,0,2.033333333333333,11,4,0,1,0,1.3877787807814457e-17,12,3,0,2
27,359,10147,7688,4421,9649,9180,102•,126•,BLUE,0,1.1333333333333333,11,13,1,2,0,1.9333333333333333,19,13,1,2
28,3008,6188,9292,10127,7190,7497,68•,51•,RED,0,1.0333333333333334,13,8,0,2,0,1.9666666666666668,12,4,0,2
29,6351,9277,4627,7167,5461,7796,33•,36•,BLUE,0,1.9,4,5,0,2,0,1.0333333333333334,8,3,0,2
30,4421,7287,2130,8339,7332,9719,109•,18,RED,0,0.9666666666666667,26,6,1,2,0,1.0666666666666667,3,2,0,1
31,1868,8503,6364,9180,9641,7173,60•,70•,BLUE,0,0.03333333333333333,8,8,0,2,0,2.0,10,10,0,2
32,7688,2122,6390,8338,6823,5515,122•,63•,RED,0,1.0,25,9,1,2,0,1.9333333333333336,21,2,0,2
33,7135,6188,9649,9449,568,9292,39•,71•,BLUE,0,1.8666666666666667,5,5,0,2,1,1.0,11,7,0,2
34,9550,7497,4270,3008,1452,10147,91•,102•,BLUE,1,2.0666666666666664,9,10,0,2,1,1.0333333333333334,21,6,0,2
35,1622,359,7190,6918,10127,10185,149•,60•,RED,0,2.1666666666666665,9,21,1,2,0,0.06666666666666667,11,7,0,2
36,5515,9292,7167,9449,6390,7332,20•,49•,BLUE,0,0.23333333333333334,5,1,0,2,0,1.8666666666666667,14,3,0,2
37,9550,4627,2130,2122,8503,6188,40,114•,BLUE,0,1.0,9,4,0,1,0,1.0333333333333334,9,13,1,2
38,1868,8338,9649,6351,7497,7287,53•,50•,RED,0,1.8666666666666667,13,3,0,2,0,2.0,10,4,0,2
39,7190,7796,568,9277,6364,10147,53•,41•,RED,0,1.9333333333333333,12,5,0,2,0,0.9666666666666667,10,3,0,2
40,10127,9641,1452,7135,4421,6918,69•,72•,BLUE,0,0.13333333333333333,16,6,0,2,0,0.9,8,8,1,2
41,3008,1622,9719,359,9180,6823,78•,157•,BLUE,0,1.1666666666666667,9,7,1,2,0,3.0,16,10,3,2
42,7173,7688,10185,5461,8339,4270,40,103•,BLUE,0,1.0,7,4,0,1,1,1.0333333333333334,13,10,0,2
43,6188,6351,6390,7497,10147,6918,56•,62,BLUE,1,0.9666666666666667,11,2,0,2,0,1.0,16,4,0,1
44,6823,9641,3008,9449,6364,7287,81•,62•,RED,0,1.9666666666666668,23,5,0,2,0,1.0,19,4,0,2
45,8503,7332,7688,4421,1868,2122,31•,142•,BLUE,0,0.9666666666666667,2,4,0,2,0,1.0,35,8,1,2
46,5461,9550,7190,9292,7796,8339,40,36•,RED,0,1.0666666666666667,10,3,0,1,0,1.0666666666666669,3,5,0,2
47,1452,7173,7167,9649,9719,10127,34•,36,BLUE,0,1.0666666666666667,6,3,0,2,0,1.1,8,3,0,0
48,5515,7135,359,2130,1622,9180,123•,115,RED,1,2.0999999999999996,16,11,0,2,0,1.9666666666666668,11,14,1,1
49,8338,9277,568,10185,4270,4627,47•,42•,RED,0,1.8333333333333335,13,3,0,2,0,1.0333333333333334,7,5,0,2
50,7332,3008,2122,10147,10127,6351,104,54•,RED,0,2.9,17,10,1,1,0,1.0333333333333334,12,5,0,2
51,7287,7688,8339,6188,6918,1622,40•,103•,BLUE,0,2.1,6,4,0,2,1,0.09999999999999999,9,12,1,2
52,7497,7135,8338,6364,4627,359,64•,133•,BLUE,1,2.7666666666666666,15,1,0,2,1,1.0999999999999999,16,11,1,2
53,7167,6390,9277,9292,7173,4421,34•,89•,BLUE,0,0.0,12,1,0,2,0,1.0333333333333334,12,8,1,2
54,9719,4270,5515,7190,10185,2130,80•,45•,RED,0,2.2,6,15,0,2,0,1.9,13,2,0,2
55,8503,6823,7796,9649,1452,9449,72•,56•,RED,1,0.9333333333333333,11,6,0,2,0,0.9333333333333333,14,3,0,2
56,9180,5461,568,9550,1868,9641,63•,48,RED,0,0.9666666666666667,7,10,0,2,0,0.16666666666666666,11,5,0,1
57,10147,6188,4627,4270,7167,7332,54•,44•,RED,0,0.03333333333333333,5,9,0,2,0,2.0,5,4,0,2
58,4421,8338,10127,2130,9449,7173,108•,39•,RED,0,0.9333333333333333,26,6,1,2,0,1.8,9,3,0,2
59,9641,2122,7796,1622,10185,9649,91•,85•,RED,0,2.033333333333333,17,7,1,2,0,1.1,9,10,1,2
60,1452,7190,1868,9550,7135,9180,71•,45•,RED,0,1.0,11,8,0,2,0,1.9666666666666668,6,6,0,2
61,568,7287,9719,9277,8339,7497,36•,50•,BLUE,0,0.16666666666666666,7,5,0,2,1,1.9333333333333333,10,1,0,2
62,6918,6823,5461,6390,5515,6364,63•,62,RED,0,0.9333333333333333,16,5,0,2,0,0.09999999999999999,19,3,0,1
63,8503,9292,359,7688,3008,6351,111•,53•,RED,0,1.2,3,19,1,2,0,1.9333333333333333,16,2,0,2
64,9180,9449,9277,7135,7287,2122,69•,84,BLUE,0,2.833333333333333,6,12,0,2,0,1.9666666666666668,13,8,0,1
65,5461,4421,1622,6188,9719,6823,138•,83•,RED,1,0.09999999999999999,22,11,1,2,1,1.0333333333333332,15,8,0,2
