Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,359,11,1,0,12,34,2.8333333333333335,1498,5,20,131,144,20,24
2,6823,10,2,0,12,32,2.6666666666666665,936,2,13,196,65,5,24
3,4421,10,2,0,12,31,2.5833333333333335,1294,2,5,258,97,9,23
4,2122,11,1,0,12,31,2.5833333333333335,1324,0,19,217,122,8,21
5,1622,9,3,0,12,29,2.4166666666666665,1320,4,13,138,145,12,23
6,5461,10,2,0,12,29,2.4166666666666665,942,3,7,164,86,3,21
7,3008,8,4,0,12,26,2.1666666666666665,847,2,15,172,68,2,22
8,1868,9,3,0,12,26,2.1666666666666665,878,0,8,189,69,3,20
9,7796,7,5,0,12,25,2.0833333333333335,728,2,13,127,65,3,23
10,9180,8,4,0,12,25,2.0833333333333335,1066,0,19,117,138,6,21
11,7497,7,5,0,12,24,2.0,876,3,16,188,64,1,22
12,6188,6,6,0,12,23,1.9166666666666667,893,4,5,128,100,3,23
13,6351,6,6,0,12,23,1.9166666666666667,758,2,16,139,60,3,23
14,8338,6,6,0,12,23,1.9166666666666667,755,2,9,184,46,1,23
15,7173,7,5,0,12,23,1.9166666666666667,801,1,17,120,75,5,21
16,1452,6,6,0,12,23,1.9166666666666667,927,1,8,190,81,0,23
17,10127,6,6,0,12,23,1.9166666666666667,818,1,6,154,77,3,22
18,6918,6,5,1,12,23,1.9166666666666667,712,1,4,127,72,2,22
19,568,5,6,1,12,22,1.8333333333333333,717,3,6,134,71,0,23
20,9292,6,6,0,12,22,1.8333333333333333,774,1,10,113,92,3,22
21,8503,4,7,1,12,21,1.75,797,3,6,71,106,2,24
22,10147,6,6,0,12,21,1.75,781,1,11,155,66,2,21
23,9641,5,7,0,12,21,1.75,801,1,10,161,68,3,23
24,6390,5,7,0,12,20,1.6666666666666667,829,2,5,190,61,2,22
25,7190,5,6,1,12,20,1.6666666666666667,702,1,12,128,69,1,21
26,9277,5,7,0,12,20,1.6666666666666667,607,1,10,124,54,1,22
27,7167,4,7,1,12,20,1.6666666666666667,576,1,9,104,52,1,23
28,10185,5,7,0,12,20,1.6666666666666667,799,0,11,121,84,5,22
29,4270,4,8,0,12,19,1.5833333333333333,1005,5,16,136,106,1,23
30,8339,4,7,1,12,19,1.5833333333333333,628,3,9,114,56,0,22
31,7135,4,8,0,12,19,1.5833333333333333,710,2,11,120,67,1,23
32,4627,4,8,0,12,19,1.5833333333333333,681,2,6,111,74,1,23
33,9719,5,7,0,12,19,1.5833333333333333,744,1,14,95,89,5,20
34,9449,3,9,0,12,18,1.5,732,2,11,120,77,1,24
35,7287,5,7,0,12,18,1.5,794,1,14,150,67,3,20
36,6364,4,8,0,12,17,1.4166666666666667,894,3,5,213,61,1,21
37,9550,5,7,0,12,17,1.4166666666666667,657,2,12,103,67,3,19
38,2130,4,8,0,12,17,1.4166666666666667,814,2,10,165,57,4,21
39,7688,3,9,0,12,17,1.4166666666666667,725,1,9,125,67,3,23
40,9649,4,8,0,12,17,1.4166666666666667,649,0,12,137,50,2,20
41,5515,4,8,0,12,16,1.3333333333333333,671,2,14,139,59,0,20
42,7332,3,9,0,12,12,1.0,538,0,13,95,58,1,18
