#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1156,9460,9617,6404,9219,9603,172,166,RED
2,9485,9458,10064,9049,9175,10092,115,121,BLUE
3,1772,7563,9302,9461,7565,9050,143,140,RED
4,9048,9305,9169,1860,9199,10082,76,97,BLUE
5,6404,9219,9603,9485,9458,10064,152,105,RED
6,9461,7565,9050,9048,9305,9169,146,104,RED
7,1156,9460,9617,9049,9175,10092,193,103,RED
8,1772,7563,9302,1860,9199,10082,129,114,RED
9,9049,9175,10092,9461,7565,9050,88,117,BLUE
10,1860,9199,10082,6404,9219,9603,152,121,RED
11,1156,9460,9617,1772,7563,9302,167,99,RED
12,1860,9199,10082,9461,7565,9050,121,150,BLUE
13,1772,7563,9302,9461,7565,9050,134,136,BLUE
14,1156,9460,9617,9461,7565,9050,189,134,RED
15,1156,9460,9617,9461,7565,9050,150,170,BLUE
16,1156,9460,9617,9461,7565,9050,211,141,RED
