#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9162,9163,10155,8276,10130,9169,63•,76,BLUE,1,0.06666666666666667,13,3,0,2,0,0.03333333333333333,21,6,0,1
2,10040,1772,9675,10078,10209,9487,55•,48,RED,0,0.06666666666666667,5,9,0,2,0,0.1,8,5,0,1
3,9166,10102,10034,6902,8882,9049,44,61•,BLUE,0,0.06666666666666667,7,5,0,1,0,0.9666666666666667,9,8,0,2
4,9110,9459,9178,7459,1156,10214,30•,72,BLUE,0,0.0,12,0,0,2,0,1.9666666666666668,7,5,2,0
5,9195,5800,9461,9657,9175,9602,64•,61•,RED,0,0.06666666666666667,20,4,0,2,0,0.9333333333333333,20,3,0,2
6,9617,6404,7567,10090,9050,10082,76,62•,RED,0,0.3,23,5,0,1,0,1.0333333333333334,18,3,0,2
7,9045,10179,9458,9484,9165,9219,65•,76•,BLUE,0,0.9666666666666667,12,7,0,2,0,1.0666666666666667,14,9,0,2
8,9046,9614,7565,9486,9048,7033,73,77•,BLUE,0,0.9333333333333333,21,4,0,1,1,0.0,20,4,0,2
9,9199,10092,10164,9305,7563,10175,101•,70•,RED,1,0.06666666666666667,19,9,0,2,0,2.3000000000000003,23,3,0,2
10,1860,9485,10064,9611,9302,9218,107•,46•,RED,1,0.16666666666666666,30,4,0,2,0,0.0,23,-1,0,2
11,9163,9196,9047,9460,9603,9110,38,92,BLUE,0,0.0,9,2,0,1,0,0.9666666666666667,19,8,0,1
12,10214,9602,9487,9166,9617,9219,49•,57•,BLUE,0,0.9666666666666667,8,5,0,2,0,0.9666666666666667,12,6,0,2
13,9614,10034,5800,9459,10209,9675,54•,42•,RED,0,0.1,12,5,0,2,0,0.06666666666666667,15,2,0,2
14,1772,9175,9045,10082,10130,8882,87•,68•,RED,0,0.0,18,9,0,2,0,1.0333333333333334,15,6,0,2
15,10040,9458,10064,1156,10175,9461,67•,128•,BLUE,0,1.0333333333333334,11,7,0,2,1,1.0333333333333334,19,8,1,2
16,9302,7565,6902,7459,9196,9218,37,25•,RED,0,0.9333333333333333,8,3,0,1,0,0.9666666666666667,9,1,0,2
17,7563,9460,9050,9486,9169,1860,95•,76,RED,0,1.2333333333333334,23,5,1,2,0,0.13333333333333333,23,5,0,1
18,10092,9047,9195,9611,9046,10078,52•,57•,BLUE,0,0.03333333333333333,13,5,0,2,1,0.03333333333333333,11,3,0,2
19,9485,9048,10090,8276,9199,9165,66•,46•,RED,0,0.03333333333333333,21,3,0,2,0,0.0,12,3,0,2
20,9603,9305,6404,9162,7567,9484,87•,64•,RED,1,2.1,22,3,0,2,0,0.23333333333333334,16,5,0,2
21,7033,10164,9657,10155,10179,9049,38,64•,BLUE,0,0.03333333333333333,10,3,0,1,0,0.1,16,6,0,2
22,9602,10102,9302,9178,10040,9460,59,53•,RED,0,0.9666666666666667,17,4,0,0,0,0.06666666666666667,7,6,0,2
23,6902,9458,1860,9617,5800,10092,84•,70•,RED,0,2.0666666666666664,19,8,0,2,0,0.1,20,4,0,2
24,7459,9486,9461,9199,9219,9195,57,75•,BLUE,0,0.9666666666666667,23,1,0,1,0,0.9666666666666667,11,11,0,2
25,8882,9675,9305,9165,9050,9163,49,47,RED,0,1.9333333333333333,13,3,0,1,0,0.9666666666666667,19,0,0,1
26,10164,9611,9603,10130,9459,9166,78•,50,RED,0,1.0,23,5,0,2,0,0.03333333333333333,21,0,0,1
27,10179,10090,9178,10155,9614,9045,42•,48,BLUE,0,0.06666666666666667,9,4,0,2,0,0.06666666666666667,9,6,0,1
28,9047,9218,10209,9484,10175,9048,38,52•,BLUE,0,0.06666666666666667,11,3,0,0,0,0.16666666666666666,15,3,0,2
29,9485,9657,9162,9110,7565,1772,46•,85•,BLUE,0,0.0,14,3,0,2,0,0.9333333333333333,22,7,0,2
30,10064,10034,10214,7033,9175,10082,48,78•,BLUE,0,0.1,8,5,0,1,0,0.03333333333333333,23,6,0,2
31,9049,10078,9196,7563,6404,1156,60,116,BLUE,0,0.03333333333333333,9,8,0,1,0,1.4,24,5,2,1
32,9169,10102,9487,7567,9046,8276,62,66,BLUE,0,0.03333333333333333,18,4,0,0,0,0.13333333333333333,24,2,0,1
33,8882,10090,9195,9603,6902,10209,50,50,TIE,0,1.0,7,6,0,1,0,1.0333333333333334,11,4,0,1
34,9048,9163,9218,9458,10092,9657,30•,78•,BLUE,0,0.0,11,1,0,2,0,0.9666666666666667,18,5,0,2
35,5800,9162,9175,10175,9302,9050,64•,62,RED,0,1.0666666666666667,16,5,0,2,0,1.0333333333333334,20,3,0,1
36,9602,9486,9459,10064,9484,9049,41•,64,BLUE,0,0.9333333333333333,11,2,0,2,0,0.13333333333333333,9,9,0,1
37,8276,1860,10040,10164,10082,7459,76•,50,RED,0,0.2,24,4,0,2,0,1.0333333333333334,12,4,0,1
38,9165,9169,7565,6404,1772,9614,77,69,RED,0,0.9333333333333333,20,6,0,1,0,0.16666666666666666,15,6,0,1
39,10102,9199,10155,10214,9047,10078,88•,42•,RED,0,0.1,18,10,0,2,0,0.06666666666666667,9,4,0,2
40,9219,9178,9046,9110,9166,7563,55,65•,BLUE,0,0.9666666666666667,15,4,0,1,1,0.26666666666666666,18,2,0,2
41,1156,9305,9460,10034,9611,10179,174,52•,RED,0,1.9333333333333333,14,24,2,1,0,0.06666666666666667,15,4,0,2
42,9461,9485,9196,9675,7567,10130,56•,46•,RED,0,0.0,18,2,0,2,0,0.16666666666666666,13,3,0,2
43,7033,9045,7459,9617,9487,9486,45•,72•,BLUE,0,-0.03333333333333333,13,4,0,2,0,0.0,24,4,0,2
44,10092,9484,9169,7565,5800,10090,44,76,BLUE,0,0.13333333333333333,7,5,0,1,0,1.0333333333333334,12,9,0,1
45,10064,9219,9302,9163,10164,9046,68,54•,RED,0,1.0,12,8,0,1,0,0.03333333333333333,16,3,0,2
46,9049,9050,1772,9178,9603,9199,97•,75•,RED,0,0.9666666666666667,22,11,0,2,0,0.9666666666666667,22,5,0,2
47,9611,9614,8882,9657,7567,10040,57,64,BLUE,0,0.9666666666666667,18,3,0,1,0,0.2,20,3,0,1
48,10130,1156,9047,9675,7033,9602,127•,49•,RED,0,1.0,18,11,1,2,0,0.9333333333333333,11,5,0,2
49,10209,10214,9110,9461,9045,1860,65•,81•,BLUE,1,0.1,13,4,0,2,1,0.13333333333333333,21,3,0,2
50,10082,9166,9048,10102,9196,10179,56•,56,TIE,0,0.03333333333333333,20,2,0,2,0,0.06666666666666667,8,8,0,1
51,10175,9617,6902,9305,10078,10155,59•,74,BLUE,1,0.06666666666666667,8,5,0,2,0,1.0666666666666667,16,8,0,0
52,9175,9165,9459,9218,8276,7563,56•,36,RED,0,0.0,25,0,0,2,0,1.2666666666666666,13,1,0,0
53,9460,6404,9162,9487,9195,9485,91•,50•,RED,0,0.16666666666666666,15,9,1,2,0,0.0,18,2,0,2
54,10034,7033,9603,9458,9461,9302,54•,87•,BLUE,0,1.0,9,6,0,2,1,0.9333333333333333,17,6,0,2
55,9045,9675,5800,9048,9049,9611,46,52•,BLUE,0,0.06666666666666667,10,5,0,1,0,0.0,15,4,0,2
56,10209,10082,1156,9219,10130,10092,142•,74,RED,1,1.0666666666666667,16,10,2,2,0,1.0333333333333334,14,9,0,1
57,9047,7459,9305,9169,9166,10064,65•,52,RED,0,1.9333333333333333,22,3,0,2,0,0.03333333333333333,14,3,0,0
58,10175,9178,8882,9486,9485,8276,54•,66•,BLUE,0,1.0333333333333334,15,3,0,2,0,0.0,25,2,0,2
59,9218,10155,9050,1772,9195,10102,44•,90•,BLUE,0,1.0333333333333334,14,2,0,2,1,0.03333333333333333,12,9,0,2
60,7567,10214,6902,9163,7563,10179,38•,56,BLUE,0,0.16666666666666666,10,3,0,2,0,0.3,19,2,0,1
61,9459,9657,9617,9165,9162,10040,62•,40•,RED,0,0.0,26,1,0,2,0,0.06666666666666667,11,3,0,2
62,9487,9484,9199,9196,1860,9614,50•,50•,TIE,0,0.09999999999999999,12,4,0,2,0,0.13333333333333333,9,6,0,2
63,10078,9460,7565,10090,9458,9175,103•,82,RED,0,0.9666666666666667,11,13,1,2,0,0.9666666666666667,16,8,0,1
64,9046,9110,10034,9602,10164,6404,52•,73•,BLUE,0,0.03333333333333333,18,2,0,2,1,1.1333333333333333,16,3,0,2
65,9461,10179,10214,9218,8882,9169,54,61•,BLUE,0,0.06666666666666667,16,4,0,1,0,0.9666666666666667,17,4,0,2
66,9050,10092,9045,9047,10040,9485,64•,72•,BLUE,0,1.0,22,2,0,2,0,1.0666666666666667,23,3,0,2
67,10082,9487,9611,9049,9486,9163,54•,53•,RED,0,0.03333333333333333,18,3,0,2,1,0.0,11,2,0,2
68,9219,10175,7033,9460,9459,1772,63•,130•,BLUE,1,1.0333333333333334,5,7,0,2,0,0.0,17,16,1,2
69,9675,9110,8276,9305,9195,9458,42•,80,BLUE,0,0.0,14,2,0,2,0,1.9,19,6,0,1
70,9196,9165,7567,1860,10155,9178,50,88•,BLUE,0,1.1333333333333333,14,3,0,1,0,0.2,27,5,0,2
71,9048,7459,7563,9162,10034,9602,79•,53,RED,1,1.2333333333333334,25,2,0,2,0,0.9666666666666667,7,7,0,1
72,9657,10209,6404,9302,9199,1156,50,93•,BLUE,0,0.23333333333333334,16,2,0,1,0,0.9666666666666667,15,9,1,2
73,9175,7565,9603,9614,6902,10164,105,42,RED,0,0.9,37,4,0,1,0,0.03333333333333333,7,6,0,1
74,10130,10090,9617,9046,10064,10102,56•,62,BLUE,0,0.06666666666666667,15,4,0,2,0,0.06666666666666667,20,3,0,1
75,9166,10078,9486,5800,9110,9484,48•,46•,RED,0,0.03333333333333333,7,6,0,2,0,0.16666666666666666,11,3,0,2
76,1772,10155,9485,10034,7459,9163,89,40•,RED,0,1.0666666666666667,23,6,0,1,0,1.0,11,3,0,2
77,8882,9602,10179,6404,9487,10092,59•,78•,BLUE,0,1.9333333333333333,16,3,0,2,0,1.2000000000000002,26,3,0,2
78,9175,9169,10209,9196,9611,9458,62•,57•,RED,0,0.06666666666666667,16,5,0,2,0,0.9333333333333333,13,5,0,2
79,9199,9460,10082,9603,9218,9675,103•,37,RED,0,0.03333333333333333,17,9,1,2,0,0.9666666666666667,10,3,0,1
80,9614,8276,9302,10078,1156,9617,52,106•,BLUE,0,0.0,22,1,0,1,0,1.0,14,9,2,2
81,9050,6902,9484,9657,9461,9046,60•,34•,RED,0,1.0666666666666667,19,3,0,2,0,0.0,13,0,0,2
82,9459,10064,7567,7565,9045,9166,56•,55,RED,0,0.16666666666666666,17,4,0,2,0,0.9333333333333333,13,5,0,1
83,9195,10040,7033,5800,9178,9305,52•,66•,BLUE,0,0.06666666666666667,11,6,0,2,0,1.0333333333333334,20,4,0,2
84,10130,10175,10164,10214,9048,9165,54•,56•,BLUE,0,0.13333333333333333,8,6,0,2,0,0.03333333333333333,17,4,0,2
85,1860,9049,9219,10090,9162,9047,90•,52•,RED,0,0.1,16,11,0,2,0,0.03333333333333333,14,4,0,2
86,7563,9461,9611,10102,9617,9614,70•,42•,RED,0,0.26666666666666666,27,2,0,2,0,0.03333333333333333,12,3,0,2
87,9458,10082,9046,9459,8882,9199,94,83•,RED,0,0.9666666666666667,19,8,0,1,0,0.9666666666666667,20,6,0,2
88,9050,8276,5800,10179,10064,9460,70,117,BLUE,0,1.0333333333333334,17,6,0,1,0,0.06666666666666667,9,18,1,1
