Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1156,9,0,0,9,24,2.6666666666666665,1049,2,7,141,88,14,14
2,1772,8,1,0,9,23,2.5555555555555554,784,1,1,148,83,1,16
3,9048,6,2,1,9,22,2.4444444444444446,522,2,1,156,29,0,18
4,9460,8,1,0,9,22,2.4444444444444446,958,0,2,132,108,8,15
5,9485,7,2,0,9,21,2.3333333333333335,616,1,2,193,29,0,15
6,9049,7,2,0,9,21,2.3333333333333335,605,1,0,123,65,0,16
7,7563,7,2,0,9,20,2.2222222222222223,659,2,6,199,25,3,14
8,1860,6,2,1,9,20,2.2222222222222223,718,2,2,189,50,0,16
9,9199,5,3,1,9,20,2.2222222222222223,714,1,0,146,66,2,18
10,9175,7,2,0,9,20,2.2222222222222223,661,0,3,185,46,0,15
11,9461,6,3,0,9,19,2.111111111111111,631,3,1,174,30,1,16
12,9305,7,2,0,9,19,2.111111111111111,728,1,10,172,56,2,13
13,6404,7,2,0,9,18,2.0,706,2,7,171,42,3,13
14,10082,5,3,1,9,18,2.0,707,1,4,158,51,3,16
15,10155,6,3,0,9,18,2.0,612,1,3,148,52,0,14
16,9611,5,4,0,9,18,2.0,523,1,1,163,28,0,17
17,9617,5,4,0,9,18,2.0,600,1,1,154,41,2,17
18,9484,5,3,1,9,18,2.0,516,0,2,117,46,0,16
19,9486,5,4,0,9,17,1.8888888888888888,550,2,0,158,31,0,16
20,9219,6,3,0,9,17,1.8888888888888888,624,1,6,113,71,0,14
21,9458,5,4,0,9,16,1.7777777777777777,694,1,4,144,60,0,15
22,10078,5,4,0,9,16,1.7777777777777777,595,1,3,100,59,3,14
23,5800,5,4,0,9,16,1.7777777777777777,556,0,4,138,45,0,15
24,9165,5,4,0,9,16,1.7777777777777777,512,0,2,148,34,0,15
25,10040,4,5,0,9,16,1.7777777777777777,533,0,2,117,49,0,17
26,9487,4,4,1,9,16,1.7777777777777777,535,0,1,159,33,0,15
27,9459,4,5,0,9,16,1.7777777777777777,550,0,0,164,31,1,17
28,6902,4,4,1,9,15,1.6666666666666667,485,1,4,96,48,0,15
29,10092,4,5,0,9,15,1.6666666666666667,625,1,3,155,48,0,16
30,9195,4,4,1,9,15,1.6666666666666667,579,1,2,131,53,0,15
31,10064,6,3,0,9,15,1.6666666666666667,641,1,2,130,61,1,11
32,7565,6,3,0,9,15,1.6666666666666667,658,0,1,158,54,1,12
33,7033,3,6,0,9,14,1.5555555555555556,510,2,2,115,46,0,17
34,9603,4,4,1,9,14,1.5555555555555556,635,1,6,168,41,0,14
35,9302,5,4,0,9,14,1.5555555555555556,567,1,2,157,35,1,12
36,9162,3,6,0,9,14,1.5555555555555556,527,1,1,119,44,1,17
37,9166,4,4,1,9,14,1.5555555555555556,518,1,0,126,36,1,13
38,9178,3,6,0,9,14,1.5555555555555556,535,0,2,154,34,0,17
39,9110,3,6,0,9,13,1.4444444444444444,531,2,2,142,31,0,16
40,9045,4,5,0,9,13,1.4444444444444444,555,1,1,139,45,0,13
41,10102,4,4,1,9,13,1.4444444444444444,541,1,0,119,50,0,11
42,8882,3,5,1,9,13,1.4444444444444444,542,0,5,130,42,0,15
43,9047,3,6,0,9,13,1.4444444444444444,533,0,3,133,38,1,15
44,10090,3,5,1,9,13,1.4444444444444444,568,0,3,126,51,0,15
45,10164,3,6,0,9,12,1.3333333333333333,528,2,3,118,43,0,15
46,10209,3,5,1,9,12,1.3333333333333333,551,2,2,119,40,2,13
47,10214,3,6,0,9,12,1.3333333333333333,506,1,1,102,44,2,14
48,9046,4,5,0,9,12,1.3333333333333333,547,1,0,157,29,0,13
49,9050,3,6,0,9,12,1.3333333333333333,601,0,7,174,35,1,15
50,7567,4,5,0,9,12,1.3333333333333333,514,0,3,152,31,0,13
51,10130,3,6,0,9,12,1.3333333333333333,611,0,3,139,50,1,15
52,8276,4,5,0,9,12,1.3333333333333333,530,0,2,172,27,0,12
53,10179,3,5,1,9,12,1.3333333333333333,565,0,1,120,56,1,14
54,9169,5,4,0,9,12,1.3333333333333333,574,0,0,157,42,0,8
55,9657,3,6,0,9,12,1.3333333333333333,480,0,0,151,23,0,15
56,10175,2,7,0,9,11,1.2222222222222223,608,3,6,133,42,1,16
57,7459,3,6,0,9,11,1.2222222222222223,487,1,7,137,26,2,13
58,9602,2,7,0,9,11,1.2222222222222223,501,1,3,121,35,0,15
59,9163,2,7,0,9,10,1.1111111111111112,472,2,1,123,23,1,15
60,9675,2,7,0,9,10,1.1111111111111112,420,0,1,103,38,0,15
61,9196,1,6,2,9,9,1.0,455,0,1,112,37,0,14
62,9218,1,8,0,9,8,0.8888888888888888,355,0,2,115,18,0,13
63,10034,1,8,0,9,8,0.8888888888888888,451,0,2,92,45,0,15
64,9614,2,6,1,9,8,0.8888888888888888,487,0,0,125,40,0,12
