#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1323,581,6305,6647,8404,6434,271,174,RED
2,2073,100,3598,8,1622,3257,176,201,BLUE
3,5940,6619,1671,3925,5817,2489,316,179,RED
4,840,6657,6814,1197,8768,3970,194,146,RED
5,6647,8404,6434,2073,100,3598,133,191,BLUE
6,3925,5817,2489,1197,8768,3970,207,142,RED
7,1323,581,6305,8,1622,3257,275,193,RED
8,5940,6619,1671,840,6657,6814,287,157,RED
9,8,1622,3257,3925,5817,2489,183,176,RED
10,840,6657,6814,2073,100,3598,164,208,BLUE
11,1323,581,6305,5940,6619,1671,329,227,RED
12,2073,100,3598,8,1622,3257,220,174,RED
13,5940,6619,1671,2073,100,3598,271,197,RED
14,1323,581,6305,5940,6619,1671,319,280,RED
15,1323,581,6305,5940,6619,1671,294,275,RED
