#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2367,8768,6814,3257,8,10049,72•,83•,BLUE,0,0.0,14,8,0,2,0,1.0,15,7,0,2
2,1622,10188,6657,840,1671,9706,114•,135•,BLUE,0,0.16666666666666666,20,10,0,2,0,1.9666666666666668,10,21,1,2
3,3189,5940,6305,3598,6619,6434,136•,109•,RED,0,2.4000000000000004,21,10,2,2,0,1.9666666666666668,22,8,1,2
4,581,8546,1280,6059,5430,10028,131•,52,RED,0,2.833333333333333,15,11,2,2,0,0.16666666666666666,8,7,0,1
5,3925,3970,3646,10194,1323,9143,103•,100•,RED,0,1.4333333333333333,19,11,0,2,0,2.3666666666666663,13,7,2,2
6,1197,7583,8840,6711,2489,6822,95•,59,RED,0,1.1666666666666667,19,10,0,2,0,1.9333333333333331,17,3,0,1
7,8404,100,6804,2073,6647,5817,115•,177•,BLUE,0,3.033333333333333,13,14,1,2,1,1.2666666666666668,12,23,1,2
8,6305,1323,10028,9143,3925,840,170,138•,RED,0,2.3666666666666663,18,12,3,1,0,2.0666666666666664,19,15,1,2
9,1671,8,6822,6059,10049,2489,83•,76•,RED,0,2.833333333333333,7,10,1,2,0,2.0,16,7,0,2
10,5817,8840,6434,1622,9706,3646,123•,109•,RED,0,0.9,16,14,1,2,0,1.1333333333333335,10,18,0,2
11,100,3189,2367,10194,6657,3598,98•,98•,TIE,0,1.2666666666666668,17,9,1,2,1,0.2,22,5,0,2
12,8404,5430,8546,6711,2073,3257,74•,104•,BLUE,0,1.9666666666666668,14,6,0,2,0,1.2666666666666666,9,12,1,2
13,5940,3970,6814,7583,581,6647,119•,148•,BLUE,0,3.5999999999999996,14,8,1,2,0,2.0333333333333337,16,17,1,2
14,6804,1280,6619,8768,1197,10188,112•,107•,RED,1,1.8666666666666667,15,7,1,2,0,1.2,17,12,0,2
15,5430,100,8,1671,3257,8840,112•,93•,RED,0,2.2333333333333334,16,13,0,2,0,1.9,10,14,0,2
16,2073,8404,6814,9706,6822,9143,118•,73•,RED,0,1.0666666666666667,18,11,1,2,0,1.9,12,9,0,2
17,10188,10028,3970,2489,8546,5940,93•,121•,BLUE,0,1.4,15,10,0,2,1,3.2,14,8,1,2
18,6657,3189,6434,3646,6647,1280,102•,110,BLUE,1,1.0333333333333332,24,5,0,2,0,0.06666666666666667,15,15,0,1
19,1323,840,8768,1622,1197,10194,201•,119•,RED,1,3.3,20,16,3,2,0,0.3,11,15,1,2
20,7583,6059,6619,2367,6804,5817,119,100•,RED,0,1.0333333333333334,26,10,1,1,0,1.0,15,9,1,2
21,581,6711,3598,3925,10049,6305,125•,89•,RED,0,3.1,16,8,2,2,0,0.16666666666666666,17,9,0,2
22,6657,2489,1197,9143,6434,8404,132•,82•,RED,0,2.0666666666666664,31,9,0,2,0,2.8,16,8,0,2
23,5430,5940,8768,3970,1323,100,163•,221•,BLUE,0,1.4000000000000001,13,16,3,2,0,2.8,24,19,5,2
24,6619,581,2367,5817,6814,1622,176•,129•,RED,0,2.7666666666666666,25,15,2,2,1,0.13333333333333333,11,17,0,2
25,3646,840,8546,10028,8840,6822,86•,65•,RED,0,1.9333333333333333,9,10,1,2,0,1.8666666666666667,9,9,0,2
26,6804,3257,9706,10049,3598,6647,90•,72•,RED,0,1.0,7,17,0,2,0,0.23333333333333334,15,6,0,2
27,6305,8,10188,3189,2073,7583,103•,117•,BLUE,0,1.0333333333333334,15,10,1,2,0,0.36666666666666664,18,13,1,2
28,10194,1671,3925,6711,6059,1280,86•,62•,RED,0,1.1666666666666667,16,9,0,2,0,0.13333333333333333,12,8,0,2
29,6814,6434,581,8768,100,6657,148•,171•,BLUE,1,2.8,19,12,1,2,1,0.16666666666666666,24,16,1,2
30,9143,3189,1197,3598,10188,9706,92•,99•,BLUE,1,1.2,19,5,0,2,1,0.23333333333333334,17,10,0,2
31,3257,10194,8404,1622,2489,10028,127•,135•,BLUE,1,0.9666666666666667,19,13,0,2,0,1.0666666666666667,25,12,1,2
32,1671,2073,1280,3925,6822,5940,114•,159•,BLUE,0,1.1333333333333333,13,15,1,2,1,3.333333333333333,12,11,3,2
33,6305,2367,6059,8546,10049,7583,58,77•,BLUE,0,0.03333333333333333,11,7,0,1,1,1.1,10,7,0,2
34,840,3970,6711,6619,5817,8,104•,164•,BLUE,0,2.3666666666666667,11,12,0,2,0,1.9,26,16,2,2
