Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1323,11,1,0,12,32,2.6666666666666665,2024,4,28,225,158,34,21
2,5940,9,2,1,12,31,2.5833333333333335,1789,4,25,186,163,20,24
3,581,9,3,0,12,30,2.5,1819,5,28,202,165,19,24
4,840,9,3,0,12,30,2.5,1558,4,19,162,169,14,24
5,2073,9,3,0,12,30,2.5,1552,2,11,180,166,12,24
6,8,9,3,0,12,30,2.5,1375,0,17,209,132,9,24
7,1197,7,4,1,12,27,2.25,1467,5,12,246,131,6,24
8,6619,8,4,0,12,27,2.25,1681,3,16,275,134,19,22
9,3925,8,4,0,12,27,2.25,1361,3,14,204,130,7,23
10,6647,9,3,0,12,27,2.25,1514,2,14,178,175,7,21
11,8768,7,5,0,12,26,2.1666666666666665,1455,4,10,193,150,11,24
12,1622,7,5,0,12,26,2.1666666666666665,1560,3,10,182,168,11,24
13,100,6,4,2,12,25,2.0833333333333335,1572,3,14,212,158,15,23
14,8404,8,4,0,12,25,2.0833333333333335,1327,2,17,193,134,4,21
15,6822,7,5,0,12,24,2.0,1166,4,19,164,97,12,20
16,3598,6,5,1,12,24,2.0,1253,4,10,212,110,7,23
17,1671,6,6,0,12,24,2.0,1352,3,17,152,155,7,24
18,3257,6,5,1,12,24,2.0,1299,3,10,162,152,6,23
19,5817,6,6,0,12,24,2.0,1387,3,7,206,143,9,24
20,2489,7,5,0,12,23,1.9166666666666667,1286,2,15,246,101,5,21
21,7583,7,5,0,12,23,1.9166666666666667,1129,1,8,169,116,9,21
22,3646,6,5,1,12,23,1.9166666666666667,1061,1,7,148,124,4,22
23,1280,6,6,0,12,22,1.8333333333333333,1210,4,6,177,123,7,22
24,8546,5,7,0,12,22,1.8333333333333333,1107,3,18,170,106,5,24
25,3970,6,6,0,12,21,1.75,1323,2,15,185,133,6,21
26,6814,5,7,0,12,20,1.6666666666666667,1280,4,12,197,125,5,22
27,6657,4,7,1,12,20,1.6666666666666667,1416,3,5,288,113,3,23
28,6434,4,8,0,12,19,1.5833333333333333,1377,5,17,193,130,9,23
29,10049,4,7,1,12,19,1.5833333333333333,1142,3,11,188,99,4,21
30,9706,5,7,0,12,19,1.5833333333333333,1239,3,9,137,165,5,21
31,6305,6,6,0,12,19,1.5833333333333333,1262,2,9,203,121,7,19
32,8840,5,7,0,12,19,1.5833333333333333,1152,0,13,154,138,3,21
33,3189,4,7,1,12,17,1.4166666666666667,1098,2,7,200,104,5,20
34,6804,3,9,0,12,17,1.4166666666666667,1041,1,14,154,108,7,23
35,2367,3,8,1,12,17,1.4166666666666667,1100,1,8,182,115,5,22
36,10028,4,8,0,12,17,1.4166666666666667,1101,0,10,165,110,7,21
37,10194,3,8,1,12,16,1.3333333333333333,1106,3,9,169,109,5,20
38,6059,4,8,0,12,16,1.3333333333333333,966,1,8,155,103,4,20
39,5430,3,9,0,12,15,1.25,1031,2,10,129,107,7,21
40,6711,4,8,0,12,15,1.25,908,0,11,151,93,3,19
41,9143,0,12,0,12,12,1.0,966,2,16,177,89,3,24
42,10188,1,11,0,12,12,1.0,1031,2,10,165,105,4,22
