#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,696,1148,2584,589,4201,4141,200,182,RED
2,597,687,1452,9408,2710,599,229,166,RED
3,2659,2465,294,7042,7415,1836,196,237,BLUE
4,1197,5285,3408,702,5851,1515,141,232,BLUE
5,589,4201,4141,9408,2710,599,189,176,RED
5,589,4201,4141,9408,2710,599,163,163,TIE
6,2659,2465,294,1197,5285,3408,181,123,RED
7,696,1148,2584,597,687,1452,175,225,BLUE
8,7042,7415,1836,702,5851,1515,156,169,BLUE
9,696,1148,2584,2659,2465,294,239,221,RED
10,7042,7415,1836,589,4201,4141,199,160,RED
11,597,687,1452,702,5851,1515,200,215,BLUE
12,7042,7415,1836,696,1148,2584,219,226,BLUE
13,597,687,1452,696,1148,2584,251,268,BLUE
14,702,5851,1515,696,1148,2584,168,212,BLUE
15,702,5851,1515,696,1148,2584,192,235,BLUE
