#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5089,6000,1452,9408,3759,696,50,136•,BLUE,0,1.0333333333333334,12,3,0,1,0,1.2666666666666666,23,16,0,2
2,7042,5669,5500,3408,5851,4,95,153•,BLUE,0,0.23333333333333334,17,11,0,1,1,2.033333333333333,22,15,0,2
3,1159,4201,4123,4964,1138,4999,116•,76,RED,1,2.3333333333333335,20,10,0,2,0,2.0,14,8,0,1
4,1148,1661,589,6658,1836,3952,137•,94•,RED,1,1.5,14,13,1,2,0,1.8,10,13,0,2
5,1197,599,2659,3863,9172,2404,152•,49•,RED,1,2.466666666666667,24,13,1,2,0,1.9,8,6,0,2
6,9505,7415,8020,867,968,2465,88•,82•,RED,0,0.16666666666666666,23,7,0,2,0,0.26666666666666666,13,8,0,2
7,7230,2637,2429,3473,597,2710,70•,134•,BLUE,0,1.0,5,9,1,2,0,1.1,23,14,0,2
8,4141,5285,1515,294,9471,1726,107,103•,RED,0,1.9333333333333333,30,5,0,1,1,1.5666666666666669,10,10,1,2
9,5124,2584,6904,3328,8006,702,78,37•,RED,0,2.1,9,6,1,1,0,1.9333333333333333,7,3,0,2
10,9696,4501,687,9772,1759,3993,97,39•,RED,0,1.0666666666666667,10,7,2,0,0,0.9666666666666667,8,4,0,2
11,4019,4999,8600,1160,1661,980,60•,50•,RED,0,0.06666666666666665,14,6,0,2,0,1.1666666666666667,15,1,0,2
12,968,6658,8020,3408,1197,696,85•,112•,BLUE,1,1.0666666666666667,14,8,0,2,0,2.0666666666666664,28,10,0,2
13,7042,5285,1836,1138,3759,7230,162•,52•,RED,1,2.9666666666666663,6,23,1,2,0,1.0666666666666667,8,6,0,2
14,867,6904,4964,4141,599,9408,50•,149•,BLUE,0,2.1,14,3,0,2,1,1.1,29,13,0,2
15,1759,3473,2465,5500,1452,3328,83•,49,RED,0,1.0333333333333334,11,7,1,2,0,0.1,8,4,0,0
16,9772,2584,1160,1726,4201,597,81•,112•,BLUE,0,1.3666666666666667,13,7,1,2,0,2.2666666666666666,21,11,1,2
17,3863,702,2637,294,2404,9696,65•,51•,RED,0,1.9,13,7,0,2,0,1.6333333333333335,11,2,1,2
18,8006,2710,5669,4019,9505,4501,59•,62,BLUE,0,1.0666666666666667,11,5,0,2,0,0.13333333333333333,13,7,0,1
19,2659,4123,1515,7415,1148,5124,125,118•,RED,0,2.466666666666667,20,10,1,1,0,2.533333333333333,19,13,0,2
20,9172,5089,980,3952,687,1159,57•,77•,BLUE,0,2.9,13,5,0,2,0,1.9333333333333333,10,6,1,2
21,6000,3993,2429,5851,589,9471,85•,86•,BLUE,0,0.16666666666666669,12,8,1,2,0,2.7666666666666666,13,5,2,2
22,3473,8600,7230,4,702,4964,48,105,BLUE,0,0.13333333333333333,4,8,0,1,0,1.2000000000000002,29,7,0,1
23,2465,3759,4201,9408,4019,3863,133•,122•,RED,1,0.43333333333333335,24,9,1,2,1,0.3333333333333333,9,14,1,2
24,1836,4141,9505,4501,6658,2584,112•,99•,RED,0,0.8666666666666667,21,11,0,2,0,1.2333333333333334,12,13,0,2
25,1759,1138,5089,2710,968,1148,77•,154•,BLUE,0,2.833333333333333,14,9,0,2,1,0.5666666666666667,22,16,0,2
26,3993,1159,294,1452,5669,1160,72•,89•,BLUE,0,0.7000000000000002,9,7,1,2,0,1.2333333333333334,18,8,0,2
27,2404,2429,1661,8020,5124,7042,81•,102•,BLUE,0,1.0666666666666667,11,7,1,2,0,2.1333333333333333,12,13,0,2
28,4999,696,589,1515,9172,9696,120•,38,RED,1,2.8666666666666663,17,8,1,2,0,2.0,11,1,0,1
29,5285,4123,6904,687,8600,5500,82•,110,BLUE,0,1.9000000000000001,9,9,0,2,0,1.0,15,11,1,1
30,8006,3408,597,3952,2659,9471,100•,100•,TIE,0,2.8666666666666663,13,10,1,2,0,2.333333333333333,7,11,1,2
31,4,2637,1726,7415,980,599,71,120•,BLUE,0,1.1,12,8,0,1,0,2.9999999999999996,36,6,0,2
32,867,1197,9772,5851,6000,3328,98•,48,RED,1,0.26666666666666666,19,7,0,2,0,1.0,8,6,0,1
33,696,2465,5124,294,1160,1759,128•,89•,RED,0,1.9666666666666668,27,12,0,2,0,1.6666666666666667,14,6,1,2
34,1452,687,2710,1661,5500,1836,132•,88,RED,0,1.0333333333333334,25,11,1,2,0,0.9666666666666667,9,14,0,1
35,4964,4501,589,2584,3863,7042,91•,145•,BLUE,0,1.1,12,11,0,2,1,1.4333333333333333,13,13,2,2
36,9471,3473,9408,9172,8020,1148,115•,112,RED,0,1.2,9,14,1,2,0,1.4333333333333333,11,16,0,1
37,5285,6658,2404,1515,5089,867,73•,80•,BLUE,0,2.8,6,11,0,2,0,2.066666666666667,26,3,0,2
38,8006,9772,6000,7230,599,4999,41•,59•,BLUE,0,0.9666666666666667,9,4,0,2,0,1.8333333333333335,10,7,0,2
39,9696,2659,5851,9505,6904,1138,94•,69,RED,0,1.4,10,7,2,2,0,1.8333333333333335,15,6,0,1
40,980,702,597,1197,4141,5669,129•,108•,RED,1,2.8666666666666663,16,10,1,2,0,1.2333333333333334,33,6,0,2
41,8600,3408,3759,2637,4201,7415,50•,88•,BLUE,0,1.1,15,3,0,2,0,1.3666666666666667,24,7,0,2
42,3328,4,3952,2429,1726,1159,53•,92•,BLUE,0,0.23333333333333334,8,5,0,2,0,1.0333333333333334,12,9,1,2
43,3993,4123,6658,968,4019,3473,61•,76•,BLUE,0,1.0666666666666667,7,8,0,2,0,0.3,16,7,0,2
44,5851,1148,5285,1452,4501,599,168•,86•,RED,0,3.3000000000000003,9,23,2,2,0,0.9666666666666667,19,7,0,2
45,5669,1515,687,2465,6000,1138,142•,107•,RED,0,2.033333333333333,22,13,1,2,0,2.033333333333333,16,10,1,2
46,1197,7042,2637,9471,6904,696,133•,51•,RED,0,2.2,18,13,1,2,0,1.7333333333333334,13,3,0,2
47,589,8020,702,1759,2659,4201,111•,91•,RED,0,1.9333333333333333,23,8,1,2,0,1.6333333333333335,9,12,0,2
48,9696,1661,3863,7230,1726,968,55•,50•,RED,1,0.19999999999999998,12,3,0,2,0,0.09999999999999999,9,6,0,2
49,5089,4964,4019,597,3328,1836,66•,115•,BLUE,0,1.1666666666666667,18,5,0,2,0,1.9000000000000001,10,17,0,2
50,2429,5500,4999,9505,294,867,92,92•,TIE,0,1.0,12,8,1,1,0,1.8,14,7,1,2
51,4123,1160,3759,3952,2404,2584,83•,89•,BLUE,0,1.2666666666666666,18,8,0,2,0,2.166666666666667,10,9,1,2
52,1159,5124,9772,2710,7415,9408,47•,161•,BLUE,0,0.9333333333333333,14,3,0,2,1,0.36666666666666664,19,16,1,2
53,9172,3993,3408,8600,8006,4141,38•,65,BLUE,0,2.0,8,3,0,2,0,0.9666666666666667,10,8,0,0
54,980,8020,3328,4,9696,5285,42•,74•,BLUE,0,1.0666666666666667,8,3,0,2,0,1.2,16,7,0,2
55,2659,1148,2465,4964,5851,1661,184•,97•,RED,1,0.9,10,19,3,2,0,1.1,16,12,0,2
56,2584,1452,7230,4999,867,2637,115•,46•,RED,0,0.3,15,11,1,2,0,1.0,8,6,0,2
57,599,3952,4201,5669,5124,968,82•,54•,RED,0,1.2,15,9,0,2,0,1.1666666666666667,12,5,0,2
58,1160,9471,5500,6658,7415,3863,42,62•,BLUE,0,0.0,12,3,0,1,0,2.1,16,3,0,2
59,6000,294,4019,1726,9172,7042,88•,93•,BLUE,0,0.7999999999999999,15,7,1,2,0,1.1,17,8,1,2
