Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,696,7,1,1,9,24,2.6666666666666665,919,2,14,174,86,1,18
2,2659,7,1,1,9,23,2.5555555555555554,1077,4,13,116,105,10,17
3,1197,7,2,0,9,23,2.5555555555555554,1009,4,12,185,82,4,18
4,597,7,1,1,9,23,2.5555555555555554,1100,3,14,147,111,8,17
5,687,9,0,0,9,23,2.5555555555555554,1067,1,12,150,89,13,13
6,9408,7,2,0,9,22,2.4444444444444446,1195,4,11,145,123,9,17
7,2465,7,2,0,9,22,2.4444444444444446,1083,3,8,167,95,8,17
8,702,7,2,0,9,22,2.4444444444444446,879,2,12,187,68,3,17
9,7042,7,2,0,9,22,2.4444444444444446,1052,2,11,132,108,9,17
10,589,6,3,0,9,21,2.3333333333333335,890,3,13,130,71,8,18
11,599,6,3,0,9,21,2.3333333333333335,855,2,11,171,76,1,18
12,2584,6,3,0,9,20,2.2222222222222223,966,4,8,110,94,9,17
13,1159,5,3,1,9,20,2.2222222222222223,781,2,11,121,71,6,18
14,2710,6,3,0,9,20,2.2222222222222223,1005,2,5,177,95,3,17
15,3408,5,3,1,9,20,2.2222222222222223,841,1,15,151,77,3,18
16,7415,6,3,0,9,20,2.2222222222222223,910,1,9,210,68,2,17
17,3863,5,4,0,9,19,2.111111111111111,790,3,7,103,77,6,18
18,4201,6,3,0,9,19,2.111111111111111,891,2,9,157,86,4,16
19,5285,6,3,0,9,19,2.111111111111111,934,1,14,105,115,4,15
20,2429,5,3,1,9,19,2.111111111111111,861,1,7,115,82,9,17
21,3473,5,3,1,9,19,2.111111111111111,766,0,7,105,87,3,17
22,4999,5,3,1,9,18,2.0,765,3,10,119,69,5,16
23,4123,5,4,0,9,18,2.0,843,2,11,135,79,2,17
24,8020,5,4,0,9,18,2.0,838,2,7,134,83,3,17
25,1515,6,3,0,9,18,2.0,857,1,14,192,54,3,15
26,980,5,4,0,9,18,2.0,758,1,14,146,58,3,17
27,3952,4,4,1,9,18,2.0,759,1,8,114,69,5,18
28,1452,6,3,0,9,18,2.0,887,1,6,167,75,4,14
29,1148,5,4,0,9,17,1.8888888888888888,1124,3,13,109,133,7,16
30,1836,4,4,1,9,17,1.8888888888888888,890,2,7,81,124,2,17
31,4141,6,3,0,9,17,1.8888888888888888,905,2,5,214,65,2,13
32,5851,5,4,0,9,17,1.8888888888888888,920,1,11,101,102,8,16
33,867,4,4,1,9,17,1.8888888888888888,685,1,9,140,58,1,17
34,5124,5,4,0,9,17,1.8888888888888888,780,0,12,140,73,2,15
35,9696,5,4,0,9,16,1.7777777777777777,673,2,8,109,54,7,14
36,8600,5,4,0,9,16,1.7777777777777777,674,2,6,105,65,3,14
37,294,3,5,1,9,16,1.7777777777777777,877,2,5,149,67,9,18
38,4019,4,5,0,9,16,1.7777777777777777,704,2,2,129,66,3,17
39,2637,4,5,0,9,16,1.7777777777777777,649,0,11,104,74,2,17
40,8006,3,4,2,9,16,1.7777777777777777,600,0,11,104,57,2,16
41,1726,4,5,0,9,15,1.6666666666666667,756,2,9,123,68,6,16
42,968,4,5,0,9,15,1.6666666666666667,741,2,5,138,71,1,15
43,9505,4,4,1,9,15,1.6666666666666667,783,0,6,166,65,3,14
44,9471,3,5,1,9,14,1.5555555555555556,719,1,10,106,65,6,16
45,5669,3,6,0,9,14,1.5555555555555556,792,1,9,154,75,1,17
46,2404,3,5,1,9,14,1.5555555555555556,668,0,14,95,71,4,16
47,5089,3,6,0,9,14,1.5555555555555556,657,0,13,148,55,1,17
48,6658,2,7,0,9,13,1.4444444444444444,765,2,14,99,86,1,18
49,1661,3,6,0,9,13,1.4444444444444444,752,2,6,138,67,3,15
50,9772,2,7,0,9,13,1.4444444444444444,590,1,3,139,43,2,18
51,7230,3,6,0,9,13,1.4444444444444444,605,0,6,80,70,3,16
52,4,3,6,0,9,12,1.3333333333333333,782,1,9,169,67,0,15
53,1160,2,7,0,9,12,1.3333333333333333,640,0,8,127,55,2,17
54,4501,2,7,0,9,11,1.2222222222222223,743,1,7,123,69,3,15
55,3759,2,7,0,9,11,1.2222222222222223,680,1,5,144,61,1,16
56,3328,2,7,0,9,11,1.2222222222222223,581,0,9,79,62,2,15
57,6904,2,7,0,9,10,1.1111111111111112,583,0,12,111,50,1,15
58,6000,2,7,0,9,10,1.1111111111111112,642,0,8,98,70,3,15
59,3993,1,8,0,9,10,1.1111111111111112,585,0,5,107,56,3,17
60,4964,1,8,0,9,9,1.0,690,1,10,144,65,0,16
61,1138,2,7,0,9,9,1.0,813,0,13,134,79,5,14
62,1759,1,8,0,9,9,1.0,659,0,12,111,66,2,15
63,9172,2,7,0,9,9,1.0,556,0,12,103,55,1,12
64,5500,2,6,1,9,6,0.6666666666666666,654,0,5,116,66,2,8
