#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,5419,1678,4738,3512,4415,1515,319,197,RED
2,581,987,9452,3925,1836,3128,274,203,RED
3,687,4481,498,9408,5835,6995,209,230,BLUE
4,6036,5199,8768,5817,3749,8159,200,204,BLUE
5,3512,4415,1515,3925,1836,3128,155,196,BLUE
6,687,4481,498,6036,5199,8768,268,192,RED
7,5419,1678,4738,581,987,9452,322,271,RED
8,9408,5835,6995,5817,3749,8159,228,216,RED
9,581,987,9452,687,4481,498,262,282,BLUE
10,5817,3749,8159,3925,1836,3128,245,201,RED
11,5419,1678,4738,9408,5835,6995,322,219,RED
12,5817,3749,8159,687,4481,498,180,275,BLUE
13,9408,5835,6995,687,4481,498,204,276,BLUE
14,5419,1678,4738,687,4481,498,315,257,RED
15,5419,1678,4738,687,4481,498,271,279,BLUE
16,5419,1678,4738,687,4481,498,259,304,BLUE
