Team#,Total,Rank,Selection,Elims
498,40,8,2,30
581,32,19,13,0
589,6,6,0,0
649,11,11,0,0
687,65,20,15,30
973,12,12,0,0
980,16,16,0,0
987,31,18,13,0
1159,9,9,0,0
1515,19,11,8,0
1661,9,9,0,0
1678,57,21,16,20
1828,8,8,0,0
1836,27,15,12,0
1891,13,13,0,0
2375,10,10,0,0
2429,14,14,0,0
2543,12,12,0,0
2584,12,12,0,0
2637,8,8,0,0
2984,10,10,0,0
3128,20,15,5,0
3328,4,4,0,0
3374,14,14,0,0
3512,25,16,9,0
3749,33,15,11,7
3759,8,8,0,0
3863,5,5,0,0
3925,30,18,12,0
4201,12,12,0,0
4415,22,13,9,0
4419,13,13,0,0
4481,62,17,15,30
4501,14,14,0,0
4711,9,9,0,0
4738,34,13,1,20
5199,30,16,14,0
5419,58,22,16,20
5817,36,18,11,7
5835,30,7,10,13
6036,33,19,14,0
6658,10,10,0,0
6764,6,6,0,0
6995,31,11,7,13
7323,5,5,0,0
7327,7,7,0,0
8005,11,11,0,0
8119,6,6,0,0
8159,29,16,6,7
8533,4,4,0,0
8768,15,12,3,0
9114,10,10,0,0
9408,40,17,10,13
9452,18,14,4,0
