#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2122,6353,3647,1661,10018,2839,142•,62,RED,0,1.0666666666666667,16,12,2,2,0,0.13333333333333333,12,7,0,1
2,2102,841,6487,5012,2288,4,134•,101•,RED,1,1.0,12,13,1,2,0,1.2666666666666668,24,7,0,2
3,7607,4698,5104,3255,701,294,111•,120•,BLUE,0,1.7666666666666666,16,10,1,2,0,0.8333333333333334,24,8,1,2
4,2485,8891,2543,4711,1266,10185,137•,41•,RED,1,1.9666666666666668,21,9,1,2,0,0.9666666666666667,8,5,0,2
5,4276,8006,5924,3859,6060,5136,91,78•,RED,0,2.066666666666667,15,11,0,1,0,1.3,23,5,0,2
6,6885,6996,6764,10001,399,5285,65•,105•,BLUE,0,0.9666666666666667,14,7,0,2,0,1.9333333333333333,11,13,1,2
7,4322,1572,3128,691,7777,192,163•,49•,RED,0,1.1666666666666667,31,11,2,2,0,0.5,10,5,0,2
8,9520,10014,6934,4414,9635,9084,39•,172•,BLUE,0,1.9666666666666668,8,3,0,2,0,4.800000000000001,16,15,3,2
9,5104,841,5012,3647,4711,10018,105•,79•,RED,0,0.9666666666666667,15,14,0,2,0,1.0333333333333334,11,9,0,2
10,1661,701,4698,8006,10185,6487,113•,58•,RED,1,1.8666666666666667,25,4,1,2,0,1.0333333333333334,11,6,0,2
11,10001,5924,6764,2122,8891,7777,62,109•,BLUE,0,1.3877787807814457e-17,16,3,0,1,0,1.1,18,9,1,2
12,1266,1572,9084,7607,5136,2288,143,50•,RED,0,1.9333333333333333,21,11,2,1,0,0.36666666666666664,13,3,0,2
13,192,6996,6353,3859,2839,2485,87•,109•,BLUE,1,0.4666666666666666,10,9,0,2,0,1.9333333333333333,10,12,1,2
14,9520,4414,2543,6060,3255,691,170••,72•,RED,1,3.8666666666666667,26,9,2,2,0,0.3333333333333333,19,6,0,2
15,2102,5285,6885,9635,3128,10014,118,101,RED,0,1.9,16,13,1,1,0,1.0333333333333334,19,9,0,1
16,4,399,4276,6934,4322,294,144•,95•,RED,0,1.1666666666666667,23,15,1,2,0,1.7000000000000002,12,12,1,2
17,6996,7777,2839,2288,8006,4698,76•,122•,BLUE,0,0.1,18,8,0,2,1,2.8,33,5,0,2
18,2485,10185,4414,691,7607,841,185•,90,RED,1,2.966666666666667,10,14,5,2,0,0.1,15,8,1,0
19,10001,9084,6353,3255,2543,1572,113•,108,RED,0,1.9,17,8,2,2,0,1.1333333333333333,28,9,0,1
20,6934,6060,9635,6487,6764,4711,97•,33•,RED,1,2.033333333333333,15,9,0,2,0,1.9,9,2,0,2
21,399,5136,2102,4322,5285,192,155•,114•,RED,0,2.0666666666666664,26,13,2,2,0,2.466666666666667,13,13,1,2
22,3647,3128,5012,10014,5924,294,133•,123,RED,0,1.0333333333333334,14,16,1,2,0,-0.19999999999999998,16,13,1,1
23,5104,701,4,1266,4276,2122,87•,124•,BLUE,0,0.19999999999999998,23,6,0,2,0,2.0666666666666664,21,11,1,2
24,10018,6885,3859,8891,1661,9520,56•,34•,RED,0,1.0,13,5,0,2,0,2.1333333333333333,8,1,0,2
25,841,8006,2839,7607,6764,4322,106•,77,RED,0,0.9333333333333333,20,10,1,2,0,1.0333333333333334,14,5,1,0
26,2288,10014,4414,4711,10001,192,160•,46•,RED,0,2.166666666666667,32,11,2,2,0,1.3666666666666667,9,5,0,2
27,6996,2543,2122,701,5136,3647,138•,81•,RED,1,2.0,21,10,1,2,0,0.3,19,4,1,2
28,9520,9084,5104,5924,1661,6353,125•,96,RED,0,2.8333333333333335,14,13,1,2,0,0.16666666666666666,16,9,1,1
29,4,691,8891,6487,4698,6885,81•,108•,BLUE,0,1.3,20,6,0,2,0,1.8,26,8,0,2
30,4276,3859,9635,5285,10018,1572,72•,99•,BLUE,0,3.0,22,4,0,2,1,1.0666666666666667,12,11,0,2
31,6934,10185,3128,2102,3255,2485,79,189•,BLUE,0,0.9666666666666667,9,9,1,1,0,2.033333333333333,23,20,2,2
32,294,7777,399,6060,1266,5012,131•,63•,RED,1,1.6333333333333333,17,8,2,2,1,1.1,12,4,0,2
33,4698,192,9084,6996,841,4711,202•,110•,RED,1,3.0,22,15,3,2,1,1.0,14,10,0,2
34,1572,3647,6487,9635,5924,5136,108•,89•,RED,0,0.2,21,9,1,2,0,2.2333333333333334,18,6,1,2
35,4,6764,3255,1661,4414,3859,94•,96•,BLUE,0,1.2,29,3,0,2,0,3.033333333333333,12,6,2,2
36,2122,691,8006,5012,399,10018,94•,97•,BLUE,0,2.0,12,11,1,2,1,1.9333333333333333,12,6,1,2
37,6353,8891,294,6060,7777,4322,80•,71,RED,0,-0.26666666666666666,14,6,1,2,0,0.26666666666666666,18,4,0,1
38,3128,7607,5285,2288,2543,6934,124•,94•,RED,0,1.0,12,14,1,2,0,2.0,21,8,0,2
39,2839,10001,5104,10185,9520,2102,93•,112•,BLUE,1,0.03333333333333333,17,9,0,2,0,1.9333333333333333,18,12,1,2
40,1266,6885,10014,2485,4276,701,46,103•,BLUE,0,0.06666666666666667,12,4,0,1,0,1.0666666666666669,20,6,1,2
41,8891,9635,192,1572,6353,4,79•,74•,RED,1,1.4333333333333333,16,5,0,2,0,0.23333333333333334,14,8,0,2
42,3647,4322,8006,6934,4414,399,126•,185•,BLUE,0,1.1,20,9,2,2,0,3.833333333333333,16,21,2,2
43,6060,2288,10185,5136,6996,691,64•,58•,RED,0,0.3,14,6,0,2,0,0.3333333333333333,22,1,0,2
44,4276,1661,3255,701,3128,4711,70•,103•,BLUE,0,0.3,14,5,0,2,1,0.9666666666666667,14,7,1,2
45,2543,294,841,2839,6487,5285,120•,100•,RED,1,0.6000000000000001,17,11,0,2,0,1.0333333333333334,16,13,0,2
46,9520,5012,7607,6764,2485,4698,49,162•,BLUE,0,1.9666666666666668,8,6,0,0,0,3.6,21,16,2,2
47,9084,10014,7777,6885,5104,2122,111,116•,BLUE,0,1.9666666666666668,15,7,2,1,0,1.0,20,9,1,2
48,5924,10018,1266,2102,3859,10001,61•,78•,BLUE,0,0.1,8,6,1,2,0,0.9333333333333333,17,7,0,2
49,8006,192,5136,294,4,9635,39•,121•,BLUE,0,1.5333333333333332,6,3,0,2,1,0.8,19,9,0,2
50,8891,5012,6934,6996,2288,1661,59•,90•,BLUE,0,1.9666666666666668,5,8,0,2,0,0.3,30,5,0,2
51,7777,3647,9520,841,4276,9084,109•,180•,BLUE,0,1.0666666666666667,18,10,1,2,1,1.9333333333333333,18,14,3,2
52,10014,2102,6060,691,4698,2543,106•,109•,BLUE,0,1.1333333333333333,18,8,1,2,1,2.7333333333333334,20,8,0,2
53,5285,2122,10185,10018,6353,3255,107,70•,RED,0,2.0,15,10,1,1,0,0.16666666666666666,15,8,0,2
54,4711,4322,3859,5924,3128,6885,52•,129•,BLUE,0,2.0,8,4,0,2,0,0.06666666666666667,15,15,1,2
55,6487,7607,10001,399,5104,2485,60•,133•,BLUE,0,0.13333333333333333,11,7,0,2,0,0.9,15,17,0,2
56,701,1572,4414,6764,2839,1266,122•,45•,RED,1,2.0666666666666664,13,10,1,2,0,0.9,9,5,0,2
57,192,10185,10018,7777,6934,8006,58•,45•,RED,0,0.4666666666666666,8,8,0,2,0,1.9,8,5,0,2
58,3255,841,3859,5012,4698,9635,142•,110•,RED,1,2.0999999999999996,25,11,1,2,1,3.666666666666667,21,8,0,2
59,7607,4,6060,6885,9084,3647,66•,151•,BLUE,0,1.3333333333333335,13,6,0,2,0,1.9333333333333333,18,11,2,2
60,6764,5285,2543,1266,5104,8891,45•,77•,BLUE,0,0.8,12,2,0,2,0,0.06666666666666667,18,6,0,2
61,701,399,6353,4414,691,3128,83•,184•,BLUE,0,0.9666666666666667,16,7,0,2,0,2.0333333333333337,27,17,2,2
62,5136,2485,4322,2122,2102,1661,153•,138•,RED,0,1.2666666666666668,12,15,3,2,0,2.033333333333333,22,11,1,2
63,1572,9520,4711,294,6487,6996,39•,122•,BLUE,0,1.9666666666666668,10,2,0,2,1,0.8,17,11,1,2
64,2839,2288,5924,10014,10001,4276,123•,78•,RED,0,2.2,21,11,1,2,0,1.1666666666666667,16,7,0,2
65,2543,6885,10185,4414,5012,6764,79•,134•,BLUE,0,0.9666666666666667,21,6,0,2,0,3.8333333333333335,14,12,2,2
66,3647,1266,5285,3128,8006,3255,88•,107•,BLUE,0,1.0333333333333334,10,11,1,2,0,0.06666666666666667,19,11,1,2
67,3859,6996,7607,4322,5104,6487,58,89•,BLUE,0,1.0666666666666669,10,7,0,1,0,1.1666666666666667,20,7,0,2
68,4698,2122,5924,192,4276,6934,154•,58•,RED,0,2.8000000000000003,16,13,2,2,0,2.4,11,5,0,2
69,8891,6060,399,9084,2102,701,142•,142•,TIE,1,1.1333333333333333,24,11,1,2,0,2.833333333333333,18,12,2,2
70,5136,4711,4,6353,2839,9520,69•,55•,RED,1,3.3,13,4,0,2,0,0.9666666666666667,12,6,0,2
71,10014,2485,10018,1572,294,2288,118,136•,BLUE,0,1.0666666666666669,12,14,1,1,1,1.8666666666666667,27,10,0,2
72,691,9635,1661,841,10001,7777,54•,94•,BLUE,0,2.1333333333333333,17,3,0,2,0,0.06666666666666667,23,7,0,2
73,3255,3647,4414,4322,4276,8891,199•,122•,RED,1,2.166666666666667,35,8,3,2,1,0.23333333333333334,20,8,1,2
74,6487,192,1266,6353,5285,4698,52•,128•,BLUE,0,1.4666666666666666,9,5,0,2,0,2.7,22,10,1,2
75,3128,9084,6060,10185,2839,5012,158•,80•,RED,0,1.0,24,13,3,2,0,2.0,11,11,0,2
76,6885,6934,10001,841,5136,1572,72•,76•,BLUE,1,0.9666666666666667,11,7,0,2,0,1.2666666666666666,19,3,1,2
77,6764,294,5104,2288,691,2102,119•,132•,BLUE,1,1.5666666666666667,19,7,1,2,1,1.1333333333333333,30,6,1,2
78,4711,10014,1661,399,7607,8006,46•,87,BLUE,0,1.1,13,3,0,2,0,1.9,14,9,0,1
79,9635,2543,701,3859,2122,9520,69•,106•,BLUE,0,1.9333333333333333,23,2,0,2,0,2.9333333333333336,17,9,1,2
80,10018,4,7777,5924,2485,6996,75,179•,BLUE,0,0.2333333333333333,18,6,0,1,0,1.1,19,19,2,2
81,4698,294,4276,10185,3647,10001,142•,99•,RED,1,2.4666666666666672,23,11,1,2,0,0.13333333333333333,18,9,1,2
82,5285,5012,1661,192,6060,1572,86,83•,RED,0,2.033333333333333,8,14,0,1,0,0.6,19,8,0,2
83,6353,4322,2288,701,9520,6885,84,46•,RED,0,0.23333333333333334,18,6,1,1,0,1.0,12,3,0,2
84,2839,6934,691,7777,3859,1266,74•,38•,RED,0,1.0,9,12,0,2,0,1.0,10,3,0,2
85,5136,6764,8891,5104,3255,10014,56,109•,BLUE,0,2.1666666666666665,16,3,0,1,0,0.2,23,9,0,2
86,9635,2485,841,9084,5924,399,140•,159•,BLUE,1,2.9333333333333336,14,12,2,2,0,2.8666666666666667,15,18,1,2
87,4414,6487,2122,3128,4,6996,196••,157•,RED,1,3.0333333333333337,30,12,3,2,1,0.23333333333333334,23,13,1,2
88,8006,10018,2102,2543,4711,7607,63•,51•,RED,0,1.9,12,5,0,2,0,1.9000000000000001,12,4,0,2
89,7777,3255,2288,6353,3859,10014,112•,50,RED,0,0.3,32,7,0,2,0,1.0333333333333334,9,6,0,1
90,399,9520,841,1572,8891,2839,114•,93•,RED,0,1.9,12,13,1,2,1,0.13333333333333333,24,5,0,2
91,5285,701,691,4,6934,3647,48•,103,BLUE,0,1.0666666666666667,6,7,0,2,0,1.1666666666666667,17,9,1,1
92,5012,4711,8006,10001,2122,3128,29,153•,BLUE,0,2.833333333333333,2,4,0,1,1,2.033333333333333,15,12,2,2
93,9084,6487,2485,4276,2102,6764,197•,96•,RED,0,2.9,20,20,2,2,0,1.9,21,6,0,2
94,1661,1266,4322,10185,9635,6996,63•,70•,BLUE,0,0.19999999999999998,15,5,0,2,0,1.0666666666666667,14,8,0,2
95,294,6885,7607,2543,192,5924,68•,93•,BLUE,0,0.7000000000000001,15,5,0,2,0,2.4,12,9,1,2
96,4698,4414,6060,10018,5104,5136,166••,44•,RED,0,3.8333333333333335,28,8,2,2,0,0.2333333333333333,10,3,0,2
