Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4414,12,0,0,12,39,3.25,1969,5,32,259,143,29,24
2,4698,10,2,0,12,33,2.75,1627,6,25,273,116,13,24
3,2122,10,2,0,12,32,2.6666666666666665,1577,3,22,223,129,17,23
4,399,10,1,1,12,32,2.6666666666666665,1535,3,14,201,151,12,23
5,2485,10,2,0,12,31,2.5833333333333335,1805,3,17,197,174,22,23
6,9084,10,1,1,12,31,2.5833333333333335,1853,2,21,218,157,26,22
7,841,9,3,0,12,29,2.4166666666666665,1411,6,9,204,126,11,22
8,2288,9,3,0,12,29,2.4166666666666665,1268,3,11,295,85,5,23
9,3128,9,3,0,12,28,2.3333333333333335,1591,3,9,222,147,16,22
10,2102,8,3,1,12,28,2.3333333333333335,1463,2,15,233,126,12,23
11,294,8,4,0,12,27,2.25,1377,7,6,220,111,9,23
12,6487,7,5,0,12,27,2.25,1257,3,12,202,113,8,24
13,5104,7,5,0,12,26,2.1666666666666665,1208,2,6,210,110,4,24
14,3255,7,5,0,12,25,2.0833333333333335,1392,2,8,286,105,8,23
15,2543,6,6,0,12,24,2.0,1213,5,15,234,87,5,23
16,1572,7,5,0,12,24,2.0,1244,4,9,239,97,7,22
17,4276,6,6,0,12,23,1.9166666666666667,1280,3,16,224,103,8,23
18,701,5,6,1,12,23,1.9166666666666667,1117,3,9,213,76,8,24
19,5285,7,5,0,12,23,1.9166666666666667,1162,1,15,153,131,7,21
20,3647,6,6,0,12,23,1.9166666666666667,1418,1,10,217,117,16,23
21,8891,5,6,1,12,22,1.8333333333333333,1069,5,10,204,77,5,23
22,3859,6,6,0,12,22,1.8333333333333333,935,1,18,176,79,5,22
23,9520,5,7,0,12,22,1.8333333333333333,998,1,16,163,87,7,22
24,10185,6,6,0,12,22,1.8333333333333333,1032,1,9,157,104,9,22
25,6885,6,6,0,12,22,1.8333333333333333,1054,1,6,193,93,5,22
26,5924,7,5,0,12,22,1.8333333333333333,1359,0,13,187,133,12,20
27,9635,5,7,0,12,21,1.75,1174,5,22,214,90,6,23
28,6996,5,7,0,12,21,1.75,1210,5,6,212,108,5,23
29,6060,4,7,1,12,21,1.75,1166,3,11,227,88,7,23
30,10001,5,7,0,12,21,1.75,1053,3,6,181,94,6,23
31,8006,6,6,0,12,21,1.75,967,1,14,172,89,5,21
32,192,4,8,0,12,20,1.6666666666666667,960,3,13,145,90,5,24
33,5012,5,7,0,12,19,1.5833333333333333,1046,3,18,146,110,4,20
34,691,4,8,0,12,19,1.5833333333333333,1045,2,12,207,90,5,22
35,2839,4,8,0,12,19,1.5833333333333333,1016,2,7,179,109,3,23
36,10018,5,7,0,12,19,1.5833333333333333,882,2,6,143,88,3,21
37,5136,4,8,0,12,19,1.5833333333333333,948,1,13,197,63,8,23
38,6353,5,7,0,12,19,1.5833333333333333,1062,1,5,179,95,8,21
39,4,4,8,0,12,18,1.5,1172,3,9,236,92,3,22
40,6934,4,8,0,12,18,1.5,1000,2,15,142,108,5,22
41,1661,4,8,0,12,17,1.4166666666666667,948,1,13,192,73,5,21
42,4322,4,8,0,12,17,1.4166666666666667,1209,1,10,201,99,12,20
43,7777,4,8,0,12,17,1.4166666666666667,1020,1,6,205,79,6,21
44,1266,3,9,0,12,16,1.3333333333333333,841,1,7,153,76,5,22
45,4711,2,10,0,12,15,1.25,698,3,14,123,59,1,23
46,6764,2,10,0,12,13,1.0833333333333333,988,1,13,194,71,6,20
47,7607,2,10,0,12,11,0.9166666666666666,891,0,8,153,84,4,16
48,10014,2,10,0,12,10,0.8333333333333334,1087,0,10,193,94,7,18
