#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,604,8011,668,5104,115,2710,251,193,RED
2,3256,4774,4255,9609,5171,5089,174,185,BLUE
3,4613,2473,2445,6706,2135,253,213,171,RED
4,7433,6941,7528,5700,1671,5449,167,180,BLUE
5,5104,115,2710,3256,4774,4255,165,217,BLUE
6,6706,2135,253,7433,6941,7528,158,237,BLUE
7,604,8011,668,9609,5171,5089,289,172,RED
8,4613,2473,2445,5700,1671,5449,239,147,RED
9,9609,5171,5089,7433,6941,7528,171,206,BLUE
10,5700,1671,5449,3256,4774,4255,210,155,RED
11,604,8011,668,4613,2473,2445,279,237,RED
12,5700,1671,5449,7433,6941,7528,140,190,BLUE
13,4613,2473,2445,7433,6941,7528,174,177,BLUE
14,604,8011,668,7433,6941,7528,222,190,RED
15,604,8011,668,7433,6941,7528,249,172,RED
