#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7433,5089,8011,1671,6506,604,190••,175•,RED,1,3.8333333333333335,28,16,1,2,1,2.9333333333333336,16,15,2,2
2,6941,3256,9006,2473,5171,4817,122•,81•,RED,0,1.0333333333333334,15,13,1,2,0,1.9000000000000001,24,5,0,2
3,7777,4739,5516,10075,5700,2035,47,65•,BLUE,0,1.9666666666666668,9,4,0,1,0,1.9333333333333333,17,4,0,2
4,6884,5104,7528,668,115,7413,77•,74•,RED,0,1.0666666666666669,12,9,0,2,0,0.26666666666666666,19,3,1,2
5,9609,4255,5449,4613,6665,2135,95•,136•,BLUE,0,0.4666666666666667,14,7,1,2,0,1.9000000000000001,14,12,2,2
6,2647,4774,4171,2710,2445,6706,65•,111•,BLUE,0,0.23333333333333334,17,4,0,2,1,2.033333333333333,25,7,0,2
7,4919,5027,8871,10202,253,10133,44•,66•,BLUE,0,1.0333333333333334,6,6,0,2,0,1.1666666666666667,7,10,0,2
8,6506,5700,5449,2035,9006,4255,76•,68•,RED,0,1.9666666666666666,15,6,0,2,0,1.1666666666666667,10,9,0,2
9,604,115,2135,5516,5171,4774,211•,97•,RED,1,2.3000000000000003,35,10,3,2,0,2.0,26,5,0,2
10,7433,7777,6941,7413,10133,6884,133•,56•,RED,0,1.8666666666666667,22,9,1,2,0,0.1,14,4,0,2
11,5104,4817,2647,8011,4171,4613,64•,173•,BLUE,0,0.09999999999999999,14,7,0,2,0,1.8666666666666667,23,15,3,2
12,253,4919,2710,5027,668,3256,67•,70,BLUE,0,0.19999999999999998,12,7,0,2,0,1.0,12,6,1,1
13,8871,6706,9609,6665,2445,7528,105•,49•,RED,0,0.3666666666666667,17,10,1,2,0,0.9666666666666667,4,8,0,2
14,10075,5089,1671,2473,4739,10202,73•,85,BLUE,0,1.9666666666666668,13,9,0,2,0,1.9000000000000001,25,5,0,1
15,2035,668,4613,7413,9006,8011,97•,95•,RED,0,0.8333333333333334,16,7,1,2,0,2.0,14,9,1,2
16,2135,8871,4774,5027,7777,6506,95•,25•,RED,0,0.26666666666666666,20,9,0,2,0,1.9,6,1,0,2
17,4739,5449,3256,5104,7433,10202,110•,97•,RED,0,0.13333333333333333,19,9,1,2,0,2.0,18,9,0,2
18,7528,4817,5700,10075,10133,2710,93•,51,RED,0,1.0666666666666667,17,10,0,2,0,0.1,9,4,0,1
19,6884,2445,2473,5516,1671,4919,77•,58,RED,0,1.9,25,3,0,2,0,1.0,6,8,0,1
20,4255,2647,115,9609,5171,604,84•,207•,BLUE,0,0.36666666666666664,18,8,0,2,0,2.166666666666667,31,14,2,2
21,253,6665,5089,6941,6706,4171,68•,100•,BLUE,0,2.033333333333333,12,7,0,2,0,1.0,18,6,1,2
22,2710,5516,2473,7433,6506,10133,95,78•,RED,0,1.9,24,7,0,0,0,1.9666666666666668,18,6,0,2
23,4739,4255,4919,1671,5449,2135,54•,137•,BLUE,0,1.1666666666666667,7,7,0,2,1,1.1,26,12,0,2
24,5089,7777,2445,8011,5171,5700,67,170••,BLUE,0,1.9666666666666668,17,5,0,1,1,3.733333333333333,33,7,1,2
25,10202,6884,9006,604,5104,668,68•,158•,BLUE,0,0.13333333333333333,17,7,0,2,1,1.0,29,8,2,2
26,6665,115,4774,4817,3256,253,94•,122•,BLUE,0,2.333333333333333,15,7,1,2,1,0.3,14,14,1,2
27,4613,6941,5027,7528,2035,6706,119,79•,RED,0,2.6333333333333333,10,14,1,1,1,1.0333333333333334,14,7,0,2
28,8871,7413,4171,2647,10075,9609,42•,81,BLUE,0,0.2,9,3,0,2,0,0.3,11,9,1,1
29,8011,1671,6884,3256,4255,5171,133•,108•,RED,0,2.8999999999999995,14,15,1,2,0,1.1333333333333333,22,9,1,2
30,4774,4919,10133,5700,4613,604,84•,215•,BLUE,1,0.23333333333333334,15,6,0,2,1,2.8,37,12,2,2
31,7777,5449,2710,253,9609,5104,73,138•,BLUE,0,0.13333333333333333,22,4,0,1,1,0.36666666666666664,20,14,0,2
32,2445,668,8871,6941,4817,4739,66•,80•,BLUE,0,1.0333333333333334,18,4,0,2,0,1.9333333333333333,5,13,0,2
33,4171,5089,2473,6506,2035,2135,101•,60•,RED,0,1.9666666666666668,35,4,0,2,0,2.0,13,4,0,2
34,6706,10075,9006,7433,5027,115,52•,89•,BLUE,0,0.13333333333333333,9,6,0,2,0,2.1,13,7,1,2
35,10202,6665,7413,7528,2647,5516,70•,44•,RED,0,1.0333333333333334,19,6,0,2,0,1.0,11,4,0,2
36,4817,2035,10133,4774,3256,1671,58•,202•,BLUE,0,1.1,8,8,0,2,1,2.2,31,19,1,2
37,4919,6706,5171,5104,8871,10075,95•,52•,RED,1,1.0,24,5,0,2,0,0.1,11,5,0,2
38,7413,2445,9609,5089,6506,4255,110•,72•,RED,1,2.2666666666666666,17,6,1,2,0,2.066666666666667,15,5,0,2
39,253,4613,2473,115,6884,4739,155•,57•,RED,1,1.8666666666666667,23,14,1,2,0,0.23333333333333334,11,5,0,2
40,5449,7433,6665,604,8011,2710,99•,194•,BLUE,0,2.0,20,9,0,2,0,2.933333333333333,23,16,2,2
41,2647,5700,5027,668,5516,6941,58,79•,BLUE,0,0.8333333333333334,15,3,0,1,0,1.8333333333333335,8,9,0,2
42,7528,4171,10202,2135,9006,7777,52•,50•,RED,0,0.16666666666666666,13,5,0,2,0,0.16666666666666666,12,3,0,2
43,5171,5104,2035,9609,4774,4817,81•,134•,BLUE,0,1.8666666666666667,20,6,0,2,1,1.5,17,9,1,2
44,6884,4919,5089,8011,2647,6665,54•,99,BLUE,0,1.0666666666666667,12,5,0,2,0,2.8666666666666663,12,10,1,1
45,115,10075,6506,5449,6941,253,75,122•,BLUE,0,1.2333333333333334,17,2,1,1,0,0.033333333333333326,23,13,1,2
46,668,2135,4255,8871,7528,1671,129•,64•,RED,1,0.2,32,9,0,2,0,1.0666666666666667,5,11,0,2
47,7777,604,3256,9006,5516,2445,198•,50•,RED,0,1.1333333333333335,25,17,3,2,0,2.0,14,2,0,2
48,4171,10133,5700,6706,2473,7413,79,71•,RED,0,1.0666666666666667,25,2,0,1,0,0.9666666666666667,22,4,0,2
49,2710,10202,5027,4613,4739,7433,59,145•,BLUE,0,0.9666666666666667,16,4,0,1,0,2.8,18,12,2,2
50,4817,10075,5516,9609,2135,6884,54•,110•,BLUE,0,1.1,13,4,0,2,1,0.36666666666666664,23,8,0,2
51,4774,9006,253,5089,7528,7413,107•,78•,RED,1,0.3,24,8,0,2,0,1.0333333333333334,13,10,0,2
52,4919,8011,668,4171,5027,4255,97•,44,RED,1,1.9666666666666668,12,4,2,2,0,1.1333333333333333,11,3,0,1
53,6706,604,7433,5700,3256,8871,179•,125,RED,1,2.0,34,12,2,2,0,1.1,23,12,1,1
54,5104,2473,115,10133,7777,6665,125•,42,RED,0,1.1333333333333333,39,6,0,2,0,1.0333333333333334,6,5,0,1
55,5171,6941,2445,5449,10202,4613,112,131•,BLUE,0,2.7333333333333334,15,12,1,1,0,0.9666666666666667,15,12,2,2
56,2035,1671,4739,6506,2710,2647,49•,47,RED,0,2.9,5,6,0,2,0,1.0,8,4,0,0
57,3256,7433,10075,10133,5089,668,128•,79•,RED,0,1.1,17,14,1,2,1,1.0,15,5,0,2
58,4255,5104,5516,4817,4171,7777,89•,34•,RED,0,1.1,21,6,0,2,0,0.2333333333333333,11,1,0,2
59,6506,9609,4739,5700,6884,6706,91•,110•,BLUE,0,2.2,9,10,1,2,1,1.0,28,5,0,2
60,1671,2710,4613,6665,8871,9006,166•,38•,RED,0,1.8666666666666667,13,16,2,2,0,1.1,5,4,0,2
61,2135,253,7413,2445,604,2035,98•,142•,BLUE,0,0.19999999999999998,25,8,0,2,0,2.9333333333333336,11,11,2,2
62,5171,2647,10202,5027,4774,5449,65,97•,BLUE,0,1.9333333333333333,18,5,0,1,0,1.1,24,7,0,2
63,115,8011,7528,2473,6941,4919,139•,125•,RED,0,1.1666666666666667,16,13,2,2,0,1.8333333333333335,19,11,1,2
64,6665,1671,4817,4739,6706,668,89•,50•,RED,1,2.033333333333333,6,12,0,2,0,1.0,13,3,0,2
65,3256,2135,2647,9609,5700,7777,95,125,BLUE,0,0.16666666666666666,21,8,0,1,0,1.2333333333333334,21,10,1,1
66,9006,7433,5171,4255,253,6884,119•,84•,RED,1,1.9333333333333336,29,5,0,2,0,0.26666666666666666,13,11,0,2
67,7413,5516,2035,8871,115,5089,67,102•,BLUE,0,1.9666666666666668,20,4,0,0,0,1.2666666666666666,26,5,1,2
68,5449,604,4171,2473,5027,7528,149•,77,RED,0,1.1666666666666667,25,9,2,2,0,1.8333333333333335,16,8,0,1
69,10202,6506,2445,10133,8011,5104,49,143•,BLUE,0,1.9666666666666668,12,3,0,0,1,1.9333333333333333,20,10,1,2
70,6941,2710,4774,4919,4613,10075,202•,117•,RED,1,1.0333333333333334,25,19,1,2,1,0.9666666666666667,9,10,1,2
71,9006,7528,604,5089,4739,2647,153•,53,RED,0,1.1,12,16,3,2,0,0.9333333333333333,13,5,0,1
72,2135,2473,8011,5516,8871,253,179•,70•,RED,0,2.8666666666666667,37,12,1,2,0,1.1333333333333335,14,8,0,2
73,4255,7413,5700,115,10202,3256,86•,129•,BLUE,0,0.09999999999999999,21,7,0,2,0,0.36666666666666664,26,8,2,2
74,668,10075,5449,4774,4613,7777,70•,118•,BLUE,0,0.1,19,6,0,2,0,1.0333333333333334,27,4,2,2
75,6884,6665,5171,4171,2710,2035,55•,60•,BLUE,0,1.9,10,6,0,2,0,2.1,17,3,0,2
76,10133,9609,5027,1671,6941,5104,93,141•,BLUE,0,1.2,16,8,1,1,1,1.8333333333333335,11,18,0,2
77,6706,4817,6506,2445,4919,7433,48•,75•,BLUE,0,1.1,9,5,0,2,0,2.0,20,4,0,2
78,4613,6884,8871,9006,5449,5089,105•,72•,RED,0,0.9666666666666667,15,10,1,2,0,1.1,15,7,0,2
79,5027,7413,1671,5700,2473,6665,63•,90,BLUE,0,0.9,10,8,0,2,0,2.8,23,5,0,1
80,604,10133,6941,2710,4255,4817,157•,89•,RED,0,1.9000000000000001,18,16,3,2,0,0.26666666666666666,13,11,0,2
81,5516,9609,8011,4739,4774,10075,117,97•,RED,0,4.133333333333333,14,11,1,1,0,1.1333333333333335,18,10,0,2
82,2647,668,7433,2445,2135,5104,86•,85,RED,0,-0.03333333333333333,25,6,0,2,0,1.0333333333333334,19,7,0,1
83,3256,7528,6506,5171,4171,115,111•,74•,RED,0,1.1,14,12,1,2,0,1.2333333333333334,22,1,1,2
84,7777,253,6706,2035,10202,4919,60•,60•,TIE,0,0.16666666666666666,14,6,0,2,0,1.0666666666666667,10,7,0,2
