Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,604,11,1,0,12,34,2.8333333333333335,2138,5,19,296,156,28,24
2,8011,11,1,0,12,34,2.8333333333333335,1729,4,24,246,138,17,22
3,4613,11,1,0,12,33,2.75,1677,3,11,220,138,20,23
4,7433,9,3,0,12,31,2.5833333333333335,1418,3,19,262,109,8,24
5,6941,10,2,0,12,30,2.5,1492,2,13,189,153,11,22
6,3256,9,3,0,12,27,2.25,1520,2,9,239,141,14,21
7,4774,7,5,0,12,26,2.1666666666666665,1392,5,11,259,107,6,24
8,9609,9,3,0,12,26,2.1666666666666665,1406,4,13,210,116,11,20
9,5700,9,3,0,12,26,2.1666666666666665,1292,3,14,275,83,5,19
10,1671,7,5,0,12,25,2.0833333333333335,1350,5,16,156,149,6,23
11,6706,6,5,1,12,25,2.0833333333333335,1060,5,10,227,76,4,24
12,5104,7,5,0,12,25,2.0833333333333335,1250,4,10,234,105,3,23
13,668,7,5,0,12,25,2.0833333333333335,1055,4,7,218,70,7,23
14,253,6,5,1,12,25,2.0833333333333335,1157,4,5,201,120,3,24
15,5449,7,5,0,12,25,2.0833333333333335,1231,1,7,237,101,7,23
16,2135,7,5,0,12,24,2.0,1385,4,9,277,102,6,22
17,6884,6,6,0,12,24,2.0,986,2,7,194,88,2,24
18,2473,8,4,0,12,24,2.0,1261,1,13,312,84,3,19
19,4171,7,5,0,12,24,2.0,973,0,9,226,56,7,22
20,115,6,6,0,12,23,1.9166666666666667,1253,1,11,257,75,13,23
21,7528,6,6,0,12,23,1.9166666666666667,1016,1,10,147,113,6,23
22,4817,5,7,0,12,22,1.8333333333333333,946,3,9,151,99,2,24
23,2035,5,6,1,12,22,1.8333333333333333,886,1,15,161,76,3,22
24,10202,6,5,1,12,21,1.75,931,0,8,196,81,4,19
25,9006,4,8,0,12,20,1.6666666666666667,994,2,10,176,89,5,24
26,5171,4,8,0,12,19,1.5833333333333333,1264,3,17,274,80,6,22
27,2710,6,6,0,12,19,1.5833333333333333,1214,2,10,207,102,5,17
28,6665,5,7,0,12,19,1.5833333333333333,929,1,17,146,91,4,21
29,4739,5,7,0,12,19,1.5833333333333333,918,0,12,152,89,4,21
30,8871,4,8,0,12,19,1.5833333333333333,908,0,7,169,87,4,23
31,4919,3,8,1,12,18,1.5,930,4,10,152,80,4,23
32,2445,5,7,0,12,18,1.5,993,2,17,197,72,4,19
33,5089,3,9,0,12,17,1.4166666666666667,1009,2,15,214,83,2,22
34,10133,4,8,0,12,16,1.3333333333333333,986,3,9,171,84,5,20
35,7777,4,7,1,12,16,1.3333333333333333,972,0,8,192,69,7,19
36,7413,2,10,0,12,15,1.25,910,1,7,203,72,3,22
37,4255,2,10,0,12,15,1.25,1002,1,7,197,92,2,23
38,10075,3,9,0,12,15,1.25,915,1,6,163,83,4,21
39,5516,4,8,0,12,15,1.25,867,0,17,180,72,1,17
40,6506,2,10,0,12,13,1.0833333333333333,907,1,16,152,73,5,19
41,5027,4,8,0,12,13,1.0833333333333333,838,0,11,155,75,4,17
42,2647,3,9,0,12,11,0.9166666666666666,841,0,5,183,73,2,16
