#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1678,254,1700,649,972,8404,280,214,RED
2,2473,6036,7709,6619,3501,9400,161,169,BLUE
3,368,604,1351,846,971,670,308,197,RED
4,100,581,114,115,4765,2135,280,165,RED
5,649,972,8404,2473,6036,7709,185,148,RED
6,846,971,670,115,4765,2135,187,168,RED
7,1678,254,1700,6619,3501,9400,266,214,RED
8,368,604,1351,100,581,114,290,262,RED
9,6619,3501,9400,846,971,670,199,226,BLUE
10,100,581,114,649,972,8404,270,187,RED
11,1678,254,1700,368,604,1351,275,289,BLUE
12,100,581,114,846,971,670,247,209,RED
13,1678,254,1700,100,581,114,301,332,BLUE
14,368,604,1351,100,581,114,265,216,RED
15,368,604,1351,100,581,114,287,270,RED
