#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,10093,9470,3501,254,9006,4171,82,88,BLUE,0,0.06666666666666667,24,4,0,1,0,1.2000000000000002,13,4,2,1
2,100,4135,2813,2854,1967,3669,106•,99•,RED,0,1.3666666666666667,18,10,1,2,1,2.3666666666666667,15,9,0,2
3,6506,7413,192,115,2135,9125,58,103•,BLUE,0,2.4,12,4,0,1,0,1.3,28,7,0,2
4,5027,9400,9504,4765,9202,4990,53•,109•,BLUE,0,1.7666666666666666,12,5,0,2,1,1.0333333333333334,11,15,0,2
5,6962,2489,6036,114,368,4014,126,147•,BLUE,0,1.0,21,15,0,1,0,1.6,16,17,1,2
6,1678,649,6059,1868,670,751,152•,96•,RED,0,1.2333333333333334,22,11,2,2,0,0.13333333333333333,12,9,1,2
7,1700,581,6619,604,9114,3482,185••,162,RED,0,3.066666666666667,28,18,2,2,0,1.9333333333333336,33,10,2,1
8,7528,2367,7709,3256,6822,2473,74•,88•,BLUE,0,0.03333333333333333,12,11,0,2,0,1.9,21,7,0,2
9,2643,10133,971,846,766,1072,87•,99•,BLUE,0,0.36666666666666664,12,5,2,2,0,0.9666666666666667,23,11,0,2
10,100,8404,1351,7413,9564,972,177•,123•,RED,1,2.0,18,20,1,2,0,0.03333333333333333,22,13,1,2
11,254,3501,649,6059,192,2854,186•,71•,RED,0,1.0333333333333334,23,16,3,2,0,0.6,13,8,0,2
12,6962,10093,9006,6619,115,5027,100•,143•,BLUE,0,0.16666666666666669,10,12,1,2,0,2.033333333333333,25,9,2,2
13,9125,751,6822,2813,4990,3482,42,75•,BLUE,0,1.0,9,3,0,1,0,0.9333333333333333,24,4,0,2
14,9114,7528,9202,4135,1678,10133,84•,130•,BLUE,0,1.0333333333333334,21,7,0,2,0,1.4000000000000001,11,13,2,2
15,4171,9564,6506,114,7709,604,34•,193•,BLUE,0,1.0666666666666667,11,1,0,2,1,2.2333333333333334,21,16,2,2
16,1072,9504,1351,6036,3669,766,71,73•,BLUE,0,0.9333333333333333,15,7,0,1,0,0.26666666666666666,14,7,0,2
17,9470,2367,2643,8404,971,670,58•,186•,BLUE,0,0.03333333333333333,8,8,0,2,0,1.2666666666666668,27,19,2,2
18,4765,1700,3256,1967,368,2135,136•,150••,BLUE,1,0.4666666666666666,12,17,0,2,1,3.3666666666666667,28,8,1,2
19,4014,846,972,9400,1868,581,135•,135,TIE,1,0.9666666666666667,14,16,1,2,0,2.7333333333333334,18,13,1,1
20,2489,9125,10133,649,4171,2473,67,94•,BLUE,0,0.9666666666666667,19,4,0,1,0,2.0,29,1,1,2
21,3501,7413,3482,4135,3669,5027,83•,56•,RED,0,-0.06666666666666665,19,8,0,2,0,2.3,5,8,0,2
22,9564,1351,2854,6962,4990,2367,86•,86•,TIE,0,2.1,16,10,0,2,0,0.06666666666666667,9,11,1,2
23,6059,2135,766,9006,6036,9114,90•,115•,BLUE,0,0.13333333333333333,25,7,0,2,0,0.1,24,11,0,2
24,1678,2643,4765,6822,254,114,222•,124•,RED,1,1.2666666666666666,11,25,3,2,0,1.1666666666666667,11,12,2,2
25,6506,2489,115,2813,1700,1868,99•,78,RED,0,1.1333333333333333,26,4,1,2,0,0.3333333333333333,19,8,0,1
26,972,3256,192,1072,6619,9470,157•,110•,RED,0,0.49999999999999994,25,19,1,2,0,0.9333333333333333,29,5,1,2
27,7709,9400,670,971,581,100,106•,222•,BLUE,0,0.9,19,11,1,2,1,3.3666666666666667,21,18,4,2
28,604,9504,751,7528,4014,1967,105•,71•,RED,0,1.1,13,8,1,2,1,1.0333333333333334,12,6,0,2
