Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1678,9,0,0,9,29,3.2222222222222223,1641,2,16,182,143,24,18
2,368,8,1,0,9,25,2.7777777777777777,1304,3,17,158,118,12,17
3,100,8,1,0,9,25,2.7777777777777777,1281,3,10,171,122,14,18
4,2473,8,1,0,9,24,2.6666666666666665,1182,1,15,218,92,10,15
5,6036,8,1,0,9,24,2.6666666666666665,1308,1,3,182,138,11,17
6,6619,6,3,0,9,22,2.4444444444444446,1245,2,15,177,106,13,17
7,115,7,2,0,9,22,2.4444444444444446,1115,2,11,212,77,11,17
8,581,6,2,1,9,21,2.3333333333333335,1367,2,19,180,116,16,16
9,846,6,2,1,9,21,2.3333333333333335,990,1,11,158,102,5,17
10,649,7,2,0,9,21,2.3333333333333335,1077,0,4,187,88,11,15
11,254,7,2,0,9,20,2.2222222222222223,1527,4,12,162,120,25,15
12,2135,5,4,0,9,20,2.2222222222222223,1093,4,10,241,70,6,18
13,4765,6,3,0,9,20,2.2222222222222223,1240,4,4,139,152,4,17
14,972,5,3,1,9,20,2.2222222222222223,1198,3,3,188,125,6,18
15,3501,6,3,0,9,20,2.2222222222222223,1240,1,5,227,108,8,17
16,604,6,3,0,9,19,2.111111111111111,1474,2,12,201,120,20,15
17,114,5,4,0,9,19,2.111111111111111,1147,2,8,140,117,10,18
18,971,5,4,0,9,18,2.0,1262,3,12,169,101,18,17
19,3256,5,4,0,9,18,2.0,1041,3,8,154,92,10,16
20,4014,4,4,1,9,18,2.0,871,3,4,121,93,4,18
21,4990,4,4,1,9,18,2.0,849,3,3,110,93,5,18
22,1072,5,4,0,9,18,2.0,845,2,2,178,73,4,17
23,4171,5,4,0,9,18,2.0,834,1,7,174,54,6,17
24,3669,4,5,0,9,17,1.8888888888888888,885,5,6,116,90,4,18
25,1700,5,4,0,9,17,1.8888888888888888,1025,2,11,161,109,4,15
26,7709,4,5,0,9,17,1.8888888888888888,990,2,3,204,81,4,18
27,766,4,5,0,9,17,1.8888888888888888,731,2,1,138,67,2,18
28,9400,5,3,1,9,17,1.8888888888888888,1031,1,9,172,103,6,15
29,8404,5,4,0,9,16,1.7777777777777777,1110,2,10,162,121,4,15
30,2367,4,4,1,9,16,1.7777777777777777,914,2,3,149,92,5,15
31,6506,4,5,0,9,16,1.7777777777777777,694,1,13,127,49,5,17
32,6822,4,5,0,9,16,1.7777777777777777,869,0,9,146,78,6,17
33,2854,3,5,1,9,15,1.6666666666666667,957,2,13,152,88,5,17
34,1351,3,5,1,9,15,1.6666666666666667,1001,2,8,166,112,1,17
35,9006,4,5,0,9,15,1.6666666666666667,728,2,4,116,63,5,15
36,2643,3,6,0,9,15,1.6666666666666667,909,1,7,116,94,8,18
37,9564,3,5,1,9,15,1.6666666666666667,796,0,7,148,66,8,16
38,4135,3,6,0,9,14,1.5555555555555556,831,1,10,97,90,6,17
39,6059,4,5,0,9,14,1.5555555555555556,937,1,3,139,94,8,15
40,2489,4,5,0,9,14,1.5555555555555556,975,0,11,205,67,8,13
41,670,4,5,0,9,14,1.5555555555555556,1132,0,5,165,109,12,15
42,9504,4,5,0,9,14,1.5555555555555556,797,0,4,137,70,6,15
43,751,3,6,0,9,12,1.3333333333333333,792,2,9,103,72,5,15
44,9202,3,6,0,9,12,1.3333333333333333,884,1,14,165,83,3,15
45,6962,3,5,1,9,12,1.3333333333333333,985,1,6,134,104,7,14
46,2813,4,5,0,9,12,1.3333333333333333,791,1,4,178,56,5,10
47,9470,3,6,0,9,12,1.3333333333333333,814,1,2,147,76,3,15
48,1967,2,7,0,9,11,1.2222222222222223,845,3,15,167,70,2,14
49,192,2,7,0,9,11,1.2222222222222223,908,3,10,123,92,7,16
50,1868,3,5,1,9,11,1.2222222222222223,942,2,4,144,80,7,13
51,7528,1,8,0,9,11,1.2222222222222223,720,2,4,110,87,2,18
52,5027,3,6,0,9,11,1.2222222222222223,792,1,11,120,76,7,14
53,3482,2,7,0,9,11,1.2222222222222223,986,0,9,177,86,6,16
54,10093,3,6,0,9,11,1.2222222222222223,798,0,8,137,84,2,14
55,7413,2,7,0,9,10,1.1111111111111112,838,0,5,165,74,4,15
56,9125,2,7,0,9,9,1.0,723,1,4,129,70,2,14
57,9114,2,7,0,9,9,1.0,940,0,5,206,64,7,14
58,10133,2,7,0,9,9,1.0,867,0,4,145,67,9,13
