#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1699,177,7694,3464,3182,6346,200,189,RED
2,236,3654,5422,5142,1100,9193,231,202,RED
3,176,8013,7153,1058,3146,228,216,231,BLUE
4,173,558,178,999,5746,155,174,149,RED
5,3464,3182,6346,5142,1100,9193,171,193,BLUE
6,176,8013,7153,999,5746,155,192,159,RED
7,1699,177,7694,236,3654,5422,201,151,RED
8,1058,3146,228,173,558,178,214,156,RED
9,236,3654,5422,176,8013,7153,218,256,BLUE
10,173,558,178,5142,1100,9193,200,196,RED
11,1699,177,7694,1058,3146,228,207,178,RED
12,173,558,178,176,8013,7153,193,246,BLUE
13,1058,3146,228,176,8013,7153,189,217,BLUE
14,1699,177,7694,176,8013,7153,217,190,RED
15,1699,177,7694,176,8013,7153,193,247,BLUE
16,1699,177,7694,176,8013,7153,185,177,RED
