Team#,Total,Rank,Selection,Elims
155,20,14,6,0
173,41,20,14,7
176,56,21,15,20
177,59,13,16,30
178,22,12,3,7
181,14,14,0,0
228,34,14,7,13
236,31,18,13,0
558,40,19,14,7
571,8,8,0,0
839,12,12,0,0
999,27,16,11,0
1058,39,16,10,13
1100,27,15,12,0
1699,68,22,16,30
1991,6,6,0,0
2064,8,8,0,0
2170,8,8,0,0
3146,36,13,10,13
3182,22,13,9,0
3464,24,15,9,0
3634,4,4,0,0
3654,29,16,13,0
3719,10,10,0,0
4572,5,5,0,0
4987,7,7,0,0
5142,29,17,12,0
5422,13,9,4,0
5746,22,11,11,0
6346,18,10,8,0
7153,33,11,2,20
7694,42,11,1,30
7760,12,12,0,0
7869,7,7,0,0
8013,52,17,15,20
9193,15,10,5,0
9286,4,4,0,0
10153,9,9,0,0
