#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,1991,4987,1058,176,1699,155,86•,200•,BLUE,0,1.1666666666666667,10,6,2,2,0,2.0,13,23,2,2
2,3146,9286,8013,5746,236,10153,88•,121•,BLUE,0,3.1666666666666665,10,10,0,2,1,2.1999999999999997,22,7,1,2
3,839,3719,2170,7153,3634,7869,91•,40•,RED,1,2.2,8,10,0,2,0,0.13333333333333333,8,4,0,2
4,7760,173,178,3182,1100,999,95•,173•,BLUE,1,1.1,14,9,0,2,1,1.0666666666666667,22,15,1,2
5,4572,5422,571,3464,5142,2064,104•,123•,BLUE,0,2.0,16,13,0,2,0,1.0666666666666667,13,11,2,2
6,6346,3654,9193,228,181,558,155•,107•,RED,1,2.8,22,13,1,2,0,2.1666666666666665,8,14,1,2
7,7694,999,1991,177,10153,9286,100•,97,RED,0,0.3333333333333333,17,11,1,2,0,1.1666666666666665,12,11,1,1
8,5422,2170,5746,3719,176,173,91•,166•,BLUE,1,1.0666666666666669,18,7,0,2,1,1.0666666666666669,15,11,3,2
9,4987,3654,3182,8013,4572,7869,109•,119•,BLUE,1,0.9666666666666667,23,7,0,2,0,1.3666666666666667,14,14,1,2
10,155,228,7694,7760,839,9193,81•,80•,RED,0,1.0666666666666669,20,5,0,2,0,3.1333333333333337,14,9,0,2
11,3464,236,3634,178,1100,1699,113•,169•,BLUE,0,2.1666666666666665,14,9,2,2,1,2.033333333333333,18,15,1,2
12,6346,3146,181,571,558,1058,123•,180•,BLUE,0,2.8666666666666663,15,14,1,2,1,2.9666666666666663,7,22,2,2
13,5142,177,7760,7153,228,2064,135•,74•,RED,1,1.2666666666666666,15,10,2,2,0,1.1333333333333333,17,6,0,2
14,4572,7694,236,173,3654,2170,103•,123•,BLUE,0,2.2333333333333334,21,8,1,2,1,1.0,18,9,1,2
15,999,8013,178,3719,6346,155,168•,99•,RED,1,1.4333333333333333,16,20,0,2,0,1.8,15,9,0,2
16,177,1699,558,9286,5422,4987,210•,79•,RED,1,1.2666666666666668,23,19,3,2,0,1.9333333333333333,18,8,0,2
17,1058,839,1100,9193,5142,571,134•,113•,RED,0,1.0666666666666667,9,18,1,2,0,2.033333333333333,10,15,1,2
18,1991,3182,3634,176,7153,3146,87•,167•,BLUE,1,1.2666666666666668,17,6,0,2,1,1.1666666666666667,19,13,2,2
19,10153,181,3464,5746,2064,7869,93•,70•,RED,0,1.0333333333333334,6,14,1,2,0,1.0,20,4,0,2
20,3719,5422,999,7760,3654,4572,88•,107•,BLUE,0,1.9666666666666666,18,6,1,2,1,1.9333333333333333,16,9,0,2
21,3146,173,5142,177,3182,6346,146•,144•,RED,1,1.1,19,9,2,2,1,1.1666666666666665,13,15,1,2
22,3464,839,5746,1058,178,176,126•,148•,BLUE,0,0.26666666666666666,19,14,1,2,0,2.1,16,12,2,2
23,228,3634,9286,558,1991,2064,74•,105•,BLUE,0,1.0333333333333332,20,5,0,2,0,1.2666666666666666,11,12,1,2
24,7869,1699,10153,8013,571,7694,92•,121•,BLUE,1,1.0333333333333334,9,5,2,2,0,2.2666666666666666,11,15,1,2
25,155,9193,181,1100,7153,4987,106•,98•,RED,0,2.8666666666666663,17,12,0,2,1,1.1,13,8,1,2
26,3182,3464,2170,236,228,6346,118•,116•,RED,1,0.13333333333333333,13,11,1,2,0,3.1666666666666665,15,10,1,2
27,5422,8013,839,571,3146,1991,107•,90•,RED,0,3.4333333333333336,10,10,1,2,0,2.1666666666666665,11,8,1,2
28,7694,178,5142,7760,999,7153,109•,82•,RED,0,2.2333333333333334,14,11,1,2,0,1.1333333333333335,13,7,1,2
29,1058,3719,5746,1699,9193,2064,87•,154•,BLUE,0,1.866666666666667,13,8,1,2,1,2.8666666666666667,18,12,2,2
30,155,558,3654,173,4572,177,139•,130•,RED,0,1.9333333333333336,21,15,1,2,0,0.3,16,14,1,2
31,176,236,2170,10153,3634,4987,126•,32•,RED,0,3.3000000000000003,13,10,2,2,0,0.06666666666666667,9,2,0,2
32,181,1100,5422,7869,3182,9286,142•,70•,RED,1,2.9,16,14,1,2,0,1.0,19,6,0,2
33,1699,1991,173,558,178,9193,111•,83•,RED,0,2.2333333333333334,17,10,1,2,0,1.1666666666666667,17,8,0,2
34,3464,6346,7153,839,177,236,141•,163•,BLUE,1,2.066666666666667,16,12,2,2,1,3.533333333333333,16,16,2,2
35,571,7760,3719,3654,1058,9286,77•,125•,BLUE,0,2.8666666666666667,4,14,0,2,0,1.7333333333333334,16,12,2,2
36,2170,3146,4572,1100,155,10153,95•,121•,BLUE,0,1.1,20,7,1,2,0,1.9333333333333333,16,13,1,2
37,2064,7694,4987,999,181,5746,34•,121•,BLUE,0,1.0,7,3,0,2,0,1.0666666666666669,19,13,1,2
38,228,176,7869,8013,3634,5142,144•,118•,RED,0,0.2333333333333333,21,12,2,2,1,1.3666666666666667,9,13,0,2
39,10153,1058,173,178,1991,3654,150•,93•,RED,1,0.9666666666666667,12,10,3,2,0,2.2333333333333334,15,9,0,2
40,9193,7153,177,3182,181,4572,135•,99•,RED,1,1.2666666666666666,24,9,1,2,1,1.0666666666666667,19,9,0,2
41,839,2064,155,4987,176,8013,115•,172•,BLUE,0,2.0666666666666664,17,14,0,2,1,1.4,17,17,2,2
42,7869,7760,3146,7694,3464,3719,99•,84•,RED,1,1.9666666666666668,12,8,1,2,0,1.0,13,10,0,2
43,1100,5746,558,6346,999,3634,183•,108•,RED,1,2.1,25,17,2,2,0,1.0,14,11,1,2
44,9286,2170,1699,5142,228,5422,101•,136•,BLUE,1,1.9666666666666668,14,7,1,2,0,2.166666666666667,29,9,1,2
45,571,7869,839,236,7760,155,90•,136•,BLUE,0,1.2,7,16,0,2,1,4.033333333333333,17,12,0,2
46,558,3182,7153,5746,7694,3654,132•,99•,RED,1,0.23333333333333334,26,11,0,2,0,0.9666666666666667,27,7,0,2
47,173,3464,8013,2170,5142,1058,177•,155•,RED,1,3.3333333333333335,13,19,2,2,1,1.0666666666666667,12,15,3,2
48,176,6346,1100,999,571,1699,157•,176•,BLUE,1,2.0,14,14,1,2,0,2.0,13,23,3,2
49,9193,3146,236,3634,177,5422,122•,150•,BLUE,0,5.066666666666666,19,9,1,2,0,1.1666666666666667,23,14,1,2
50,178,10153,228,181,2064,3719,80•,63•,RED,0,0.23333333333333334,14,10,0,2,0,2.833333333333333,8,7,0,2
51,4987,4572,6346,9286,1991,7760,77•,54•,RED,0,1.0333333333333334,9,7,1,2,0,2.1333333333333333,10,6,0,2
52,3634,1058,9193,177,7869,7694,108•,103•,RED,0,1.8666666666666667,13,9,2,2,0,0.26666666666666666,14,11,1,2
53,2064,999,176,5422,178,3146,154•,138•,RED,1,1.1,18,15,1,2,1,2.033333333333333,19,11,1,2
54,5746,9286,4572,7153,173,181,72,103•,BLUE,0,2.033333333333333,24,3,0,1,0,1.1,15,11,1,2
55,558,4987,839,236,3719,3182,95•,136••,BLUE,0,0.3333333333333333,7,13,1,2,1,3.0999999999999996,27,8,1,2
56,1100,571,228,10153,2170,8013,137•,104•,RED,0,2.033333333333333,15,16,1,2,1,2.3666666666666667,11,8,1,2
57,1699,5142,3654,1991,155,3464,151•,125•,RED,0,1.9666666666666668,26,14,1,2,1,0.19999999999999996,15,11,1,2
58,7869,1058,236,4572,558,999,132•,125•,RED,1,3.0666666666666664,10,14,2,2,1,0.23333333333333334,15,12,1,2
59,2064,9286,571,3182,839,178,85,115•,BLUE,0,2.833333333333333,9,11,0,0,1,0.3333333333333333,20,10,0,2
60,177,1100,3719,5142,5746,176,131•,139•,BLUE,0,2.1,16,14,2,2,1,0.23333333333333334,19,11,1,2
61,6346,7694,7760,2170,1991,181,86•,81•,RED,0,1.9333333333333333,16,9,0,2,1,1.2666666666666666,11,9,0,2
62,155,8013,7153,9193,5422,10153,157•,97•,RED,1,3.3000000000000003,16,15,1,2,0,1.9666666666666668,22,9,0,2
63,4987,173,228,3146,1699,3464,101•,165•,BLUE,0,0.16666666666666666,17,10,1,2,0,1.9666666666666668,19,13,2,2
64,3654,999,177,3634,2170,7760,184•,44•,RED,1,2.166666666666667,18,17,2,2,0,1.0333333333333334,9,4,0,2
65,181,9286,176,5422,155,1058,98•,92•,RED,0,2.0,10,8,1,2,0,0.8,10,9,1,2
66,236,558,5142,1100,9193,7694,170•,102•,RED,1,2.3333333333333335,18,12,3,2,0,1.9666666666666668,14,10,1,2
67,178,4572,3634,1699,8013,228,72•,187•,BLUE,0,0.16666666666666666,13,9,0,2,0,2.3333333333333335,22,20,1,2
68,2064,10153,3182,173,6346,839,76•,153•,BLUE,0,1.0,20,5,0,2,0,2.166666666666667,14,17,2,2
69,7153,3719,1991,571,4987,3464,64•,104•,BLUE,0,1.2666666666666666,15,5,0,2,1,1.0333333333333334,6,13,1,2
70,3146,5746,177,3654,7869,1100,172•,116•,RED,1,1.2,26,13,1,2,1,1.9,22,5,1,2
71,181,7760,1699,839,10153,4572,120•,68•,RED,1,2.9,15,9,1,2,0,0.3,12,8,0,2
72,3634,176,571,7694,173,558,147•,151•,BLUE,0,1.0666666666666667,13,18,2,2,1,0.16666666666666666,18,17,0,2
73,8013,9193,1991,9286,3464,999,133•,146•,BLUE,0,3.466666666666667,17,14,1,2,1,2.033333333333333,15,14,2,2
