Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1699,10,2,0,12,32,2.6666666666666665,1836,6,19,207,170,20,24
2,176,10,2,0,12,32,2.6666666666666665,1818,6,16,188,164,21,24
3,173,9,3,0,12,30,2.5,1606,7,12,188,146,17,24
4,558,8,4,0,12,28,2.3333333333333335,1680,7,12,196,172,15,24
5,236,7,5,0,12,28,2.3333333333333335,1575,6,36,220,124,17,24
6,8013,8,4,0,12,28,2.3333333333333335,1651,6,25,166,175,11,24
7,5142,8,4,0,12,28,2.3333333333333335,1579,6,15,193,140,18,24
8,999,8,4,0,12,28,2.3333333333333335,1625,6,13,198,164,15,24
9,1058,8,4,0,12,28,2.3333333333333335,1551,4,15,141,153,23,24
10,3654,7,5,0,12,27,2.25,1538,6,16,252,126,10,24
11,1100,7,5,0,12,26,2.1666666666666665,1663,7,18,200,159,14,24
12,3464,7,5,0,12,26,2.1666666666666665,1515,6,14,162,151,17,24
13,181,7,5,0,12,26,2.1666666666666665,1256,4,19,159,134,8,24
14,155,7,5,0,12,26,2.1666666666666665,1455,3,18,186,148,8,24
15,228,7,5,0,12,26,2.1666666666666665,1335,0,15,228,122,8,24
16,3182,6,6,0,12,25,2.0833333333333335,1357,9,10,249,108,4,24
17,177,7,5,0,12,25,2.0833333333333335,1754,7,14,216,163,18,23
18,3146,6,6,0,12,24,2.0,1492,6,21,201,120,14,24
19,7760,6,6,0,12,24,2.0,1115,6,20,155,106,5,24
20,178,6,6,0,12,24,2.0,1342,5,13,192,132,5,24
21,839,6,6,0,12,24,2.0,1337,3,17,153,155,8,24
22,7694,6,6,0,12,24,2.0,1173,1,11,192,117,6,24
23,5746,6,6,0,12,23,1.9166666666666667,1379,5,12,262,109,8,23
24,7153,5,7,0,12,22,1.8333333333333333,1265,6,12,198,109,9,24
25,6346,5,7,0,12,22,1.8333333333333333,1513,4,20,176,149,13,24
26,9193,5,7,0,12,22,1.8333333333333333,1388,3,24,207,129,10,24
27,3719,4,8,0,12,21,1.75,1173,4,18,164,107,9,24
28,10153,5,7,0,12,21,1.75,1131,4,10,165,102,10,23
29,5422,4,8,0,12,21,1.75,1361,3,20,227,119,8,24
30,571,5,7,0,12,21,1.75,1424,2,21,122,184,12,22
31,2064,5,7,0,12,21,1.75,1207,2,17,171,118,8,22
32,2170,4,8,0,12,20,1.6666666666666667,1201,8,14,163,105,10,24
33,4987,4,8,0,12,20,1.6666666666666667,1074,5,8,148,99,10,24
34,7869,4,8,0,12,20,1.6666666666666667,1159,4,11,165,109,11,24
35,1991,3,9,0,12,18,1.5,1129,3,16,166,107,8,24
36,4572,3,9,0,12,17,1.4166666666666667,1171,3,11,195,113,6,23
37,3634,2,10,0,12,16,1.3333333333333333,1093,2,10,162,104,8,24
38,9286,3,9,0,12,15,1.25,1089,2,19,177,101,7,20
