#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,176,7407,1991,8085,3461,230,222,165,RED
2,999,716,1350,4572,558,1071,174,191,BLUE
3,2067,195,1099,155,7127,3464,195,137,RED
4,6346,228,8889,7694,5142,2168,150,137,RED
5,8085,3461,230,999,716,1350,143,199,BLUE
6,155,7127,3464,7694,5142,2168,124,131,BLUE
7,176,7407,1991,4572,558,1071,236,174,RED
8,2067,195,1099,6346,228,8889,213,196,RED
9,4572,558,1071,7694,5142,2168,156,154,RED
10,6346,228,8889,999,716,1350,145,159,BLUE
11,176,7407,1991,2067,195,1099,217,247,BLUE
12,999,716,1350,4572,558,1071,166,171,BLUE
13,176,7407,1991,4572,558,1071,257,178,RED
14,2067,195,1099,176,7407,1991,207,250,BLUE
15,2067,195,1099,176,7407,1991,216,232,BLUE
