#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,230,6723,3634,237,228,2067,59•,129•,BLUE,0,1.9666666666666668,16,4,0,2,0,2.9333333333333336,19,12,1,2
2,5142,1099,5746,8889,716,9193,106•,109•,BLUE,0,0.2333333333333333,18,10,1,2,0,1.0333333333333334,22,10,0,2
3,8085,9710,2168,155,176,1991,110•,163•,BLUE,0,1.9333333333333333,20,10,1,2,0,1.2666666666666668,20,15,2,2
4,2170,1350,7407,7869,195,4572,124•,153•,BLUE,0,2.166666666666667,18,10,2,2,1,2.033333333333333,19,13,2,2
5,999,2712,178,7694,3461,7127,113•,98•,RED,0,0.16666666666666666,16,12,1,2,0,0.06666666666666667,24,9,0,2
6,3464,1071,558,2064,6346,8085,117•,126•,BLUE,0,1.0666666666666667,10,13,1,2,0,3.7333333333333334,8,14,2,2
7,3461,2067,4572,5746,716,228,129•,96,RED,1,1.9666666666666666,18,10,1,2,0,0.13333333333333333,25,6,1,1
8,2168,2064,178,237,6346,2170,82•,118•,BLUE,0,1.1,14,10,0,2,1,1.9333333333333333,16,10,1,2
9,2712,3634,155,1350,5142,3464,71•,121•,BLUE,0,0.9333333333333333,13,8,0,2,0,1.2666666666666668,17,11,1,2
10,7869,7127,8889,1071,9710,230,68,95•,BLUE,0,0.13333333333333333,19,5,0,1,0,1.9333333333333333,9,14,1,2
11,1099,7407,1991,999,195,176,127•,152,BLUE,0,2.3,20,11,2,2,0,1.1,11,17,2,0
12,7694,6346,9193,8889,558,6723,127•,99•,RED,0,1.9333333333333333,23,11,1,2,0,1.1333333333333333,14,9,1,2
13,230,237,2064,716,5142,3461,87•,135•,BLUE,0,2.8666666666666667,13,7,1,2,0,1.1,21,10,2,2
14,155,7407,7694,2712,195,1991,144•,87•,RED,1,2.933333333333333,17,11,1,2,0,1.1666666666666667,13,8,1,2
15,558,999,8085,4572,3634,3464,137•,68,RED,0,2.033333333333333,12,14,2,2,0,0.1,11,7,0,1
16,1099,7869,228,5746,178,9710,80•,76•,RED,0,0.23333333333333334,18,7,0,2,0,0.13333333333333333,15,8,0,2
17,2168,9193,6723,1350,7127,1071,97•,107•,BLUE,1,2.0,20,6,0,2,0,1.1,22,11,0,2
18,176,2067,5746,2170,558,7694,183•,83,RED,0,2.033333333333333,17,18,3,2,0,0.19999999999999998,13,7,1,1
19,1350,3461,999,237,178,1991,103•,70•,RED,0,1.2,20,10,0,2,0,2.2666666666666666,15,6,0,2
20,2170,195,8889,6723,4572,5142,97•,81•,RED,0,1.0666666666666667,15,12,0,2,1,1.1333333333333335,14,7,0,2
21,155,3464,9710,2168,716,230,122•,120•,RED,0,0.9666666666666667,12,16,0,2,0,2.0666666666666664,20,12,1,2
22,2067,1071,9193,228,2064,2712,97•,94•,RED,1,1.7999999999999998,11,6,1,2,0,1.0333333333333332,22,10,0,2
23,7869,3634,6346,1099,176,7127,78•,153•,BLUE,0,0.9666666666666667,12,7,1,2,0,1.2333333333333334,19,18,2,2
24,8085,8889,155,2064,5746,7407,104•,114•,BLUE,0,2.8666666666666667,18,6,1,2,0,1.9333333333333333,18,10,1,2
25,237,1071,195,7127,3464,228,136•,131•,RED,0,1.8,19,15,1,2,0,0.16666666666666666,17,16,1,2
26,4572,1350,1099,2067,5142,2712,92•,122•,BLUE,0,0.3,27,6,0,2,0,2.0,9,13,2,2
27,3461,230,9193,8085,176,7694,102•,167•,BLUE,0,1.9666666666666668,22,9,0,2,0,2.0,19,10,3,2
28,6346,999,716,7407,2168,7869,150•,117•,RED,0,1.0,18,19,0,2,0,2.066666666666667,16,12,1,2
29,558,1991,9710,178,2170,3634,106•,58•,RED,0,0.3333333333333333,13,13,1,2,0,0.16666666666666666,12,7,0,2
30,2712,237,5746,6723,3464,7869,81•,80•,RED,0,0.9666666666666667,21,6,0,2,0,1.0333333333333334,8,8,1,2
31,1099,9193,3634,7407,178,230,72•,155•,BLUE,0,2.0666666666666664,15,7,0,2,1,3.066666666666667,17,15,1,2
32,2064,4572,2170,1991,6723,999,97•,93•,RED,1,1.0666666666666667,18,8,0,2,0,1.2666666666666666,16,11,0,2
33,195,228,1350,6346,558,176,146,181•,BLUE,0,2.166666666666667,23,13,2,1,1,1.1333333333333335,15,18,2,2
34,7127,155,2168,8889,3461,9710,111•,106•,RED,0,1.0333333333333334,20,12,0,2,0,0.06666666666666667,26,11,0,2
35,716,2067,7694,5142,8085,1071,153•,130•,RED,1,1.9333333333333333,18,14,2,2,0,1.9,14,17,1,2
36,1350,1991,2168,9193,2064,7127,100•,83•,RED,0,0.4333333333333333,24,8,0,2,0,0.9333333333333333,13,10,0,2
37,999,228,7407,230,7869,5142,170•,106•,RED,0,2.1333333333333333,25,11,3,2,0,1.1333333333333335,10,13,1,2
38,176,8889,4572,3634,558,237,147•,118•,RED,0,0.23333333333333334,22,15,1,2,1,1.0333333333333332,14,11,1,2
39,3464,7694,1099,716,2170,1071,113•,89•,RED,1,0.16666666666666666,13,9,1,2,0,1.0,15,7,1,2
40,178,155,3461,9710,2067,6346,91•,129•,BLUE,0,1.0333333333333332,18,9,0,2,0,2.833333333333333,11,15,2,2
41,195,5746,6723,8085,2712,2170,93•,87•,RED,0,1.9333333333333333,11,9,1,2,0,0.9333333333333333,15,8,1,2
42,1071,6346,3461,7407,176,3634,109•,159•,BLUE,0,1.8666666666666667,17,12,0,2,1,2.066666666666667,13,11,2,2
43,6723,1099,2064,228,4572,155,54•,113•,BLUE,0,2.0,9,5,0,2,0,2.1,19,12,0,2
44,3464,8085,237,9193,9710,1350,105•,84•,RED,0,2.833333333333333,17,7,1,2,0,1.1,17,9,0,2
45,558,5746,7869,230,7694,195,114,169•,BLUE,0,0.16666666666666666,20,13,0,1,1,1.9666666666666668,18,14,3,2
46,2067,8889,178,5142,2168,999,135•,130•,RED,0,2.0666666666666664,21,14,1,2,1,0.23333333333333334,19,9,1,2
47,7127,2712,558,716,1991,8085,104•,149•,BLUE,0,0.13333333333333333,12,17,0,2,0,2.1,20,16,1,2
48,5746,4572,2168,3634,7694,2064,74•,83•,BLUE,0,0.16666666666666669,17,7,0,2,0,0.9666666666666667,19,7,0,2
49,9710,6723,716,3461,7407,195,83,171•,BLUE,0,0.9666666666666667,17,6,1,1,1,2.9000000000000004,16,10,3,2
50,176,237,5142,7127,999,2067,151•,166•,BLUE,0,1.1333333333333333,17,9,3,2,1,2.0,15,17,2,2
51,8889,1991,228,2712,230,1350,72,109•,BLUE,0,0.39999999999999997,18,6,0,1,1,1.1333333333333333,15,10,0,2
52,9193,7869,2170,6346,155,1099,40•,125•,BLUE,0,1.0666666666666667,8,3,0,2,1,1.9666666666666668,15,14,0,2
53,1071,178,176,3464,2168,8889,139•,130•,RED,0,1.1333333333333335,15,14,2,2,1,0.16666666666666669,18,12,1,2
54,9710,2712,7869,3461,2064,558,52•,101•,BLUE,0,0.03333333333333333,9,6,0,2,0,1.0333333333333334,13,9,1,2
55,5142,6346,178,4572,8085,7407,119•,146•,BLUE,0,0.1333333333333333,13,10,2,2,1,3.9,14,13,1,2
56,1991,230,2067,195,9193,3464,127•,170•,BLUE,1,2.1333333333333333,12,12,1,2,1,1.9333333333333333,14,17,3,2
57,7694,6723,1350,1071,999,1099,62•,141•,BLUE,0,1.1333333333333333,18,3,0,2,1,2.1,14,13,1,2
58,2170,7127,5746,155,237,716,72,113•,BLUE,0,0.13333333333333333,21,5,0,0,0,1.8666666666666667,25,8,0,2
59,3634,5142,195,228,2168,6346,118•,143•,BLUE,0,1.0333333333333332,11,11,2,2,1,1.1,26,12,1,2
60,176,7869,716,178,8085,6723,132•,75•,RED,0,0.13333333333333333,15,9,3,2,0,2.9333333333333336,12,7,0,2
61,228,2170,230,5746,1350,3461,105•,98•,RED,0,1.1666666666666667,18,9,1,2,0,0.16666666666666666,32,5,0,2
62,1991,3634,1071,9710,1099,237,79•,58•,RED,0,1.1666666666666665,12,9,0,2,0,1.0333333333333332,10,6,0,2
63,2067,3464,2064,7407,8889,2712,139•,143•,BLUE,0,1.8666666666666667,14,14,2,2,1,2.0333333333333337,20,7,2,2
64,999,7694,4572,558,9193,155,113•,109•,RED,1,0.16666666666666669,21,10,0,2,1,2.0,17,9,0,2
65,7127,7407,5142,1991,2170,3464,172•,106•,RED,1,2.1,18,14,2,2,1,1.3333333333333335,12,9,1,2
66,4572,230,6346,6723,1071,2712,118•,86,RED,0,1.0,17,12,1,2,0,0.9,13,11,0,1
67,2168,3461,237,195,1099,558,105•,163•,BLUE,1,1.0,22,8,0,2,0,2.1333333333333333,19,19,2,2
68,2064,9710,176,7694,5746,8889,115•,62•,RED,0,1.0333333333333334,14,11,2,2,0,0.13333333333333333,17,5,0,2
69,9193,228,8085,7869,155,999,135•,87•,RED,1,2.9333333333333336,26,10,0,2,0,1.0333333333333334,11,8,1,2
70,178,716,7127,3634,1350,2067,86•,104•,BLUE,0,0.13333333333333333,17,9,0,2,0,2.033333333333333,16,11,1,2
