Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,176,11,1,0,12,33,2.75,1842,2,13,197,165,27,22
2,2067,10,2,0,12,32,2.6666666666666665,1613,5,20,181,156,19,24
3,7407,9,3,0,12,30,2.5,1742,7,25,212,135,21,24
4,6346,9,3,0,12,30,2.5,1523,4,13,191,154,13,24
5,999,9,3,0,12,29,2.4166666666666665,1555,4,13,198,151,13,22
6,195,9,3,0,12,28,2.3333333333333335,1655,4,16,189,158,22,21
7,4572,8,4,0,12,27,2.25,1331,6,11,217,120,6,23
8,7694,8,4,0,12,27,2.25,1374,5,8,220,110,12,23
9,155,7,5,0,12,26,2.1666666666666665,1353,3,14,205,128,5,24
10,8085,7,5,0,12,26,2.1666666666666665,1471,2,22,195,132,14,24
11,1071,7,5,0,12,25,2.0833333333333335,1325,2,12,171,142,9,23
12,230,6,6,0,12,24,2.0,1352,4,17,187,131,11,24
13,237,6,6,0,12,24,2.0,1271,3,15,208,105,9,24
14,1099,6,6,0,12,24,2.0,1284,3,13,197,125,9,24
15,2064,6,6,0,12,24,2.0,1175,1,14,175,115,9,24
16,716,7,5,0,12,24,2.0,1415,1,10,233,126,12,22
17,228,7,5,0,12,23,1.9166666666666667,1414,2,13,256,124,10,21
18,1350,6,6,0,12,23,1.9166666666666667,1250,1,12,249,107,6,23
19,9193,5,7,0,12,22,1.8333333333333333,1225,5,15,208,107,5,24
20,3461,5,7,0,12,22,1.8333333333333333,1348,3,10,249,112,7,24
21,3464,5,7,0,12,21,1.75,1402,4,8,163,139,13,23
22,1991,5,7,0,12,21,1.75,1279,2,13,195,124,9,23
23,2712,5,7,0,12,21,1.75,1149,2,7,178,116,7,23
24,9710,5,7,0,12,21,1.75,1136,0,7,173,125,8,23
25,5142,4,8,0,12,20,1.6666666666666667,1491,3,11,181,134,18,24
26,558,5,7,0,12,20,1.6666666666666667,1432,3,11,172,152,12,22
27,8889,5,7,0,12,20,1.6666666666666667,1272,2,9,230,112,7,22
28,7127,5,7,0,12,20,1.6666666666666667,1351,2,7,217,143,7,21
29,178,4,8,0,12,20,1.6666666666666667,1199,1,12,185,121,7,24
30,3634,4,8,0,12,19,1.5833333333333333,1067,2,10,164,100,7,23
31,2168,3,9,0,12,18,1.5,1319,5,11,236,118,6,24
32,2170,4,8,0,12,18,1.5,1076,3,9,181,95,8,21
33,5746,4,8,0,12,17,1.4166666666666667,1169,0,4,232,102,7,20
34,7869,3,9,0,12,16,1.3333333333333333,1107,1,8,165,104,10,22
35,6723,1,11,0,12,12,1.0,962,2,13,168,86,4,22
