#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,180,179,3627,10123,9168,3164,247,81,RED
2,5557,6743,9164,59,9085,5872,140,137,RED
3,108,4388,9244,9200,9787,1523,182,136,RED
4,8581,2383,3932,5472,9604,7403,212,138,RED
5,10123,9168,3164,59,9085,5872,99,160,BLUE
6,9200,9787,1523,5472,9604,7403,125,170,BLUE
7,180,179,3627,5557,6743,9164,242,129,RED
8,108,4388,9244,8581,2383,3932,195,160,RED
9,5557,6743,9164,5472,9604,7403,195,130,RED
10,8581,2383,3932,59,9085,5872,179,135,RED
11,180,179,3627,108,4388,9244,240,175,RED
12,8581,2383,3932,5557,6743,9164,167,166,RED
13,108,4388,9244,8581,2383,3932,180,206,BLUE
14,180,179,3627,8581,2383,3932,267,197,RED
15,180,179,3627,8581,2383,3932,243,194,RED
