Team#,Total,Rank,Selection,Elims
59,30,18,12,0
108,48,20,15,13
179,67,21,16,30
180,68,22,16,30
744,15,15,0,0
1523,15,8,7,0
1744,13,13,0,0
2152,5,5,0,0
2383,51,17,14,20
3164,21,13,8,0
3242,4,4,0,0
3627,46,15,1,30
3932,32,9,3,20
4091,7,7,0,0
4388,46,18,15,13
4562,12,12,0,0
5410,12,12,0,0
5472,28,17,11,0
5557,39,19,13,7
5872,20,15,5,0
6686,5,5,0,0
6743,34,14,13,7
7403,17,11,6,0
7500,6,6,0,0
7652,4,4,0,0
7717,9,9,0,0
7833,8,8,0,0
8066,7,7,0,0
8581,53,19,14,20
8791,10,10,0,0
8817,13,13,0,0
9040,13,13,0,0
9066,14,14,0,0
9085,24,12,12,0
9164,25,14,4,7
9168,23,14,9,0
9200,26,16,10,0
9244,31,16,2,13
9402,6,6,0,0
9404,10,10,0,0
9604,22,11,11,0
9693,10,10,0,0
9725,11,11,0,0
9779,9,9,0,0
9787,18,8,10,0
10096,10,10,0,0
10123,25,16,9,0
10171,11,11,0,0
