#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4562,9402,9693,5472,8066,9200,52•,107•,BLUE,0,0.13333333333333333,16,3,0,2,0,0.1,12,11,1,2
2,10123,4091,9725,5410,4388,9040,57•,78•,BLUE,0,1.9333333333333333,17,3,0,2,0,1.0666666666666667,20,7,0,2
3,1744,8581,10171,9604,7500,7403,92•,71,RED,0,0.06666666666666667,15,6,1,2,0,0.9333333333333333,20,5,0,1
4,179,9066,3164,3627,3932,2383,90•,83•,RED,0,1.8666666666666667,16,7,1,2,0,0.9666666666666667,16,8,0,2
5,6743,9085,9779,108,8817,9164,78,81•,BLUE,0,0.16666666666666666,28,3,0,1,0,0.06666666666666667,9,9,0,2
6,7717,8791,9168,7652,9244,59,50•,108•,BLUE,0,1.0666666666666667,10,4,0,2,1,1.0333333333333334,9,13,1,2
7,10096,2152,5557,9787,5872,1523,110•,93•,RED,0,1.8333333333333335,15,9,1,2,0,1.9333333333333333,19,10,0,2
8,7833,180,6686,9404,3242,744,90•,67•,RED,0,1.3,15,7,1,2,1,0.03333333333333333,6,8,0,2
9,3627,5410,7403,9200,9040,1744,79•,73•,RED,0,2.833333333333333,18,7,0,2,1,0.1,12,7,0,2
10,9244,9604,9725,5472,9779,9066,53•,88•,BLUE,0,0.9666666666666667,19,1,0,2,0,1.1333333333333333,12,11,1,2
11,9402,6743,2383,7652,10096,4388,91•,84,RED,0,1.1333333333333333,10,10,1,2,0,0.1,22,8,0,1
12,7717,9085,9787,4091,5872,7500,50•,51•,BLUE,0,0.09999999999999999,14,4,0,2,0,1.9,6,7,0,2
13,10123,8581,6686,8817,8791,744,101•,42•,RED,0,0.1,12,10,1,2,0,0.03333333333333333,7,5,0,2
14,59,9164,4562,3242,3164,2152,93•,43•,RED,0,1.0333333333333334,10,11,1,2,0,0.9,8,4,0,2
15,9168,3932,1523,9404,180,8066,95,117,BLUE,0,1.9333333333333333,26,6,0,1,0,0.3,14,9,3,1
16,7833,10171,9693,179,5557,108,59•,179•,BLUE,1,1.1,13,2,0,2,1,2.8333333333333335,25,10,3,2
17,8817,7403,9402,5872,9725,9066,74•,55•,RED,1,0.9666666666666667,13,5,0,2,0,1.9333333333333333,12,5,0,2
18,2383,3164,4388,7717,6743,5472,135•,108•,RED,0,0.06666666666666667,27,13,1,2,0,0.26666666666666666,15,12,1,2
19,1744,3242,7500,9168,744,10096,38•,85•,BLUE,0,0.03333333333333333,7,4,0,2,1,1.0333333333333334,17,6,0,2
20,6686,9164,9404,9200,9787,10123,34•,101•,BLUE,0,1.0666666666666667,4,5,0,2,1,0.03333333333333333,24,7,0,2
21,179,1523,59,8066,3627,7833,141•,31,RED,1,3.8666666666666663,14,15,1,2,0,1.9666666666666668,7,2,0,1
22,9779,7652,4091,10171,4562,108,38,96•,BLUE,0,1.0,8,4,0,1,0,0.1,19,6,1,2
23,3932,9040,9244,180,8581,5557,64•,203•,BLUE,0,0.06666666666666667,20,4,0,2,1,1.1666666666666667,19,14,4,2
24,2152,8791,5410,9693,9604,9085,55,66,BLUE,0,1.8333333333333335,9,5,0,0,0,0.09999999999999999,24,2,0,1
25,10096,9787,3242,7833,9200,179,60,119•,BLUE,0,0.03333333333333333,15,5,0,1,1,2.8333333333333335,18,8,1,2
26,108,7717,1523,8817,9168,4562,108•,45•,RED,0,1.1333333333333333,19,11,1,2,0,0.9666666666666667,10,4,0,2
27,5557,6686,4091,8581,6743,7403,88•,146•,BLUE,0,1.9,10,10,0,2,1,1.0333333333333332,28,10,1,2
28,9725,7652,9085,3164,1744,180,78•,130•,BLUE,1,0.9666666666666667,19,5,0,2,1,0.3,17,8,3,2
29,59,9404,3932,2383,9693,9779,102•,107•,BLUE,1,1.0333333333333334,7,12,1,2,1,0.16666666666666666,14,9,1,2
30,9604,744,4388,5872,2152,3627,99•,59•,RED,1,0.1,21,8,0,2,0,2.833333333333333,11,6,0,2
31,7500,9164,5410,8791,5472,9244,76•,85•,BLUE,1,0.9333333333333333,15,5,0,2,0,0.06666666666666667,11,8,1,2
32,10171,8066,9402,9066,10123,9040,46•,54•,BLUE,0,0.1,14,2,0,2,0,0.1,16,4,0,2
33,9693,3164,8817,4562,179,1744,50•,91•,BLUE,0,0.09999999999999999,15,3,0,2,1,1.9000000000000001,12,7,0,2
34,59,9168,6743,5557,9787,9604,110•,114•,BLUE,0,2.1,19,8,1,2,0,0.9,20,9,1,2
35,2152,7500,7652,1523,9725,9404,47,73•,BLUE,0,0.9,9,5,0,0,0,1.9333333333333333,20,5,0,2
36,10096,7717,2383,9164,8581,9066,111•,122•,BLUE,0,0.13333333333333333,12,14,1,2,1,0.0,22,11,0,2
37,3932,10123,744,108,4091,9040,77•,95,BLUE,1,0.06666666666666667,16,6,0,2,0,1.0666666666666667,17,6,1,1
38,180,9779,8791,7833,9402,5472,141•,56,RED,1,0.3333333333333333,14,11,3,2,0,2.0666666666666664,6,5,1,1
39,3627,9085,4388,5410,6686,10171,96•,50•,RED,0,1.0333333333333334,32,5,0,2,0,2.033333333333333,12,3,0,2
40,8066,3242,9244,7403,5872,9200,34•,75•,BLUE,0,0.03333333333333333,8,2,0,2,0,1.9,13,9,0,2
41,4562,9066,9404,8581,59,2383,52•,178•,BLUE,0,0.0,14,4,0,2,0,1.0333333333333334,12,20,3,2
42,10096,180,9040,2152,5472,9693,111•,101•,RED,1,1.3666666666666667,15,7,1,2,1,2.0666666666666664,12,8,0,2
43,8791,1523,7833,4388,1744,7717,49•,54•,BLUE,0,1.9333333333333333,13,3,0,2,0,0.2,10,4,0,2
44,5872,5557,6743,7500,108,3164,135•,96•,RED,1,1.9666666666666668,18,12,1,2,1,0.06666666666666667,12,11,0,2
45,4091,3627,9200,9779,8817,9725,67•,46,RED,0,1.9,17,5,0,2,0,1.0333333333333334,12,3,0,1
46,9085,9168,9244,179,7403,10123,61•,77•,BLUE,0,0.9666666666666667,23,2,0,2,0,1.8333333333333335,12,5,1,2
47,3242,5410,3932,9402,6686,9604,55•,46,RED,0,0.9333333333333333,14,4,0,2,0,0.1,10,4,0,1
48,744,10171,9787,9164,8066,7652,62•,48•,RED,0,0.06666666666666667,13,7,0,2,0,0.03333333333333333,8,6,0,2
49,9725,4388,4562,9404,10096,3627,76•,58,RED,0,1.0333333333333334,27,2,0,2,0,1.0,12,6,0,1
50,9779,179,9168,9040,3164,8791,84•,51•,RED,0,2.9,17,5,0,2,1,0.06666666666666667,5,5,0,2
51,6743,108,10123,8581,1523,3242,113•,93•,RED,0,0.19999999999999998,23,7,1,2,0,0.9666666666666667,15,9,1,2
52,744,5557,7717,9066,5410,9402,85,51•,RED,0,1.0333333333333334,9,12,0,1,0,0.9666666666666667,12,5,0,2
53,1744,4091,8066,6686,9244,2152,40•,49,BLUE,0,0.0,9,4,0,2,0,0.9666666666666667,12,4,0,1
54,7403,9787,5472,2383,7833,9085,106,109•,BLUE,0,1.0,20,6,1,1,1,0.9666666666666667,22,8,0,2
55,9693,9200,7500,3932,9604,7652,54•,72,BLUE,0,0.09999999999999999,14,4,0,2,0,0.0,19,6,0,1
56,10171,9164,5872,8817,59,180,56•,149•,BLUE,0,1.0,9,7,0,2,1,2.3,13,10,4,2
57,9244,9404,108,3627,6686,8791,112•,32•,RED,1,0.06666666666666667,17,10,1,2,0,1.0333333333333334,6,3,0,2
58,5557,2383,1744,9402,9779,3242,146•,40•,RED,0,0.9333333333333333,16,12,2,2,0,0.1,6,5,0,2
59,9604,8066,10096,3164,4562,9085,74,66,RED,0,0.06666666666666667,23,4,0,1,0,0.0,24,3,0,1
60,9168,9693,9787,8581,4388,4091,77•,154•,BLUE,1,1.0666666666666667,16,4,0,2,0,1.0,33,12,1,2
61,5872,8817,5472,9040,1523,7652,129•,62•,RED,0,1.0333333333333334,10,17,1,2,0,1.0333333333333334,13,7,0,2
62,2152,10123,10171,7717,3932,7833,57,52•,RED,0,0.9666666666666667,14,4,0,1,0,1.0666666666666667,14,4,0,2
