#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1261,1771,7514,8815,6829,3329,240,124,RED
2,3635,6919,7104,7451,4188,6705,170,193,BLUE
3,4112,4026,3091,4701,9260,5074,127,93,RED
4,1683,5293,5828,1648,2415,10218,161,144,RED
5,8815,6829,3329,3635,6919,7104,101,167,BLUE
6,4701,9260,5074,1648,2415,10218,121,170,BLUE
7,1261,1771,7514,7451,4188,6705,273,166,RED
8,4112,4026,3091,1683,5293,5828,141,138,RED
9,7451,4188,6705,1648,2415,10218,171,143,RED
10,1683,5293,5828,3635,6919,7104,195,190,RED
11,1261,1771,7514,4112,4026,3091,228,138,RED
12,1683,5293,5828,7451,4188,6705,174,169,RED
13,4112,4026,3091,1683,5293,5828,137,210,BLUE
14,1261,1771,7514,1683,5293,5828,247,193,RED
15,1261,1771,7514,1683,5293,5828,262,188,RED
