Team#,Total,Rank,Selection,Elims
1002,6,6,0,0
1261,68,22,16,30
1648,28,17,11,0
1683,53,19,14,20
1771,67,21,16,30
1795,4,4,0,0
2415,26,15,11,0
3091,28,13,2,13
3329,20,12,8,0
3635,31,18,13,0
4026,42,14,15,13
4112,48,20,15,13
4188,29,10,12,7
4189,4,4,0,0
4240,5,5,0,0
4701,26,16,10,0
4730,10,10,0,0
5074,18,11,7,0
5219,10,10,0,0
5293,50,16,14,20
5651,8,8,0,0
5828,37,14,3,20
5848,7,7,0,0
6705,27,15,5,7
6829,22,13,9,0
6905,7,7,0,0
6919,25,12,13,0
7104,13,9,4,0
7451,36,17,12,7
7470,8,8,0,0
7514,42,11,1,30
7676,11,11,0,0
8815,25,16,9,0
9086,12,12,0,0
9260,24,14,10,0
9522,9,9,0,0
10047,8,8,0,0
10218,19,13,6,0
