#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,10047,7104,7470,5293,9522,1771,40•,149•,BLUE,0,0.0,12,2,0,2,0,1.1666666666666665,12,15,3,2
2,4026,7514,4240,7676,5828,1683,46•,101•,BLUE,0,1.0333333333333334,12,3,0,2,0,1.0333333333333334,15,10,1,2
3,5074,9260,1795,4112,10218,6919,55,120•,BLUE,0,1.8666666666666667,9,6,0,1,0,0.2,13,13,0,2
4,4730,3329,4188,2415,8815,3091,58•,67•,BLUE,0,1.1,17,2,0,2,0,0.1,9,9,0,2
5,1002,6705,5848,5219,4701,6829,39•,53•,BLUE,0,0.9333333333333333,11,3,0,2,0,1.8333333333333335,14,3,0,2
6,1261,6905,3635,5651,9086,7451,113•,82•,RED,0,0.2,21,7,1,2,1,0.03333333333333333,7,6,1,2
7,7104,10218,4189,1648,2415,4026,48•,118•,BLUE,0,0.06666666666666667,11,5,0,2,0,1.0666666666666669,21,10,1,2
8,7676,4730,6705,4112,9260,9522,24•,105•,BLUE,0,0.06666666666666667,7,2,0,2,1,0.9666666666666667,13,10,0,2
9,7451,1771,6905,8815,3329,1002,145•,48•,RED,0,1.2,8,13,4,2,0,0.06666666666666667,12,4,0,2
10,1648,7514,4701,6919,4240,9086,59•,54•,RED,0,2.833333333333333,19,2,0,2,0,0.16666666666666666,5,6,0,2
11,5074,3635,4188,4189,5848,10047,123•,50,RED,0,0.9666666666666667,36,6,0,2,0,1.0333333333333334,9,6,0,1
12,6829,1795,5828,5293,1683,1261,61•,233•,BLUE,0,1.9,19,2,0,2,0,1.2,30,20,4,2
13,7470,7676,5651,3091,5219,9260,24•,62•,BLUE,0,0.03333333333333333,6,1,0,2,0,0.9666666666666667,11,6,0,2
14,9086,3329,7104,1648,5848,4730,49•,35•,RED,0,1.9666666666666668,13,3,0,2,0,1.9666666666666666,11,1,0,2
15,5293,4112,4189,8815,5828,9522,114,61•,RED,0,0.13333333333333333,9,12,1,1,1,1.0,12,3,0,2
16,1771,5651,6705,6919,6829,5074,123•,96•,RED,0,1.0999999999999999,20,8,2,2,0,1.9666666666666668,21,4,1,2
17,7451,3091,1002,10047,7514,1261,65•,103,BLUE,0,0.03333333333333333,11,5,1,2,0,1.0666666666666667,15,7,2,1
18,4701,1683,4240,10218,3635,7470,81•,84•,BLUE,0,1.0,7,8,1,2,0,0.16666666666666666,28,4,0,2
19,2415,4188,5219,1795,6905,4026,99,32,RED,0,0.06666666666666667,17,7,1,1,0,0.1,8,2,0,1
20,6829,10047,9260,1261,4189,5828,58•,125•,BLUE,0,1.9333333333333333,12,4,0,2,0,1.1,18,11,2,2
21,6919,1648,7451,9522,4730,5651,160•,16•,RED,0,1.1333333333333335,23,16,1,2,0,0.06666666666666667,4,1,0,2
22,5219,4112,3329,7470,1795,4188,91•,64,RED,0,0.03333333333333333,16,10,0,2,0,0.03333333333333333,19,3,0,1
23,10218,1771,7676,7514,7104,3091,141•,39•,RED,0,1.1666666666666665,22,12,1,2,0,1.9,13,2,0,2
24,4240,2415,1002,6705,1683,3635,83,116•,BLUE,0,0.1,8,11,1,1,0,0.13333333333333333,23,10,1,2
25,6905,5293,8815,5848,4701,5074,53,31•,RED,0,0.16666666666666666,4,8,0,1,0,2.7333333333333334,5,3,0,2
