Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1261,12,0,0,12,35,2.9166666666666665,1605,4,9,231,121,22,22
2,1771,11,1,0,12,33,2.75,1798,1,17,262,119,30,22
3,4112,9,3,0,12,29,2.4166666666666665,1189,1,1,164,113,9,23
4,1683,10,2,0,12,29,2.4166666666666665,1487,0,8,242,118,19,21
5,3635,9,3,0,12,28,2.3333333333333335,1164,2,5,273,72,5,22
6,7451,8,4,0,12,27,2.25,1311,1,4,193,112,15,23
7,1648,8,4,0,12,26,2.1666666666666665,977,2,12,214,68,4,21
8,5293,10,2,0,12,26,2.1666666666666665,1304,0,4,161,127,17,17
9,4701,7,5,0,12,25,2.0833333333333335,853,2,9,156,72,4,23
10,8815,7,5,0,12,25,2.0833333333333335,863,1,4,158,66,5,23
11,2415,9,3,0,12,25,2.0833333333333335,1070,1,4,130,110,11,19
12,6705,7,5,0,12,25,2.0833333333333335,1007,1,2,179,87,9,23
13,4026,8,4,0,12,25,2.0833333333333335,1204,0,5,219,102,9,21
14,9260,7,5,0,12,23,1.9166666666666667,1046,3,11,160,95,4,21
15,5828,6,6,0,12,23,1.9166666666666667,873,2,10,160,74,4,23
16,10218,7,5,0,12,23,1.9166666666666667,957,1,6,194,81,2,21
17,6829,6,6,0,12,22,1.8333333333333333,1031,4,13,231,47,7,22
18,3091,6,6,0,12,22,1.8333333333333333,826,2,2,160,67,5,22
19,3329,6,6,0,12,21,1.75,938,2,5,173,90,2,20
20,6919,5,7,0,12,21,1.75,1152,0,5,158,115,8,22
21,9086,4,8,0,12,20,1.6666666666666667,798,2,5,131,62,6,24
22,5074,7,5,0,12,20,1.6666666666666667,977,0,11,178,78,7,17
23,7676,5,7,0,12,20,1.6666666666666667,813,0,4,132,80,5,20
24,7514,4,8,0,12,19,1.5833333333333333,700,0,13,159,48,5,23
25,5219,5,7,0,12,19,1.5833333333333333,700,0,2,147,56,2,21
26,4188,5,7,0,12,18,1.5,1027,1,6,230,67,5,20
27,4730,4,8,0,12,18,1.5,611,0,5,117,41,5,22
28,7104,2,10,0,12,17,1.4166666666666667,868,5,11,181,52,5,24
29,9522,5,7,0,12,17,1.4166666666666667,796,2,5,150,62,6,17
30,10047,6,6,0,12,17,1.4166666666666667,827,0,6,145,69,6,15
31,7470,3,9,0,12,17,1.4166666666666667,783,0,2,158,61,6,23
32,5651,3,9,0,12,16,1.3333333333333333,721,3,6,129,49,4,22
33,6905,4,8,0,12,16,1.3333333333333333,736,0,6,108,68,7,20
34,5848,3,9,0,12,15,1.25,697,0,10,132,61,4,20
35,1002,2,10,0,12,15,1.25,668,0,3,108,67,5,23
36,4240,3,9,0,12,14,1.1666666666666667,719,1,6,119,58,5,20
37,4189,3,9,0,12,14,1.1666666666666667,773,0,4,136,76,4,20
38,1795,2,10,0,12,11,0.9166666666666666,671,1,5,151,38,4,19
