#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1771,2974,8100,8736,8849,9057,271,128,RED
2,8080,4188,6712,9500,1648,6705,132,121,RED
3,4509,6340,10142,6925,5109,6023,219,140,RED
4,6919,1414,8866,10117,7538,5900,181,112,RED
5,8736,8849,9057,9500,1648,6705,118,130,BLUE
6,6925,5109,6023,10117,7538,5900,116,114,RED
7,1771,2974,8100,8080,4188,6712,283,156,RED
8,4509,6340,10142,6919,1414,8866,178,165,RED
9,8080,4188,6712,6925,5109,6023,96,152,BLUE
10,6919,1414,8866,9500,1648,6705,185,120,RED
11,1771,2974,8100,4509,6340,10142,286,189,RED
12,6919,1414,8866,6925,5109,6023,214,152,RED
13,4509,6340,10142,6919,1414,8866,191,173,RED
14,1771,2974,8100,4509,6340,10142,288,175,RED
15,1771,2974,8100,4509,6340,10142,278,212,RED
