Team#,Total,Rank,Selection,Elims
832,15,15,0,0
1414,44,17,14,13
1648,27,15,12,0
1771,68,22,16,30
2415,10,10,0,0
2974,67,21,16,30
3344,11,11,0,0
3815,5,5,0,0
4188,23,10,13,0
4240,6,6,0,0
4459,14,14,0,0
4468,4,4,0,0
4509,55,20,15,20
4516,9,9,0,0
5109,28,11,10,7
5848,9,9,0,0
5900,20,14,6,0
6023,27,13,7,7
6340,53,18,15,20
6705,17,12,5,0
6712,18,14,4,0
6887,10,10,0,0
6910,7,7,0,0
6919,46,19,14,13
6925,33,16,10,7
7538,20,9,11,0
8080,31,18,13,0
8100,42,11,1,30
8736,24,15,9,0
8761,6,6,0,0
8849,22,13,9,0
8866,28,12,3,13
9057,20,12,8,0
9086,8,8,0,0
9500,29,17,12,0
9582,8,8,0,0
10002,7,7,0,0
10047,4,4,0,0
10117,27,16,11,0
10142,35,13,2,20
