#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8736,6340,10117,6023,4240,4509,125•,114•,RED,0,0.03333333333333333,22,12,1,2,0,2.033333333333333,13,12,1,2
2,9582,6887,2974,2415,1414,6712,122•,104•,RED,0,0.8666666666666667,8,15,2,2,0,0.1,18,10,0,2
3,4468,6910,8080,9086,3815,4516,62•,48•,RED,0,1.1,12,7,0,2,1,0.9666666666666667,9,2,0,2
4,9500,10047,7538,8866,5109,3344,75,78,BLUE,0,1.9666666666666668,11,10,0,1,0,1.0666666666666667,25,4,0,1
5,832,5848,5900,6925,6705,10002,62•,75,BLUE,0,0.9666666666666667,9,7,0,2,0,1.0,15,6,0,1
6,4188,8761,1648,8100,9057,1771,95•,132•,BLUE,0,0.9666666666666667,31,4,0,2,0,1.0999999999999999,17,10,2,2
7,4459,8849,6340,8080,10142,6919,81,106•,BLUE,0,1.0,21,7,0,1,1,0.23333333333333334,15,9,0,2
8,4240,3344,832,8866,6023,2974,30,123•,BLUE,0,0.03333333333333333,8,2,0,1,0,0.9,14,8,2,2
9,1771,9500,1648,5848,2415,6910,130••,44•,RED,0,3.033333333333333,25,8,1,2,0,0.06666666666666667,4,6,0,2
10,4516,8761,9057,6712,4509,5900,22•,106•,BLUE,0,0.0,5,2,0,2,1,1.0,12,10,0,2
11,6887,8736,4188,7538,6919,8849,90,132•,BLUE,0,0.0,25,8,0,1,1,1.1666666666666667,19,12,0,2
12,10142,4468,3815,4459,6925,5109,51,99,BLUE,0,1.9666666666666668,15,3,0,1,0,1.9666666666666666,25,6,1,1
13,8100,1414,10047,9582,9086,10002,105,32•,RED,0,0.06666666666666667,16,11,1,1,0,0.03333333333333333,5,4,0,2
14,6887,4516,6705,1648,832,10117,38•,79•,BLUE,0,0.0,11,3,0,2,1,1.0,12,7,0,2
15,6910,6023,8736,8080,4188,6925,38•,113•,BLUE,0,0.1,12,2,0,2,0,1.0333333333333334,22,8,1,2
16,10142,2974,6712,9500,6919,9582,102•,111•,BLUE,0,0.9000000000000001,16,6,2,2,0,2.1,13,15,0,2
17,4240,1771,8761,8100,10002,3815,133•,54,RED,1,1.1333333333333333,22,6,2,2,0,1.0,10,6,0,1
18,2415,8849,8866,5109,4509,10117,88•,132•,BLUE,0,1.1333333333333333,9,10,1,2,1,1.0666666666666669,17,12,1,2
19,4459,9086,1414,3344,5900,9057,74•,59•,RED,0,0.9666666666666667,18,6,0,2,0,0.03333333333333333,7,8,0,2
20,10047,6340,6705,7538,4468,5848,111,69•,RED,0,0.03333333333333333,26,11,0,1,0,2.8666666666666667,18,5,0,2
21,6712,832,8080,1771,8849,4509,62•,208•,BLUE,0,0.06666666666666667,17,5,0,2,0,2.133333333333333,27,16,3,2
22,9086,10117,10142,6910,9500,4459,42•,47•,BLUE,0,0.06666666666666667,8,4,0,2,0,1.9666666666666668,5,7,0,2
23,4240,5848,6925,6887,7538,2415,75•,71,RED,0,1.9333333333333333,15,4,1,2,0,1.0333333333333334,14,6,0,1
24,6919,9057,3815,2974,3344,1414,84•,148•,BLUE,0,1.1,8,7,1,2,0,0.9,15,12,3,2
25,8100,8761,9582,4516,6340,4468,32,78•,BLUE,0,0.0,7,4,0,1,0,0.9666666666666667,16,7,0,2
26,10002,10047,8866,1648,8736,5109,46,80•,BLUE,0,0.06666666666666667,10,5,0,1,0,1.0333333333333334,20,6,0,2
27,1771,4188,6023,5900,6705,10142,124•,83•,RED,0,1.1333333333333333,24,10,0,2,0,0.06666666666666667,17,9,0,2
28,3344,2415,4468,3815,6712,6340,50•,94•,BLUE,0,1.0333333333333334,5,6,0,2,0,0.9666666666666667,23,5,1,2
29,6925,832,7538,8761,10047,9086,84•,38,RED,0,1.9333333333333333,18,4,1,2,0,0.03333333333333333,9,3,0,0
30,5109,6887,6910,9057,8736,6705,40•,60•,BLUE,0,0.13333333333333333,9,3,0,2,0,0.0,14,6,0,2
31,1414,4509,8866,4188,4516,4459,132•,45,RED,0,1.0,19,13,1,2,0,0.9333333333333333,12,3,0,1
32,5900,1648,8080,9500,4240,8100,122•,60•,RED,1,1.0666666666666667,26,8,0,2,0,1.0,12,6,0,2
33,10002,2974,6919,9582,8849,6023,154•,60•,RED,0,1.0333333333333334,17,17,3,2,0,0.1,11,8,0,2
34,5848,6712,8736,10117,4459,2415,55•,61,BLUE,0,0.9333333333333333,16,4,0,2,0,1.0333333333333334,5,6,1,0
35,10047,4240,4468,1414,8080,8761,50,127•,BLUE,0,1.0333333333333334,8,6,0,1,0,0.1,25,11,1,2
36,9500,4188,2974,6887,10002,4509,174•,91•,RED,0,1.8333333333333335,21,14,3,2,0,1.0,14,8,1,2
37,9582,7538,9057,3815,8866,5848,61•,47•,RED,0,0.9666666666666667,15,6,0,2,0,1.9,9,5,0,2
38,6910,10117,8849,6705,8100,832,48•,60•,BLUE,0,0.16666666666666669,6,7,0,2,0,0.0,12,8,0,2
39,6925,3344,4516,5109,10142,1771,62•,161•,BLUE,0,0.9666666666666667,12,5,0,2,1,1.2,26,11,2,2
40,6919,5900,9086,1648,6023,6340,95•,104•,BLUE,0,0.16666666666666666,14,8,1,2,0,1.0,25,7,1,2
41,8080,7538,3815,6712,8866,4188,60,86•,BLUE,0,2.0,13,5,0,1,0,0.0,26,5,0,2
42,5848,8100,5109,1414,10142,8849,66•,111•,BLUE,0,1.0,17,6,0,2,0,0.13333333333333333,25,8,1,2
43,10002,4459,1648,6340,6887,9086,47,83•,BLUE,0,1.9333333333333333,9,5,0,1,0,0.0,12,9,1,2
44,4509,6925,9582,3344,6910,6705,99•,32•,RED,0,1.9333333333333333,16,7,1,2,0,0.06666666666666667,6,4,0,2
