Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1771,12,0,0,12,36,3.0,1938,3,19,267,140,28,23
2,2974,11,1,0,12,32,2.6666666666666665,1718,0,7,170,163,30,22
3,4509,9,3,0,12,30,2.5,1484,3,14,193,145,13,24
4,6919,10,2,0,12,30,2.5,1360,2,9,189,132,12,22
5,6340,10,2,0,12,30,2.5,1374,0,5,259,112,14,22
6,8080,9,3,0,12,29,2.4166666666666665,1093,2,8,195,100,4,23
7,1414,9,3,0,12,27,2.25,1392,0,2,242,114,16,21
8,9500,7,5,0,12,26,2.1666666666666665,1170,0,14,170,128,7,23
9,10117,7,5,0,12,25,2.0833333333333335,984,2,7,141,97,8,22
10,6925,8,4,0,12,25,2.0833333333333335,1081,0,12,188,79,9,20
11,1648,8,4,0,12,24,2.0,1164,2,14,242,93,6,19
12,8736,7,5,0,12,24,2.0,1000,0,4,205,98,3,22
13,832,6,6,0,12,23,1.9166666666666667,991,3,6,162,90,7,23
14,5900,5,7,0,12,22,1.8333333333333333,1018,2,5,164,99,4,24
15,6712,5,7,0,12,22,1.8333333333333333,906,2,4,198,64,4,24
16,4459,8,4,0,12,22,1.8333333333333333,906,0,11,156,83,7,17
17,10142,5,6,1,12,21,1.75,1003,3,5,179,83,7,22
18,8849,5,7,0,12,21,1.75,1049,1,7,189,98,5,23
19,6023,5,7,0,12,21,1.75,936,0,6,193,74,6,23
20,8866,5,6,1,12,21,1.75,947,0,5,184,82,5,22
21,9057,6,6,0,12,21,1.75,956,0,5,148,90,7,20
22,6705,7,5,0,12,21,1.75,793,0,3,169,84,0,19
23,5109,6,6,0,12,20,1.6666666666666667,1001,2,7,218,76,5,20
24,8100,6,6,0,12,20,1.6666666666666667,962,0,7,147,103,6,20
25,3344,5,7,0,12,20,1.6666666666666667,772,0,5,126,73,5,22
26,4188,6,6,0,12,20,1.6666666666666667,1163,0,4,258,91,5,20
27,2415,6,6,0,12,19,1.5833333333333333,981,0,9,122,113,5,17
28,6887,4,7,1,12,19,1.5833333333333333,788,0,3,138,75,5,22
29,5848,3,9,0,12,18,1.5,710,0,8,137,66,3,24
30,7538,5,7,0,12,17,1.4166666666666667,985,2,13,204,76,6,19
31,4516,3,9,0,12,17,1.4166666666666667,627,1,1,139,48,2,23
32,9086,3,8,1,12,17,1.4166666666666667,638,1,0,128,53,2,21
33,9582,4,8,0,12,17,1.4166666666666667,766,0,5,137,81,3,21
34,6910,2,9,1,12,17,1.4166666666666667,578,0,4,105,62,1,24
35,10002,4,8,0,12,15,1.25,945,1,8,159,82,9,19
36,4240,3,8,1,12,15,1.25,741,1,6,145,61,4,20
37,8761,3,9,0,12,15,1.25,902,1,2,162,76,8,20
38,3815,3,9,0,12,14,1.1666666666666667,767,2,11,158,58,3,20
39,4468,3,9,0,12,14,1.1666666666666667,729,0,11,141,72,1,20
40,10047,4,8,0,12,14,1.1666666666666667,894,0,6,157,89,4,17
