#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,368,359,3008,7645,3880,2441,273,152,RED
2,4270,7632,8595,2438,8806,6704,158,193,BLUE
3,6947,3882,7636,3881,7709,8169,161,103,RED
4,2465,8725,2443,8569,2853,10077,256,87,RED
5,7645,3880,2441,4270,7632,8595,118,190,BLUE
6,3881,7709,8169,8569,2853,10077,133,83,RED
7,368,359,3008,2438,8806,6704,275,208,RED
8,6947,3882,7636,2465,8725,2443,185,202,BLUE
9,2438,8806,6704,3881,7709,8169,191,131,RED
10,6947,3882,7636,4270,7632,8595,210,193,RED
11,368,359,3008,2465,8725,2443,294,218,RED
12,6947,3882,7636,2438,8806,6704,148,186,BLUE
13,2465,8725,2443,2438,8806,6704,235,141,RED
14,368,359,3008,2465,8725,2443,284,251,RED
15,368,359,3008,2465,8725,2443,278,246,RED
