Team#,Total,Rank,Selection,Elims
359,66,20,16,30
368,68,22,16,30
1056,6,6,0,0
2090,14,14,0,0
2348,7,7,0,0
2438,43,18,12,13
2441,25,17,8,0
2443,38,15,3,20
2445,14,14,0,0
2465,54,20,14,20
2477,9,9,0,0
2853,25,14,11,0
2896,6,6,0,0
3008,47,16,1,30
3721,16,16,0,0
3880,20,11,9,0
3881,28,18,10,0
3882,41,19,15,7
4253,14,14,0,0
4270,32,19,13,0
6083,4,4,0,0
6191,10,10,0,0
6704,28,10,5,13
6909,8,8,0,0
6947,43,21,15,7
6998,14,14,0,0
7130,13,13,0,0
7497,9,9,0,0
7551,13,13,0,0
7589,4,4,0,0
7632,28,15,13,0
7636,21,12,2,7
7645,26,17,9,0
7673,9,9,0,0
7709,26,16,10,0
7724,12,12,0,0
8169,20,13,7,0
8503,12,12,0,0
8569,29,18,11,0
8584,5,5,0,0
8595,15,11,4,0
8615,4,4,0,0
8725,50,16,14,20
8790,13,13,0,0
8805,8,8,0,0
8806,42,17,12,13
8853,7,7,0,0
8871,7,7,0,0
9012,6,6,0,0
9019,8,8,0,0
9126,5,5,0,0
9427,11,11,0,0
9494,13,13,0,0
9498,11,11,0,0
9501,15,15,0,0
9564,15,15,0,0
9629,8,8,0,0
9645,10,10,0,0
10006,10,10,0,0
10075,9,9,0,0
10077,18,12,6,0
10169,12,12,0,0
10202,10,10,0,0
10205,11,11,0,0
