#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,6947,4253,8595,3721,8169,8805,108•,83•,RED,0,1.9666666666666668,16,12,0,2,0,2.0,22,5,0,2
2,9019,6083,2477,359,9645,3881,59•,159•,BLUE,0,1.9,18,3,0,2,0,3.0999999999999996,16,14,3,2
3,10169,10202,9012,8569,6191,8871,36•,50•,BLUE,0,0.13333333333333333,7,3,0,2,0,1.3,13,4,0,2
4,8725,9629,9564,2443,2348,8584,60•,62,BLUE,0,1.0,18,2,0,2,0,0.16666666666666666,14,3,1,1
5,7551,7709,7673,9494,3880,7589,73,54•,RED,0,0.1,15,7,0,1,0,0.3,16,3,0,2
6,2465,2441,8790,9427,6704,9498,91•,66•,RED,0,1.1,16,7,1,2,0,1.0,18,5,0,2
7,2090,2438,10077,2853,10075,6909,92•,50•,RED,0,0.16666666666666666,17,7,1,2,0,0.13333333333333333,7,6,0,2
8,8806,7724,8853,10006,10205,9126,74•,46,RED,0,1.7000000000000002,20,1,1,2,0,0.16666666666666669,9,3,0,1
9,1056,8615,3008,7645,6998,8503,54•,67,BLUE,0,1.0666666666666667,9,6,0,2,0,1.9333333333333333,9,9,0,1
10,7636,3882,7130,7632,2445,7497,84•,77•,RED,0,0.13333333333333333,29,4,0,2,0,2.9,17,7,0,2
11,9501,4270,8805,2896,368,3881,71•,138•,BLUE,0,2.9000000000000004,10,9,0,2,0,1.4000000000000001,17,13,2,2
12,6909,7709,9645,10202,2465,2443,56,155•,BLUE,0,1.0,10,6,0,1,0,0.2,29,10,2,2
13,8595,10205,8584,8725,7589,2441,54,86•,BLUE,0,1.0,14,4,0,1,0,1.1,28,5,0,2
14,9019,10169,359,8615,8169,9629,130•,52•,RED,1,1.1333333333333333,12,5,3,2,0,0.1,19,2,0,2
15,2853,6704,9126,7130,3008,2445,96,99••,BLUE,0,2.1,13,14,0,1,1,3.033333333333333,27,3,0,2
16,7645,3880,4253,7632,10075,2896,106•,97•,RED,0,2.1,16,14,0,2,0,1.0333333333333334,16,13,0,2
17,6947,2438,7497,8871,7724,9494,119•,56•,RED,0,1.1333333333333333,29,9,0,2,1,-0.06666666666666667,7,4,0,2
18,9564,3721,8503,9498,10077,7636,85•,66,RED,0,0.1,9,13,0,2,0,0.03333333333333333,17,6,0,0
19,4270,368,10006,6191,6998,7551,140•,58•,RED,0,2.4,16,14,1,2,0,2.0,13,6,0,2
20,8569,9427,9012,7673,3882,9501,48•,104•,BLUE,0,0.23333333333333334,15,3,0,2,0,1.1333333333333333,22,10,0,2
21,6083,8790,8806,2090,2348,8853,99•,37,RED,0,0.9666666666666667,23,6,1,2,0,0.9000000000000002,13,2,0,1
22,2477,3881,7632,1056,8871,2438,108•,95•,RED,0,1.9666666666666668,21,11,0,2,1,0.2,13,7,1,2
23,8503,6909,2465,7130,8805,9629,102•,61•,RED,1,0.1,10,9,1,2,1,1.0666666666666667,9,5,0,2
24,7636,9494,2443,6998,9126,2441,79•,68•,RED,0,0.13333333333333333,18,3,1,2,0,1.0333333333333334,15,7,0,2
25,9019,8569,8169,7709,7645,368,56•,138•,BLUE,0,1.1333333333333333,21,1,0,2,1,3.3,23,10,1,2
