Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,368,9,0,0,9,27,3.0,1269,4,18,183,105,13,18
2,6947,8,1,0,9,25,2.7777777777777777,1023,1,6,248,61,6,18
3,2465,8,1,0,9,24,2.6666666666666665,1074,3,4,178,85,11,17
4,359,9,0,0,9,24,2.6666666666666665,1289,2,16,138,115,22,15
5,3882,8,1,0,9,24,2.6666666666666665,1039,2,5,252,64,7,17
6,4270,8,1,0,9,24,2.6666666666666665,873,1,13,139,88,2,17
7,2438,7,2,0,9,23,2.5555555555555554,976,3,7,157,89,7,18
8,8569,7,2,0,9,23,2.5555555555555554,684,2,8,183,44,0,18
9,3881,7,2,0,9,23,2.5555555555555554,842,0,8,148,81,5,18
10,7645,7,2,0,9,22,2.4444444444444446,882,3,12,141,89,4,17
11,8806,7,2,0,9,22,2.4444444444444446,860,3,3,230,37,5,17
12,2441,7,2,0,9,22,2.4444444444444446,794,1,8,176,61,4,16
13,8725,7,2,0,9,22,2.4444444444444446,947,0,12,259,55,4,17
14,3008,6,3,0,9,21,2.3333333333333335,722,3,11,184,43,0,17
15,7709,7,2,0,9,21,2.3333333333333335,893,3,6,175,76,4,16
16,3721,6,3,0,9,21,2.3333333333333335,822,1,8,136,81,3,18
17,2443,7,2,0,9,21,2.3333333333333335,886,1,5,158,67,8,16
18,7632,6,3,0,9,21,2.3333333333333335,919,0,11,173,98,1,18
19,9501,6,3,0,9,19,2.111111111111111,782,1,12,140,76,2,16
20,9564,6,3,0,9,19,2.111111111111111,713,0,8,128,72,2,16
21,2853,5,4,0,9,18,2.0,742,1,10,103,85,3,17
22,6998,5,4,0,9,18,2.0,747,0,11,138,77,2,17
23,2090,5,4,0,9,18,2.0,692,0,4,170,45,3,17
24,2445,4,5,0,9,17,1.8888888888888888,690,4,13,141,52,0,17
25,4253,4,4,1,9,17,1.8888888888888888,713,1,10,97,88,0,17
26,8169,4,5,0,9,17,1.8888888888888888,743,1,7,227,34,0,18
27,7551,4,5,0,9,16,1.7777777777777777,610,3,9,105,63,0,17
28,7130,4,5,0,9,16,1.7777777777777777,586,3,6,147,36,1,15
29,8790,4,5,0,9,16,1.7777777777777777,682,3,5,110,61,4,17
30,9494,3,5,1,9,16,1.7777777777777777,571,3,3,121,41,1,18
31,7636,5,4,0,9,16,1.7777777777777777,710,2,3,166,55,1,14
32,10077,5,4,0,9,16,1.7777777777777777,761,2,2,177,52,4,14
33,10169,4,5,0,9,16,1.7777777777777777,669,1,6,138,49,4,17
34,7724,3,6,0,9,15,1.6666666666666667,593,3,6,108,47,3,18
35,8503,4,5,0,9,15,1.6666666666666667,709,3,5,81,88,1,16
36,8595,4,5,0,9,15,1.6666666666666667,724,2,9,158,64,0,16
37,10205,4,5,0,9,15,1.6666666666666667,668,2,6,111,65,2,16
38,9498,4,5,0,9,15,1.6666666666666667,667,2,5,157,54,0,15
39,3880,4,5,0,9,15,1.6666666666666667,779,1,11,171,64,2,16
40,9427,3,6,0,9,14,1.5555555555555556,719,3,7,154,52,3,17
41,6704,4,5,0,9,14,1.5555555555555556,748,2,10,162,64,1,15
42,10202,3,6,0,9,14,1.5555555555555556,706,2,1,158,48,3,17
43,6191,4,5,0,9,14,1.5555555555555556,456,1,7,98,40,1,15
44,10006,3,6,0,9,14,1.5555555555555556,593,0,4,121,47,2,17
45,9645,3,6,0,9,13,1.4444444444444444,706,3,10,147,46,5,16
46,7497,3,6,0,9,13,1.4444444444444444,654,1,7,165,46,0,16
47,10075,3,6,0,9,13,1.4444444444444444,592,1,5,127,52,1,16
48,2477,3,5,1,9,13,1.4444444444444444,660,0,9,143,55,2,14
49,7673,4,5,0,9,13,1.4444444444444444,727,0,6,134,66,3,14
50,9629,2,7,0,9,12,1.3333333333333333,605,3,8,124,43,2,17
51,8805,3,6,0,9,12,1.3333333333333333,591,2,10,132,48,0,15
52,9019,2,7,0,9,12,1.3333333333333333,516,2,4,107,33,3,17
53,6909,3,6,0,9,12,1.3333333333333333,634,1,7,110,52,5,15
54,8871,2,7,0,9,11,1.2222222222222223,635,4,9,100,53,3,16
55,8853,3,6,0,9,11,1.2222222222222223,514,2,10,133,24,1,14
56,2348,2,6,1,9,11,1.2222222222222223,459,1,6,106,39,1,15
57,1056,3,6,0,9,11,1.2222222222222223,700,1,5,117,72,3,14
58,9012,1,8,0,9,11,1.2222222222222223,570,1,5,114,42,4,18
59,2896,1,8,0,9,11,1.2222222222222223,633,0,4,125,58,3,18
60,9126,2,6,1,9,10,1.1111111111111112,688,1,6,125,72,1,13
61,8584,3,5,1,9,10,1.1111111111111112,631,1,4,147,42,3,10
62,7589,1,8,0,9,9,1.0,501,1,3,132,36,0,16
63,6083,2,7,0,9,8,0.8888888888888888,618,0,7,155,43,1,13
64,8615,0,9,0,9,6,0.6666666666666666,407,1,5,99,33,0,15
