#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2830,1736,8122,1792,2704,16,241,210,RED
2,876,144,3277,5934,111,325,150,253,BLUE
3,6421,3061,4655,1625,1781,112,207,211,BLUE
4,8096,5847,171,5822,4011,2338,160,190,BLUE
5,1792,2704,16,876,144,3277,227,207,RED
6,6421,3061,4655,8096,5847,171,207,161,RED
7,2830,1736,8122,5934,111,325,232,218,RED
8,1625,1781,112,5822,4011,2338,179,208,BLUE
9,5934,111,325,6421,3061,4655,275,210,RED
10,1625,1781,112,1792,2704,16,232,204,RED
11,2830,1736,8122,5822,4011,2338,227,232,BLUE
12,1625,1781,112,5934,111,325,220,247,BLUE
13,2830,1736,8122,5934,111,325,209,262,BLUE
14,5822,4011,2338,5934,111,325,232,276,BLUE
15,5822,4011,2338,5934,111,325,144,277,BLUE
