Team#,Total,Rank,Selection,Elims
16,22,14,8,0
111,58,16,12,30
112,27,13,7,7
144,27,14,13,0
171,19,16,3,0
325,46,11,5,30
876,32,19,13,0
1625,35,18,10,7
1736,45,16,16,13
1739,8,8,0,0
1781,34,17,10,7
1792,26,17,9,0
2022,15,15,0,0
2039,16,16,0,0
2040,10,10,0,0
2151,6,6,0,0
2338,41,15,6,20
2358,8,8,0,0
2704,22,13,9,0
2725,6,6,0,0
2830,51,22,16,13
3023,15,15,0,0
3061,28,13,15,0
3067,10,10,0,0
3110,8,8,0,0
3277,15,11,4,0
3352,8,8,0,0
3488,12,12,0,0
3695,5,5,0,0
3734,9,9,0,0
4011,44,13,11,20
4021,9,9,0,0
4096,9,9,0,0
4645,10,10,0,0
4655,13,11,2,0
4702,11,11,0,0
4787,14,14,0,0
5125,4,4,0,0
5442,12,12,0,0
5822,49,18,11,20
5847,32,18,14,0
5934,61,19,12,30
6421,36,21,15,0
6651,12,12,0,0
7237,7,7,0,0
7560,7,7,0,0
8029,5,5,0,0
8096,34,20,14,0
8122,28,14,1,13
8880,10,10,0,0
9082,12,12,0,0
9654,12,12,0,0
9669,6,6,0,0
10118,4,4,0,0
