#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7237,2358,5847,8029,2151,10118,127•,62,RED,0,1.1333333333333335,15,16,1,2,0,0.1,14,6,0,0
2,16,9669,171,1625,3488,2830,128•,151•,BLUE,0,1.1,13,15,1,2,0,0.2,20,16,2,2
3,3067,325,6421,4011,2725,3061,126•,121•,RED,0,1.9666666666666666,19,12,1,2,0,1.8666666666666667,23,10,1,2
4,1792,112,111,3352,3110,1739,148,53•,RED,0,2.033333333333333,14,20,1,1,0,2.7,9,6,0,2
5,8880,2338,2704,1781,8122,7560,156•,146•,RED,1,2.1333333333333333,9,19,1,2,0,0.8333333333333333,17,17,1,2
6,5125,2022,3695,1736,2039,9654,67,110•,BLUE,0,0.9666666666666667,12,9,0,1,0,1.0666666666666667,28,6,1,2
7,5442,9082,3023,3734,8096,5934,100•,162•,BLUE,1,0.1,7,13,0,2,1,2.1666666666666665,18,12,2,2
8,5822,4645,4702,4655,2040,4021,93•,65•,RED,0,1.0,10,11,1,2,0,1.9000000000000001,10,8,0,2
9,3277,4787,876,6651,4096,144,124•,119•,RED,1,1.2333333333333334,29,4,1,2,0,1.0666666666666667,21,11,1,2
10,3061,1625,7560,16,2151,2725,120•,95•,RED,0,1.8,16,11,1,2,0,1.0333333333333334,15,8,0,2
11,3695,1739,2358,2022,3110,3067,57•,69•,BLUE,0,0.9333333333333333,13,5,0,2,0,1.9,9,10,0,2
12,3488,5442,9669,2338,1736,4011,76•,155•,BLUE,0,0.23333333333333334,10,11,0,2,0,2.9,25,13,2,2
13,4021,2039,4645,2830,10118,8096,50•,135•,BLUE,0,0.06666666666666667,11,5,0,2,0,1.5,16,13,2,2
14,5847,9654,3023,325,3277,1792,138•,108•,RED,0,1.166666666666667,14,16,1,2,0,2.2,19,9,0,2
15,5934,1781,2040,4702,111,4096,148•,111•,RED,0,1.7333333333333336,15,14,2,2,0,1.9666666666666668,16,8,2,2
16,3734,2704,5125,6651,112,8880,77,78•,BLUE,0,1.9,7,11,0,1,0,0.16666666666666666,23,6,0,2
17,171,8122,5822,4787,8029,3352,162•,49•,RED,0,0.13333333333333333,22,17,2,2,0,1.8,11,3,0,2
18,7237,9082,4655,876,6421,144,85•,170•,BLUE,1,2.0,7,10,0,2,1,0.13333333333333333,20,13,2,2
19,16,7560,1739,2039,5847,2338,80•,152•,BLUE,0,2.7666666666666666,11,8,0,2,0,1.0666666666666667,21,12,2,2
20,4011,111,3277,4021,2358,1625,160•,87,RED,0,1.3333333333333333,26,14,2,2,0,0.0,12,9,1,1
21,6651,3488,3061,1781,8880,9654,143,97•,RED,0,0.9666666666666667,25,17,0,1,0,1.1333333333333335,13,11,1,2
22,3067,2830,4787,325,4702,3734,155•,115•,RED,1,2.033333333333333,20,13,1,2,1,1.8666666666666667,15,10,1,2
23,1792,171,1736,5934,4655,8029,127•,122•,RED,0,1.9333333333333333,23,11,1,2,0,2.7,15,10,2,2
24,8096,6421,2022,2151,3352,5125,114•,47•,RED,0,0.39999999999999997,12,14,1,2,0,1.8333333333333335,10,5,0,2
25,5442,3110,4645,9082,3695,5822,65•,95•,BLUE,1,1.0333333333333334,3,8,0,2,0,0.13333333333333333,10,15,0,2
26,10118,2725,144,4096,3023,2040,52•,79•,BLUE,0,0.13333333333333333,11,5,0,2,0,1.0333333333333334,13,8,0,2
27,8122,2704,112,9669,876,7237,135•,119•,RED,0,1.9666666666666668,20,13,1,2,1,0.23333333333333334,10,13,1,2
28,3734,4655,111,7560,2830,2039,140•,112•,RED,0,2.966666666666667,10,19,2,2,0,1.1,16,8,1,2
29,8880,2022,8029,171,4011,5934,76•,147•,BLUE,0,0.16666666666666666,17,9,0,2,1,1.8333333333333335,17,11,1,2
30,3110,4787,3488,5125,4021,1792,58•,65•,BLUE,0,2.0,7,7,0,2,0,1.9,9,9,0,2
31,4645,144,1625,1736,1781,5847,119•,175•,BLUE,1,0.1,12,12,1,2,1,1.8333333333333335,26,14,1,2
32,2704,7237,10118,3277,8096,112,111•,132•,BLUE,0,1.1,7,16,1,2,0,1.5666666666666667,27,10,0,2
33,9654,876,2151,5442,2725,5822,85•,105•,BLUE,0,0.16666666666666666,14,7,1,2,0,0.13333333333333333,12,12,1,2
34,2358,3061,3023,3352,2040,2338,135•,83•,RED,0,-0.1,23,13,1,2,0,1.8666666666666667,11,9,0,2
35,3067,1739,4096,9669,9082,6421,69•,96•,BLUE,0,1.8,10,9,0,2,1,0.23333333333333334,12,9,0,2
36,325,6651,3695,8122,16,4702,122•,147•,BLUE,0,1.0333333333333334,19,12,1,2,1,0.8666666666666667,13,11,2,2
37,1792,2039,1625,4645,7237,4787,138•,44•,RED,0,1.0,21,15,1,2,0,1.1,7,5,0,2
38,9654,5442,8096,4655,10118,171,97•,87,RED,0,2.466666666666667,13,9,1,2,0,2.9333333333333336,11,12,0,1
39,4011,3352,4021,876,7560,2338,75•,165•,BLUE,0,1.8,11,10,0,2,1,1.9333333333333333,13,14,2,2
40,2725,1781,3277,9082,3110,5125,88,53•,RED,0,1.1666666666666667,24,6,0,1,0,1.9333333333333333,7,8,0,2
41,112,5847,3061,6651,5822,1736,156•,167•,BLUE,0,1.8666666666666667,13,17,2,2,0,1.0333333333333334,35,11,1,2
42,2358,2830,325,4096,3695,8880,126•,78•,RED,0,1.1,9,14,2,2,0,1.1666666666666667,19,7,0,2
43,6421,5934,2704,16,3067,2040,188•,115•,RED,0,0.8666666666666667,13,20,4,2,0,1.9000000000000001,12,15,0,2
44,144,8029,8122,1739,3734,2022,121•,63,RED,0,0.1,21,10,1,2,0,-0.09999999999999999,12,8,0,1
45,2151,4702,9669,3488,111,3023,48•,128•,BLUE,0,2.1,8,5,0,2,0,0.19999999999999998,18,12,1,2
46,5125,10118,7560,2338,1792,4645,37,76•,BLUE,0,1.9,8,3,0,1,0,2.0,8,9,1,2
47,112,4011,4096,1781,8096,2039,100•,120•,BLUE,0,1.9,20,10,0,2,0,1.2333333333333334,17,11,1,2
48,4655,6651,5847,3695,2725,5934,119•,101•,RED,0,1.9333333333333336,22,10,0,2,0,0.9,14,10,1,2
49,5442,8880,3067,4787,1625,8122,72•,136•,BLUE,0,1.1333333333333333,10,10,0,2,0,1.0,16,16,1,2
50,3023,5822,2151,1739,2704,2830,136•,151•,BLUE,1,0.16666666666666669,13,15,1,2,0,1.0,10,18,2,2
51,144,16,3110,1736,6421,2358,122•,120•,RED,0,1.9666666666666668,17,13,1,2,0,1.0,31,8,0,2
52,9082,2022,111,4021,325,3488,124,119•,RED,0,0.13333333333333333,12,18,1,1,0,1.0333333333333334,15,13,1,2
53,2040,9654,7237,876,171,3734,58•,97•,BLUE,0,1.2333333333333334,10,7,0,2,0,0.03333333333333333,13,11,1,2
54,4702,8029,3277,3352,3061,9669,68•,113,BLUE,0,0.16666666666666669,23,3,0,2,0,2.8333333333333335,16,8,1,1
55,4645,5934,3067,112,5822,2830,126•,179•,BLUE,0,1.8,17,11,2,2,0,3.1666666666666665,16,21,2,2
56,5847,144,1792,2039,5442,2704,136•,116•,RED,0,1.0666666666666667,13,17,1,2,1,2.033333333333333,6,13,1,2
57,4021,1736,111,8122,5125,2358,164•,82•,RED,0,1.0333333333333334,18,14,3,2,0,-0.03333333333333333,11,9,1,2
58,4787,16,9082,10118,9654,4011,127•,68•,RED,1,1.9333333333333333,16,13,1,2,0,1.1,11,8,0,2
59,2725,8880,7560,2022,7237,4702,46•,56•,BLUE,0,1.1333333333333333,13,3,0,2,0,1.0,9,7,0,2
60,3488,3352,1781,3023,4655,325,141•,144•,BLUE,0,1.7666666666666666,23,12,1,2,1,2.8666666666666663,14,12,1,2
61,9669,3734,3110,2151,4096,171,52•,72,BLUE,0,1.1,8,7,0,2,0,1.0666666666666669,14,8,0,1
62,8096,876,1625,3695,8029,3061,160•,144•,RED,0,0.3333333333333333,17,16,2,2,0,0.9,23,14,1,2
63,1739,2338,6421,2040,3277,6651,129•,83•,RED,0,1.9666666666666666,16,12,2,2,0,0.3333333333333333,20,6,0,2
64,4702,5125,112,4011,144,5442,77•,141•,BLUE,0,2.8,12,10,0,2,1,1.0666666666666669,20,12,1,2
65,3488,1736,4645,7237,3067,3352,137•,63•,RED,1,1.0333333333333334,26,10,1,2,0,1.8666666666666667,10,8,0,2
66,2039,325,2725,2358,171,2704,107•,111•,BLUE,0,3.033333333333333,16,8,1,2,0,1.0,12,15,0,2
67,10118,8122,9082,3061,2151,2830,96•,141•,BLUE,1,0.1,9,11,0,2,0,1.0666666666666667,17,13,1,2
68,4096,2338,3734,5847,1625,2022,106•,135•,BLUE,0,1.9666666666666668,14,10,1,2,0,0.03333333333333333,14,16,2,2
69,1739,3277,4655,5934,4021,8880,83•,117•,BLUE,1,3.033333333333333,15,5,0,2,1,1.0,11,9,2,2
70,3023,1781,4787,6421,7560,3695,124•,108•,RED,1,1.8666666666666667,12,13,0,2,1,1.0333333333333334,18,7,1,2
71,2040,1792,876,3110,8096,6651,135•,91•,RED,1,1.0,19,11,0,2,0,1.3333333333333335,16,7,0,2
72,9654,5822,16,111,9669,8029,139•,104•,RED,0,1.1,11,17,2,2,0,0.23333333333333334,12,12,1,2
73,171,3061,325,2151,2358,144,156•,109•,RED,0,1.8666666666666667,18,13,2,2,0,0.13333333333333333,17,10,1,2
74,3734,3352,1736,2725,4021,1739,101•,39•,RED,0,1.7666666666666666,22,9,0,2,0,0.9333333333333333,8,4,0,2
75,5934,3488,4096,2704,4645,3695,120•,82•,RED,0,1.8666666666666667,16,14,1,2,0,1.0333333333333334,9,10,0,2
