#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,868,3147,10024,3176,71,7657,212,131,RED
2,3494,5484,2960,7457,74,234,214,217,BLUE
3,226,292,4580,7617,5188,1720,173,158,RED
4,7454,8103,2171,6498,1024,4926,133,217,BLUE
5,3176,71,7657,3494,5484,2960,140,216,BLUE
6,7617,5188,1720,7454,8103,2171,152,141,RED
7,868,3147,10024,7457,74,234,146,233,BLUE
8,226,292,4580,6498,1024,4926,168,222,BLUE
9,868,3147,10024,7617,5188,1720,165,156,RED
10,226,292,4580,3494,5484,2960,185,155,RED
11,7457,74,234,6498,1024,4926,166,185,BLUE
12,226,292,4580,868,3147,10024,197,194,RED
13,7457,74,234,226,292,4580,215,161,RED
14,6498,1024,4926,7457,74,234,214,245,BLUE
15,6498,1024,4926,7457,74,234,197,205,BLUE
