#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8430,7617,3147,2171,3176,292,138•,145•,BLUE,0,1.9,18,17,0,2,0,1.9,24,11,2,2
2,5188,4580,6498,9491,10024,4926,128•,97•,RED,0,1.1333333333333333,17,13,1,2,0,0.23333333333333334,19,8,1,2
3,1024,234,71,9453,1555,6956,107•,41,RED,0,1.0,28,6,0,2,0,1.9333333333333333,13,1,0,1
4,226,10073,7657,74,5484,2960,101,122•,BLUE,0,1.1,19,7,1,1,0,3.6999999999999997,24,8,1,2
5,7457,8103,4485,3559,8564,447,143•,64•,RED,0,2.166666666666667,28,10,1,2,0,1.0,16,6,0,2
6,3494,3890,7454,1720,10076,868,129•,129•,TIE,0,1.2666666666666666,7,18,2,2,1,0.19999999999999998,22,10,1,2
7,10024,9453,3147,7617,8116,1024,73•,107•,BLUE,0,1.9333333333333336,21,4,0,2,1,0.1,11,12,0,2
8,6498,4926,71,7657,4485,8564,135•,69•,RED,0,1.9,21,11,1,2,0,1.9,16,6,0,2
9,3890,234,9491,2171,3559,868,56•,110•,BLUE,0,1.1666666666666667,10,6,0,2,0,2.1,12,13,1,2
10,447,8430,3176,10073,4580,7454,90•,105•,BLUE,0,1.9333333333333333,9,9,1,2,0,1.2666666666666666,18,9,1,2
11,292,1720,5484,2960,7457,8116,142,145•,BLUE,0,0.8,32,8,1,1,1,3.0999999999999996,13,16,1,2
12,10076,5188,3494,1555,8103,226,124•,129•,BLUE,1,1.3,13,12,1,2,0,1.1,31,8,1,2
13,6956,1024,3559,4580,74,4926,109•,113•,BLUE,0,1.0333333333333334,29,9,0,2,0,2.1999999999999997,27,6,1,2
14,3176,10024,7457,234,1720,6498,131•,119•,RED,0,2.1333333333333333,18,12,2,2,1,0.9666666666666667,12,13,0,2
15,8430,8116,2171,8103,5188,71,67•,123•,BLUE,0,0.9666666666666667,14,8,0,2,0,1.0333333333333332,38,7,0,2
16,74,868,7454,226,2960,4485,214•,113•,RED,1,2.1333333333333333,27,18,2,2,1,3.933333333333333,14,11,0,2
17,10073,9491,9453,3494,292,1555,52•,151•,BLUE,0,1.1666666666666667,10,5,0,2,0,3.1999999999999997,24,14,1,2
18,447,7617,3890,3147,5484,8564,61•,135,BLUE,0,0.06666666666666667,12,7,0,2,0,0.7000000000000001,30,11,0,1
19,8103,10076,6956,6498,868,7657,88•,145•,BLUE,0,0.16666666666666666,32,3,0,2,0,2.0666666666666664,24,11,1,2
20,1555,4485,234,10073,4926,292,85•,112•,BLUE,0,1.9,17,8,0,2,0,0.1,22,6,2,2
21,8564,2960,1024,5484,71,3176,111•,159,BLUE,0,1.9666666666666666,25,11,0,2,0,2.666666666666667,34,11,2,1
22,4580,447,8116,7454,7457,7657,76•,149•,BLUE,0,0.26666666666666666,23,6,0,2,0,2.0999999999999996,20,16,2,2
23,3494,10024,2171,3890,8430,6956,77•,76•,RED,0,2.3,11,8,0,2,0,1.0,14,8,0,2
24,74,9453,226,3147,9491,1720,131•,109•,RED,0,2.0,29,10,1,2,0,1.0333333333333334,20,11,0,2
25,3559,10076,234,7617,5188,2960,75•,98•,BLUE,1,1.0333333333333334,13,5,0,2,0,1.9666666666666666,14,11,0,2
26,447,4926,4485,3494,8430,5484,83•,130•,BLUE,0,2.0,19,4,1,2,0,3.033333333333333,11,17,1,2
27,3890,1720,10073,7454,3147,6956,52,112•,BLUE,0,0.06666666666666667,11,6,0,1,0,0.9333333333333333,29,6,1,2
28,5188,2171,1555,10024,74,6498,78•,136•,BLUE,0,1.9,17,7,0,2,0,1.9666666666666668,22,14,1,2
29,1024,226,9491,7617,3176,10076,139•,92•,RED,0,1.2333333333333334,27,13,1,2,0,1.0,11,13,0,2
30,8103,868,8564,9453,3559,4580,122•,38,RED,0,0.26666666666666666,23,12,0,2,0,2.1333333333333333,6,4,0,1
31,7457,292,3147,8116,71,7657,220•,61,RED,1,2.033333333333333,25,20,2,2,0,1.9333333333333333,16,4,0,1
32,1720,7454,5188,234,10073,7617,144•,99•,RED,0,0.0,21,14,1,2,0,0.13333333333333333,17,13,0,2
33,3176,3494,4926,74,8103,1024,188•,151•,RED,1,2.2333333333333334,14,21,2,2,0,1.1,44,8,0,2
34,71,8564,1555,7657,9453,8430,73•,86•,BLUE,0,1.8666666666666667,21,5,0,2,1,2.9,14,6,0,2
35,2960,6956,2171,9491,447,7457,79•,145•,BLUE,0,3.9333333333333336,17,7,0,2,0,1.3,12,17,2,2
36,8116,292,4485,10076,4580,10024,123•,70,RED,1,0.9666666666666667,27,6,1,2,0,1.3,17,6,0,1
37,6498,5484,3559,868,226,3890,128•,140•,BLUE,0,2.7,11,13,2,2,0,0.23333333333333334,19,12,3,2
38,1555,7454,7617,71,6956,3494,116•,84,RED,0,0.9666666666666667,22,11,1,2,0,2.2333333333333334,18,6,0,1
39,8103,2960,3176,4485,2171,74,137•,87•,RED,1,2.966666666666667,27,9,1,2,0,2.8666666666666663,23,6,0,2
40,5484,9491,4580,7657,5188,3147,128•,131•,BLUE,0,1.1333333333333333,21,12,1,2,0,1.8666666666666667,30,9,0,2
41,292,1024,868,10024,447,234,180•,97•,RED,0,0.19999999999999998,39,14,1,2,1,1.1333333333333335,15,8,0,2
42,8116,226,1720,4926,3890,8564,104•,86•,RED,0,0.1,17,10,1,2,0,0.03333333333333333,15,8,1,2
43,8430,10073,3559,10076,6498,9453,64•,106•,BLUE,0,1.0,8,8,0,2,0,1.9333333333333333,18,8,1,2
44,7457,1024,5188,868,3494,447,144•,151•,BLUE,0,1.1666666666666667,26,10,1,2,0,1.4666666666666668,9,21,2,2
45,2960,1555,4926,3176,7454,226,100•,175•,BLUE,0,2.8999999999999995,14,9,1,2,1,1.0,20,15,3,2
46,234,7657,5484,2171,3147,8103,115•,135•,BLUE,0,1.8,25,6,1,2,1,1.9666666666666668,30,9,0,2
47,8564,10024,10073,3559,71,9491,54,93•,BLUE,0,1.1333333333333333,15,3,0,1,1,3.033333333333333,18,7,0,2
48,7457,7617,9453,4485,3890,10076,147•,58•,RED,0,2.1333333333333333,10,18,1,2,1,0.9666666666666667,12,3,0,2
49,1720,6956,74,4580,8430,292,86•,91•,BLUE,0,1.0,22,7,0,2,0,1.1666666666666667,12,8,1,2
50,6498,9491,3494,3559,7454,8116,141•,85•,RED,0,2.333333333333333,9,22,1,2,0,1.0,14,6,1,2
51,9453,447,5188,1555,3176,3890,89•,69•,RED,0,1.0,20,8,0,2,0,0.8666666666666667,14,4,1,2
52,292,7657,8103,4485,1024,10024,145•,110•,RED,0,1.0666666666666667,40,7,1,2,1,1.0333333333333334,23,7,0,2
53,71,74,10076,3147,234,8116,93•,106•,BLUE,0,1.9333333333333333,26,7,0,2,0,0.9666666666666667,21,11,0,2
54,2960,6498,8430,1720,8564,4580,151•,84•,RED,1,3.833333333333333,10,19,1,2,0,1.2,17,9,0,2
55,4926,7617,868,2171,10073,7457,153•,140,RED,0,1.2333333333333334,16,16,2,2,0,1.1666666666666667,16,14,2,1
56,226,5484,10076,6956,3176,234,149•,121•,RED,0,-0.09999999999999998,26,11,2,2,1,1.0,12,11,1,2
57,3147,6498,447,9453,3494,2960,117•,74•,RED,0,1.866666666666667,20,10,1,2,0,4.166666666666666,7,10,0,2
58,7657,4926,3559,7617,1720,2171,92•,97•,BLUE,0,1.9666666666666668,21,8,0,2,0,1.0,13,13,0,2
59,4580,3890,7457,71,292,226,141•,160•,BLUE,1,2.333333333333333,16,13,2,2,0,1.0,29,13,2,2
60,8564,6956,9491,7454,8103,10024,83•,123•,BLUE,1,0.16666666666666666,21,4,0,2,0,1.1666666666666667,21,11,1,2
61,868,8116,10073,1024,1555,8430,158•,94•,RED,1,0.26666666666666666,22,13,1,2,1,1.9333333333333333,18,6,0,2
62,5484,4485,7617,5188,74,3890,117•,92•,RED,0,1.7666666666666668,24,11,0,2,0,0.9666666666666667,21,8,0,2
63,2960,71,7454,4926,9453,8103,113•,84•,RED,1,2.8666666666666663,17,7,1,2,0,1.1,28,2,0,2
64,8564,2171,10076,1024,3494,4580,81•,136•,BLUE,1,1.0,14,7,0,2,0,1.5,19,18,0,2
65,9491,8116,74,4485,6498,10073,66•,55•,RED,0,1.1333333333333333,11,7,0,2,0,1.9333333333333333,12,2,1,2
66,5484,1555,10024,8430,7457,1720,100•,117•,BLUE,1,1.8,19,5,1,2,0,2.1,7,14,2,2
67,6956,7657,447,234,226,5188,90,143•,BLUE,0,1.0333333333333334,26,6,0,1,0,0.1,25,13,1,2
68,868,3147,3176,292,3559,2960,156•,127•,RED,0,1.0,15,17,2,2,1,2.9,20,11,0,2
69,7454,2171,9453,4926,7457,5484,86•,133,BLUE,0,1.9333333333333333,17,5,1,2,0,0.9666666666666668,20,7,2,1
70,6956,4580,7617,8116,10076,1555,85•,76•,RED,0,0.26666666666666666,18,8,0,2,0,1.0,23,5,0,2
71,3890,7657,1024,9491,4485,8430,103•,89•,RED,1,1.0,26,5,0,2,1,2.033333333333333,9,10,0,2
72,292,234,74,3176,8564,6498,162•,111•,RED,0,1.0,40,13,0,2,0,1.8666666666666667,15,10,1,2
73,226,3147,3494,5188,868,10024,177•,157•,RED,1,3.2333333333333334,23,13,1,2,0,1.2333333333333334,25,16,1,2
74,8103,3559,1720,10073,447,71,94•,70,RED,0,1.0666666666666667,27,6,0,2,0,1.0333333333333334,22,5,0,1
