Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,868,10,1,1,12,33,2.75,1815,3,10,253,173,17,24
2,226,10,2,0,12,31,2.5833333333333335,1661,3,13,279,136,17,23
3,292,10,2,0,12,31,2.5833333333333335,1758,3,12,334,131,14,23
4,7454,9,2,1,12,31,2.5833333333333335,1551,3,12,233,136,17,24
5,8103,9,3,0,12,30,2.5,1474,2,12,369,92,5,24
6,3147,9,3,0,12,29,2.4166666666666665,1609,3,12,282,138,7,23
7,3494,8,3,1,12,28,2.3333333333333335,1562,3,25,165,180,11,23
8,7457,9,3,0,12,28,2.3333333333333335,1755,3,20,211,167,20,22
9,6498,8,4,0,12,28,2.3333333333333335,1472,2,16,191,146,12,24
10,7617,8,4,0,12,28,2.3333333333333335,1310,1,8,186,150,4,24
11,74,7,5,0,12,26,2.1666666666666665,1453,1,17,316,112,6,24
12,5188,7,5,0,12,26,2.1666666666666665,1451,1,9,267,128,6,24
13,3176,7,5,0,12,25,2.0833333333333335,1574,4,15,213,143,18,23
14,8116,7,5,0,12,25,2.0833333333333335,1174,4,7,212,104,5,23
15,2960,6,6,0,12,24,2.0,1370,6,29,202,129,6,24
16,1024,6,6,0,12,24,2.0,1491,4,10,315,119,3,24
17,4926,6,6,0,12,23,1.9166666666666667,1376,1,12,236,106,14,23
18,8430,5,7,0,12,22,1.8333333333333333,1193,4,18,144,130,6,24
19,9491,5,7,0,12,22,1.8333333333333333,1198,3,14,187,122,6,24
20,71,7,5,0,12,22,1.8333333333333333,1271,2,17,288,89,6,20
21,5484,7,5,0,12,22,1.8333333333333333,1558,1,14,277,120,14,20
22,4580,6,6,0,12,22,1.8333333333333333,1195,1,13,211,112,7,22
23,2171,5,7,0,12,21,1.75,1182,2,16,208,108,6,23
24,7657,6,6,0,12,21,1.75,1287,2,15,277,91,6,21
25,1720,5,6,1,12,21,1.75,1277,2,7,221,121,6,22
26,234,4,8,0,12,20,1.6666666666666667,1285,4,8,235,113,3,24
27,9453,5,7,0,12,20,1.6666666666666667,1007,1,19,193,81,4,22
28,4485,3,9,0,12,18,1.5,1132,5,16,224,84,4,24
29,10024,4,8,0,12,18,1.5,1225,3,13,226,102,7,22
30,447,4,8,0,12,18,1.5,1133,1,11,203,107,7,22
31,3559,3,9,0,12,17,1.4166666666666667,1079,3,18,195,96,4,23
32,1555,3,9,0,12,17,1.4166666666666667,1112,2,13,233,83,6,23
33,10076,2,9,1,12,16,1.3333333333333333,1141,5,8,227,90,5,23
34,3890,2,9,1,12,16,1.3333333333333333,1063,3,6,177,98,9,23
35,8564,2,10,0,12,14,1.1666666666666667,1073,2,8,228,92,2,22
36,6956,2,10,0,12,13,1.0833333333333333,1054,2,11,251,76,2,21
37,10073,3,9,0,12,13,1.0833333333333333,1062,1,8,192,91,8,19
