#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,461,7457,1747,2867,7617,292,258,196,RED
2,3940,4982,9431,5010,1024,5188,221,184,RED
3,4272,829,8742,1018,45,3487,190,205,BLUE
4,3176,868,6956,234,1741,1646,215,198,RED
5,2867,7617,292,5010,1024,5188,233,234,BLUE
6,4272,829,8742,234,1741,1646,202,182,RED
7,461,7457,1747,3940,4982,9431,232,189,RED
8,1018,45,3487,3176,868,6956,175,220,BLUE
9,3940,4982,9431,4272,829,8742,145,220,BLUE
10,1018,45,3487,5010,1024,5188,194,193,RED
11,461,7457,1747,3176,868,6956,245,206,RED
12,1018,45,3487,4272,829,8742,221,215,RED
13,3176,868,6956,1018,45,3487,182,208,BLUE
14,461,7457,1747,1018,45,3487,274,192,RED
15,461,7457,1747,1018,45,3487,265,169,RED
