Team#,Total,Rank,Selection,Elims
45,43,13,10,20
234,27,16,11,0
292,21,13,8,0
328,4,4,0,0
447,10,10,0,0
461,68,22,16,30
829,39,17,15,7
868,46,19,14,13
1018,45,15,10,20
1024,26,14,12,0
1646,13,7,6,0
1720,11,11,0,0
1741,26,15,11,0
1747,43,12,1,30
2867,24,15,9,0
3176,47,20,14,13
3487,40,13,7,20
3865,6,6,0,0
3936,11,11,0,0
3940,31,18,13,0
3947,5,5,0,0
4008,7,7,0,0
4272,43,21,15,7
4485,4,4,0,0
4580,9,9,0,0
4982,30,17,13,0
5010,30,18,12,0
5188,17,12,5,0
5402,8,8,0,0
6721,9,9,0,0
6956,27,11,3,13
7457,62,16,16,30
7477,8,8,0,0
7617,23,14,9,0
8742,19,10,2,7
9071,12,12,0,0
9431,14,10,4,0
9530,6,6,0,0
10073,9,9,0,0
10076,14,14,0,0
