#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,6721,9431,3487,4272,328,4008,102•,113•,BLUE,0,2.9,19,7,1,2,0,2.166666666666667,9,14,1,2
2,7457,6956,5402,292,3936,1646,132•,126,RED,1,2.1666666666666665,21,11,0,2,0,1.0666666666666667,27,10,1,1
3,3176,9071,234,7477,3940,3865,122•,108•,RED,1,1.8333333333333335,14,13,1,2,0,1.6,17,11,1,2
4,447,5010,10073,1720,868,461,131•,155•,BLUE,1,2.0666666666666664,13,12,1,2,0,0.26666666666666666,17,14,2,2
5,7617,1024,1018,3947,4982,829,141•,138•,RED,0,0.1,24,15,0,2,0,1.0666666666666667,19,14,1,2
6,45,5188,10076,4580,2867,9530,84•,58•,RED,0,-0.03333333333333333,15,9,0,2,0,0.26666666666666666,14,5,0,2
7,4485,6956,1747,1741,8742,4272,102•,166•,BLUE,0,0.9666666666666667,22,7,1,2,0,2.833333333333333,24,16,2,2
8,5402,1018,9431,7617,868,9071,82•,156•,BLUE,1,0.9666666666666667,16,5,0,2,0,0.06666666666666665,19,17,2,2
9,3947,1646,7477,234,10076,7457,57•,133•,BLUE,0,1.9000000000000001,13,5,0,2,1,1.2,16,10,2,2
10,3936,1024,3940,2867,4485,292,135•,111•,RED,1,0.6,27,9,1,2,0,1.0,26,8,0,2
11,1720,1747,3865,461,1741,45,103•,183•,BLUE,0,0.09999999999999999,15,10,1,2,0,2.0,25,17,2,2
12,5188,829,4008,4580,447,8742,90•,68•,RED,0,0.3333333333333333,14,8,0,2,0,1.1666666666666665,20,5,0,2
13,4982,10073,6721,5010,3176,328,111•,137•,BLUE,0,0.13333333333333333,16,13,1,2,0,1.9666666666666666,9,18,2,2
14,9530,4485,1741,3487,2867,1646,114•,157•,BLUE,1,0.9,20,9,1,2,1,0.9333333333333333,36,11,0,2
15,10076,461,3947,3940,9431,829,108•,154•,BLUE,1,0.03333333333333334,16,8,1,2,1,1.5666666666666667,27,9,2,2
16,4272,1720,4580,4982,1024,8742,109•,133•,BLUE,0,1.1333333333333333,21,9,1,2,1,0.9666666666666667,21,11,1,2
17,328,9530,7477,7617,3936,10073,52•,81•,BLUE,0,0.1,10,6,0,2,0,0.2,13,10,0,2
18,7457,1018,6721,234,1747,45,170•,127•,RED,1,1.2333333333333334,14,19,1,2,0,0.9666666666666667,28,12,1,2
