Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,461,10,2,0,12,32,2.6666666666666665,1640,45,18,444,729,170,24
2,4272,10,2,0,12,32,2.6666666666666665,1585,15,35,462,734,140,24
3,3176,9,3,0,12,31,2.5833333333333335,1646,75,36,512,659,180,24
4,868,9,2,1,12,31,2.5833333333333335,1739,45,17,556,660,230,24
5,3940,9,3,0,12,30,2.5,1620,90,32,474,656,160,24
6,5010,9,3,0,12,30,2.5,1619,75,30,354,789,130,24
7,829,9,3,0,12,30,2.5,1695,75,21,572,636,160,24
8,4982,9,3,0,12,30,2.5,1607,60,12,488,687,150,24
9,7457,9,3,0,12,28,2.3333333333333335,1749,75,45,508,708,190,21
10,234,7,5,0,12,26,2.1666666666666665,1470,90,15,462,591,100,24
11,1018,7,4,1,12,26,2.1666666666666665,1452,75,14,428,677,60,23
12,2867,6,5,1,12,25,2.0833333333333335,1338,90,13,564,437,80,24
13,1741,6,5,1,12,25,2.0833333333333335,1589,75,32,584,576,110,24
14,10076,7,5,0,12,25,2.0833333333333335,1233,75,18,420,468,80,23
15,7617,7,5,0,12,25,2.0833333333333335,1430,75,16,364,714,60,23
16,1024,7,5,0,12,25,2.0833333333333335,1528,75,10,664,572,60,23
17,292,7,5,0,12,25,2.0833333333333335,1512,30,14,610,584,110,23
18,3487,7,5,0,12,24,2.0,1479,75,36,502,559,100,22
19,45,5,7,0,12,23,1.9166666666666667,1418,60,33,600,476,90,24
20,5188,6,6,0,12,23,1.9166666666666667,1368,30,12,506,607,60,23
21,1747,6,6,0,12,23,1.9166666666666667,1386,30,9,510,520,140,23
22,9071,6,6,0,12,22,1.8333333333333333,1183,60,28,420,488,70,22
23,1720,5,7,0,12,22,1.8333333333333333,1233,45,10,470,478,70,24
24,6956,5,7,0,12,22,1.8333333333333333,1236,30,21,556,432,60,24
25,3936,6,6,0,12,22,1.8333333333333333,1134,15,14,438,424,90,22
26,8742,6,6,0,12,21,1.75,1254,45,42,496,453,70,21
27,9431,4,8,0,12,20,1.6666666666666667,1295,90,28,506,436,90,24
28,447,4,8,0,12,20,1.6666666666666667,1228,60,16,476,457,60,24
29,6721,4,8,0,12,20,1.6666666666666667,1288,45,17,444,517,90,24
30,10073,5,7,0,12,20,1.6666666666666667,1162,45,17,428,466,50,22
31,4580,4,8,0,12,19,1.5833333333333333,1193,15,17,474,479,80,23
32,7477,4,8,0,12,19,1.5833333333333333,1157,0,22,428,454,90,23
33,5402,3,9,0,12,18,1.5,1222,90,18,460,458,40,24
34,4008,3,8,1,12,18,1.5,1017,0,28,374,380,90,23
35,1646,4,8,0,12,17,1.4166666666666667,1291,60,35,564,466,40,21
36,3865,3,8,1,12,17,1.4166666666666667,1095,15,19,372,444,70,22
37,9530,2,10,0,12,16,1.3333333333333333,1115,45,12,400,451,70,24
38,3947,3,9,0,12,16,1.3333333333333333,1114,30,30,444,422,40,22
39,328,3,9,0,12,16,1.3333333333333333,1092,30,21,338,521,40,22
40,4485,2,10,0,12,16,1.3333333333333333,1113,15,31,492,368,70,24
