#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1690,1577,5135,9739,3065,5987,226,123,RED
2,6104,7067,4338,2096,1657,8223,152,139,RED
3,3075,5951,6741,9740,5554,3211,194,182,RED
4,6168,3316,5291,1937,6740,9738,177,147,RED
5,9739,3065,5987,2096,1657,8223,137,123,RED
6,9740,5554,3211,1937,6740,9738,163,204,BLUE
7,1690,1577,5135,6104,7067,4338,224,160,RED
8,3075,5951,6741,6168,3316,5291,201,131,RED
9,6104,7067,4338,1937,6740,9738,179,207,BLUE
10,6168,3316,5291,9739,3065,5987,156,128,RED
11,1690,1577,5135,3075,5951,6741,231,178,RED
12,6168,3316,5291,1937,6740,9738,160,209,BLUE
13,3075,5951,6741,1937,6740,9738,220,173,RED
14,1690,1577,5135,3075,5951,6741,200,188,RED
15,1690,1577,5135,3075,5951,6741,209,183,RED
