Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1690,10,2,0,12,32,2.6666666666666665,1963,45,51,414,802,270,24
2,3075,8,2,2,12,29,2.4166666666666665,1571,75,42,390,727,80,23
3,6168,8,3,1,12,29,2.4166666666666665,1326,45,37,494,529,60,24
4,6104,8,2,2,12,29,2.4166666666666665,1389,30,47,372,676,80,23
5,2096,9,3,0,12,29,2.4166666666666665,1338,30,25,428,629,40,23
6,1937,8,2,2,12,29,2.4166666666666665,1469,15,38,610,544,110,22
7,1657,7,4,1,12,26,2.1666666666666665,1541,90,24,498,606,100,23
8,1577,7,5,0,12,26,2.1666666666666665,1705,60,26,494,721,170,24
9,3316,7,5,0,12,26,2.1666666666666665,1423,45,16,530,575,80,24
10,5951,8,4,0,12,26,2.1666666666666665,1764,30,42,452,804,170,22
11,7067,7,5,0,12,25,2.0833333333333335,1422,75,50,468,562,90,23
12,9740,7,5,0,12,25,2.0833333333333335,1269,15,39,592,436,50,23
13,9739,7,5,0,12,25,2.0833333333333335,1226,15,24,478,523,60,23
14,9738,6,6,0,12,24,2.0,1258,45,35,504,455,60,24
15,3065,6,5,1,12,24,2.0,1288,30,40,556,459,40,23
16,5554,5,5,2,12,23,1.9166666666666667,1323,45,22,462,587,60,23
17,5987,5,6,1,12,22,1.8333333333333333,1240,75,26,378,529,60,23
18,6740,5,5,2,12,21,1.75,1460,15,49,428,640,130,21
19,8175,4,7,1,12,20,1.6666666666666667,1019,30,26,402,376,50,22
20,4338,4,8,0,12,20,1.6666666666666667,1139,15,14,536,385,40,24
21,5291,4,6,2,12,20,1.6666666666666667,1051,0,27,346,530,10,22
22,3211,4,7,1,12,20,1.6666666666666667,1274,0,23,546,478,60,23
23,8223,4,8,0,12,18,1.5,1228,30,25,422,487,80,22
24,5135,4,8,0,12,18,1.5,1131,15,27,434,396,80,22
25,5928,3,9,0,12,17,1.4166666666666667,974,45,20,340,371,30,23
26,6741,3,9,0,12,17,1.4166666666666667,1048,0,40,442,362,60,23
27,2230,3,9,0,12,16,1.3333333333333333,1046,30,24,336,456,50,21
28,4319,3,9,0,12,16,1.3333333333333333,1023,0,28,366,458,30,22
29,1954,1,11,0,12,11,0.9166666666666666,820,0,19,320,350,20,21
