Team#,Total,Rank,Selection,Elims
1574,58,22,16,20
1576,9,9,0,0
1580,18,10,8,0
1690,63,19,14,30
1942,35,12,10,13
1943,8,8,0,0
2212,10,10,0,0
2231,55,19,16,20
2630,28,17,11,0
2679,6,6,0,0
3083,38,18,13,7
3339,35,15,13,7
3388,25,16,9,0
4320,58,14,14,30
4416,14,12,2,0
4586,8,8,0,0
4590,38,5,3,30
4661,10,10,0,0
4744,16,11,5,0
5614,29,17,12,0
5635,22,13,9,0
5654,27,12,15,0
5715,39,16,10,13
5990,35,20,15,0
6230,7,7,0,0
6738,26,14,12,0
7039,26,15,11,0
7112,17,11,6,0
7177,14,14,0,0
7845,33,13,7,13
9303,4,4,0,0
9304,16,5,4,7
10104,9,9,0,0
10145,28,7,1,20
