#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4590,4661,4744,1690,9304,4416,68•,160,BLUE,0,1.4333333333333333,15,6,0,2,0,1.8,16,14,2,1
2,1943,10145,5654,1580,2212,2231,69•,120•,BLUE,0,1.6666666666666665,24,2,0,2,0,3.633333333333333,26,9,1,1
3,10104,1942,7177,3083,7039,3339,52•,181•,BLUE,0,0.2,12,4,0,2,1,0.9666666666666667,25,18,1,2
4,1574,6738,2679,5614,2630,6230,129•,146•,BLUE,1,2.966666666666667,23,12,0,2,0,2.1999999999999997,28,9,2,2
5,7112,9303,1576,5990,5715,5635,36•,164•,BLUE,0,1.2666666666666668,6,4,0,2,0,2.4000000000000004,26,14,2,2
6,4586,7845,10145,4320,2630,3388,69•,126•,BLUE,0,1.2333333333333334,17,5,0,2,0,2.0,22,11,1,2
7,4744,9304,5990,2231,5635,1943,118•,128•,BLUE,0,1.6,15,13,1,2,0,2.4333333333333336,32,6,1,2
8,4586,4590,7177,4661,9303,2679,52•,40•,RED,0,0.39999999999999997,10,5,0,2,0,2.0,8,4,0,2
9,4416,3388,1942,1690,7039,1574,94•,172•,BLUE,0,0.09999999999999999,27,7,0,2,1,2.7666666666666666,26,8,1,2
10,7112,1580,3083,2212,1576,6738,77•,76•,RED,1,1.1,19,4,0,2,0,2.1666666666666665,22,5,0,2
11,4320,5654,10104,7845,5715,3339,118•,156•,BLUE,0,1.7666666666666668,24,12,0,2,1,0.19999999999999998,14,12,2,2
12,7177,6230,2630,9303,5614,4744,89•,87•,RED,1,1.0666666666666667,17,5,0,2,0,2.233333333333334,14,10,0,2
13,1580,5715,1576,9304,4416,4661,80•,44•,RED,0,0.39999999999999997,12,9,0,2,0,0.2,14,2,0,2
14,3083,1942,4586,5654,1574,5614,92•,162•,BLUE,0,1.0333333333333334,20,10,0,2,0,2.9000000000000004,40,8,2,2
15,7112,7845,4320,2231,3388,6738,116,124•,BLUE,0,0.3,25,9,0,1,1,3.466666666666667,19,9,1,2
16,1943,6230,4590,2212,10145,7039,74•,77,BLUE,0,1.3,17,6,0,2,0,1.0666666666666667,17,6,0,0
17,5635,3339,2679,1690,5990,10104,140•,163•,BLUE,0,1.9,23,11,2,2,0,2.133333333333333,14,17,2,2
18,2231,4416,9303,4320,10145,7039,91•,116•,BLUE,0,1.5333333333333332,18,7,1,2,0,0.16666666666666669,23,11,0,2
19,1574,5635,1580,2679,2630,4590,120•,112•,RED,1,2.1,18,8,1,2,1,1.2333333333333334,17,7,1,2
20,6738,1690,6230,5614,2212,1942,126•,132•,BLUE,0,1.6666666666666667,19,11,2,2,1,2.2666666666666666,31,5,1,2
21,3388,5715,4661,9304,5654,4586,87•,69,RED,0,2.0666666666666664,15,6,1,2,0,0.7999999999999999,15,7,0,1
22,7845,7112,5990,1943,4744,10104,84•,70•,RED,0,1.6666666666666667,16,8,0,2,0,1.0666666666666669,13,8,0,2
23,3083,1576,2212,7177,3339,3388,70•,118•,BLUE,0,2.0999999999999996,12,9,0,2,0,1.0333333333333334,15,11,2,2
24,1943,1690,5614,6738,4590,7112,155•,92•,RED,0,2.8333333333333335,13,14,3,2,0,1.3333333333333333,25,6,0,2
25,4744,2231,2630,5715,5635,3083,152•,94•,RED,0,1.5666666666666667,17,14,2,2,0,1.8666666666666667,9,11,1,2
26,10104,7039,10145,1574,5990,4661,71•,110•,BLUE,1,0.13333333333333333,14,5,0,2,0,1.5333333333333334,25,6,1,2
27,3339,4320,9304,6230,1580,4586,129•,40,RED,0,0.16666666666666666,16,12,2,2,0,0.19999999999999998,9,3,0,1
28,2679,7845,4416,5654,1942,7177,78•,75•,RED,0,2.166666666666667,16,8,0,2,0,0.8333333333333333,19,6,0,2
29,9303,4320,2212,5990,1574,1576,57•,116•,BLUE,0,2.0,12,5,0,2,0,1.7000000000000002,14,11,2,2
30,7177,4744,1690,4661,3083,7845,146•,86•,RED,1,1.7999999999999998,8,17,2,2,1,1.1333333333333333,16,5,0,2
31,1576,5635,5654,10145,9303,6230,88•,46,RED,1,1.8333333333333333,17,6,0,2,0,1.0333333333333334,8,6,0,1
32,5614,10104,3388,1580,4416,2630,89•,83•,RED,1,1.2,14,6,1,2,0,1.1333333333333333,15,7,1,2
33,7039,2679,7112,9304,2231,1942,68•,127,BLUE,0,1.1,14,6,0,2,0,2.7333333333333334,27,11,0,1
34,3339,1943,4590,4586,6738,5715,108,118•,BLUE,0,0.26666666666666666,15,10,1,1,0,1.0333333333333334,26,8,1,2
35,3083,2231,1574,10145,1576,2679,199••,44•,RED,1,3.466666666666667,28,19,1,2,0,1.2333333333333334,7,5,0,2
36,4416,5614,1580,5715,1690,9303,110,112•,BLUE,0,2.3666666666666667,26,6,1,1,0,2.6666666666666665,13,10,1,2
37,3339,5990,4586,5654,4590,7845,173•,80•,RED,0,1.4666666666666668,20,15,3,2,1,2.1333333333333333,10,5,0,2
38,3388,2630,1943,1942,4661,4320,105•,109•,BLUE,0,2.9,16,6,2,2,0,2.233333333333334,25,9,0,2
39,5635,6230,7039,2212,7177,7112,103•,60•,RED,0,1.0333333333333334,26,7,0,2,0,1.1,18,4,0,2
40,10104,6738,7845,4744,9304,1580,77•,70,RED,0,1.1666666666666667,17,6,0,2,0,0.3,13,9,0,1
41,5635,5614,4320,7177,2679,1943,138•,64,RED,0,2.2,26,11,1,2,0,1.0,12,7,0,1
42,1690,4661,1576,2630,3339,5654,107•,175•,BLUE,0,1.9666666666666666,11,12,1,2,0,2.6333333333333333,29,9,3,2
43,9304,1574,5715,5990,6738,10145,136•,95•,RED,0,2.166666666666667,18,12,2,2,0,2.433333333333333,22,6,1,2
44,6230,9303,1942,10104,4416,3083,48,61•,BLUE,0,1.1,11,5,0,1,0,0.9666666666666667,10,8,0,2
45,3388,4744,2212,7112,4586,7039,70•,91,BLUE,0,3.0,11,8,0,2,0,1.1666666666666667,20,7,0,1
46,2231,5654,3083,4590,10104,9304,158••,58,RED,1,3.1,30,15,0,2,0,1.4333333333333333,12,6,0,0
47,1576,4586,4744,5635,7177,6738,85•,89•,BLUE,1,0.3333333333333333,12,9,0,2,0,1.9666666666666668,23,8,0,2
48,1580,2679,9303,4416,1943,3388,52•,53•,BLUE,0,2.0666666666666664,10,6,0,2,0,1.9666666666666668,10,5,0,2
49,5990,4661,5614,7039,2231,7845,152•,151•,RED,1,0.7,24,9,2,2,0,2.7666666666666666,27,12,1,2
50,4590,2212,5715,6230,4320,1574,100•,122•,BLUE,1,2.3,13,6,1,2,1,1.1333333333333335,14,12,1,2
51,1942,3339,10145,2630,7112,1690,120•,199•,BLUE,0,0.13333333333333333,26,9,2,2,1,2.7,20,16,3,2
52,2212,7845,5614,2679,4586,4661,113•,54•,RED,0,1.3333333333333333,19,11,0,2,0,1.0666666666666667,11,6,0,2
53,7039,1943,9303,3339,3083,7112,77•,136•,BLUE,0,2.0,18,5,0,2,0,-0.033333333333333326,23,15,1,2
54,5715,4320,7177,1942,1580,1690,123•,160•,BLUE,1,0.16666666666666669,16,10,1,2,0,0.8999999999999999,26,13,2,2
55,3388,4590,1574,1576,6230,10104,129•,50•,RED,1,2.3,20,10,1,2,0,0.3,7,7,0,2
56,2630,9304,5635,5654,5990,2231,105•,158•,BLUE,0,2.0,21,7,1,2,0,2.633333333333333,26,14,2,2
57,4416,10145,5715,6738,4744,3339,77•,128•,BLUE,0,0.1,13,9,0,2,1,1.0333333333333334,18,14,0,2
58,1574,1942,2630,1576,1943,9304,177•,58,RED,1,2.1,26,11,3,2,0,1.3,11,6,0,0
59,2679,3083,5990,6230,7112,4661,113•,48,RED,1,2.3,10,12,1,2,0,0.16666666666666669,12,4,0,1
60,9303,10104,5635,7845,3388,1690,63•,189•,BLUE,0,1.9333333333333333,18,4,0,2,1,2.8,17,15,2,2
61,2212,4586,2231,5614,7177,4416,78•,83•,BLUE,0,2.533333333333333,16,6,0,2,0,0.3,17,4,1,2
62,6738,7039,5654,4590,1580,4320,144•,105•,RED,0,2.7,41,8,0,2,0,1.5,21,12,0,2
63,10145,5614,9304,4744,1574,4416,82•,97•,BLUE,0,1.3333333333333335,12,8,0,2,0,1.1333333333333335,13,10,1,2
64,4661,5654,1580,7039,7177,5990,83,126•,BLUE,0,0.8666666666666666,28,4,0,1,1,0.5666666666666667,17,12,0,2
65,7845,2679,6230,5715,7112,1943,64•,76•,BLUE,0,2.1666666666666665,11,7,0,2,0,1.0666666666666667,20,6,0,2
66,10145,1942,4744,9303,10104,2212,97•,39,RED,1,1.2,21,7,0,2,0,1.9666666666666668,6,5,0,1
67,4320,1690,2231,4586,1576,3339,223•,88•,RED,1,3.2666666666666666,17,20,3,2,0,1.2666666666666666,15,4,1,2
68,2630,3083,6738,5635,3388,4590,89•,80,RED,0,1.8333333333333335,16,7,0,2,0,2.1999999999999997,20,5,0,1
