#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4522,5801,5889,8825,2972,9551,255,140,RED
2,5935,935,167,5126,1997,1982,190,144,RED
3,1108,1710,9316,3928,2345,5968,197,154,RED
4,1806,4329,2457,5119,1769,7064,148,145,RED
5,8825,2972,9551,5126,1997,1982,161,177,BLUE
6,3928,2345,5968,5119,1769,7064,144,124,RED
7,4522,5801,5889,5935,935,167,229,176,RED
8,1108,1710,9316,1806,4329,2457,215,142,RED
9,5935,935,167,3928,2345,5968,175,141,RED
10,1806,4329,2457,5126,1997,1982,109,151,BLUE
11,4522,5801,5889,1108,1710,9316,226,206,RED
12,5126,1997,1982,5935,935,167,153,201,BLUE
13,1108,1710,9316,5935,935,167,157,172,BLUE
14,4522,5801,5889,5935,935,167,235,183,RED
15,4522,5801,5889,5935,935,167,235,204,RED
