Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4522,11,1,0,12,33,2.75,1630,75,48,462,691,150,23
2,5801,10,2,0,12,32,2.6666666666666665,1376,30,33,586,460,100,24
3,1108,9,2,1,12,31,2.5833333333333335,1484,90,34,486,629,80,24
4,1806,10,2,0,12,29,2.4166666666666665,1156,30,20,502,405,50,21
5,5935,8,4,0,12,28,2.3333333333333335,1250,45,13,452,574,30,24
6,935,9,3,0,12,28,2.3333333333333335,1369,30,16,608,474,100,22
7,5126,9,2,1,12,28,2.3333333333333335,1326,30,12,452,563,90,21
8,5119,8,4,0,12,27,2.25,1051,60,10,460,373,10,23
9,4329,8,4,0,12,27,2.25,1272,30,22,458,529,40,23
10,3928,9,3,0,12,27,2.25,1278,15,19,416,525,110,21
11,1710,8,4,0,12,26,2.1666666666666665,1511,60,17,586,564,110,22
12,1997,6,6,0,12,24,2.0,1239,60,36,568,397,50,24
13,8825,7,5,0,12,24,2.0,1177,60,20,574,352,40,22
14,2457,6,6,0,12,24,2.0,1193,45,12,448,468,60,24
15,937,6,6,0,12,24,2.0,1039,45,11,454,376,30,24
16,167,7,5,0,12,24,2.0,1080,15,29,476,405,20,22
17,1982,6,6,0,12,23,1.9166666666666667,1141,75,20,470,417,30,23
18,9316,6,5,1,12,23,1.9166666666666667,1073,30,33,472,374,30,22
19,2410,7,5,0,12,23,1.9166666666666667,1015,0,19,406,391,60,21
20,2345,6,6,0,12,22,1.8333333333333333,1170,30,35,544,373,60,22
21,5968,5,6,1,12,21,1.75,1094,30,37,552,320,30,22
22,1802,5,5,2,12,21,1.75,1048,30,33,448,387,40,21
23,9445,5,7,0,12,21,1.75,974,30,14,498,282,30,23
24,5189,6,6,0,12,21,1.75,1015,15,19,484,330,50,21
25,10161,5,7,0,12,21,1.75,910,0,17,340,372,40,23
26,1769,6,6,0,12,21,1.75,1158,0,12,422,565,30,21
27,9495,5,7,0,12,20,1.6666666666666667,1004,45,8,476,357,10,22
28,7064,5,7,0,12,20,1.6666666666666667,1125,30,33,502,397,30,22
29,6805,5,7,0,12,20,1.6666666666666667,954,30,10,402,367,20,22
30,5268,4,8,0,12,19,1.5833333333333333,967,45,29,446,295,20,23
31,2972,4,7,1,12,19,1.5833333333333333,1126,30,32,648,302,10,22
32,9551,4,8,0,12,19,1.5833333333333333,1047,0,18,632,270,10,23
33,8719,4,8,0,12,18,1.5,883,15,28,414,297,20,22
34,1994,3,8,1,12,18,1.5,870,15,26,392,320,30,23
35,1825,4,6,2,12,17,1.4166666666666667,984,15,13,482,349,0,19
36,8112,4,8,0,12,17,1.4166666666666667,792,0,15,384,277,20,21
37,1775,2,9,1,12,16,1.3333333333333333,813,30,15,402,254,0,23
38,10124,3,9,0,12,16,1.3333333333333333,989,15,15,454,337,40,22
39,5889,3,9,0,12,16,1.3333333333333333,1032,15,14,462,401,10,22
40,1847,2,10,0,12,15,1.25,907,15,14,352,384,10,23
41,1810,4,8,0,12,15,1.25,955,0,12,518,283,30,19
42,3172,2,9,1,12,12,1.0,870,0,12,366,362,10,19
